,source,target,value
Harry_Reid,89,0,0.330588149854
Thomas_Harkin,89,1,0.25004236454
Max_Baucus,89,2,0.0598230268787
Mitch_McConnell,89,3,0.386376849758
Mark_Pryor,89,4,0.248205203279
Susan_Collins,89,5,0.341495964402
Carl_Levin,89,6,0.1114157234
James_Inhofe,89,7,0.242347248607
Jefferson_Sessions,89,8,0.250561114517
David_Vitter,89,9,0.307339833535
John_Rockefeller,89,10,0.145166919675
Bernard_Sanders,89,11,0.224200244363
Thomas_Carper,89,12,0.197804505011
Saxby_Chambliss,89,13,0.149360214737
Richard_Burr,89,14,0.239857208108
Robert_Casey,89,15,0.338006392793
John_Boozman,89,16,0.18827265117
Patty_Murray,89,17,0.237706040376
Mary_Landrieu,89,18,0.260816438066
Jerry_Moran,89,19,0.126332085752
Claire_McCaskill,89,20,0.388716489217
Mark_Udall,89,21,0.375354395024
Kay_Hagan,89,22,0.265531925058
John_Cornyn,89,23,0.143377456933
Michael_Crapo,89,24,0.215717455206
Bob_Corker,89,25,0.308321188194
John_Barrasso,89,26,0.19234685776
Michael_Enzi,89,27,0.345107932678
Thomas_Coburn,89,28,0.150711351028
Sheldon_Whitehouse,89,29,0.381541471951
Jeanne_Shaheen,89,30,0.34368430426
Martin_Heinrich,89,31,0.296245915737
Daniel_Coats,89,32,0.270112714297
Charles_Schumer,89,33,0.232337519125
Richard_Durbin,89,34,0.335104394906
Roy_Blunt,89,35,0.166435063423
Mark_Warner,89,36,0.269783692549
James_Risch,89,37,0.245497173819
Tim_Johnson,89,38,0.239855194419
Alan_Franken,89,39,0.243022726671
Mark_Begich,89,40,0.204584314646
Brian_Schatz,89,41,0.292081293295
Deb_Fischer,89,42,0.285480361291
Kirsten_Gillibrand,89,43,0.319346333979
Tammy_Baldwin,89,44,0.250970487012
John_Walsh,89,45,0.267757098065
Mark_Kirk,89,46,0.265889744714
Dean_Heller,89,47,0.16070787841
Jeff_Flake,89,48,0.175184035194
Thad_Cochran,89,49,0.249879899623
Mike_Johanns,89,50,0.132699275579
Robert_Portman,89,51,0.324556068167
Edward_Markey,89,52,0.187200333566
Cory_Booker,89,53,0.261610663312
Roger_Wicker,89,54,0.209801524903
Benjamin_Cardin,89,55,0.359828697623
Tom_Udall,89,56,0.22895323972
Mike_Lee,89,57,0.2815649349
Ted_Cruz,89,58,0.113421804522
Amy_Klobuchar,89,59,0.188019312009
Pat_Roberts,89,60,0.265950990888
Patrick_Leahy,89,61,0.181780898889
Orrin_Hatch,89,62,0.270159402042
Charles_Grassley,89,63,0.302641544958
Ron_Wyden,89,64,0.23241844878
Debbie_Stabenow,89,65,0.309036990918
Dianne_Feinstein,89,66,0.260308254423
John_Isakson,89,67,0.237241305783
Barbara_Boxer,89,68,0.245458007605
Chris_Coons,89,69,0.429914800689
John_McCain,89,70,0.176242369242
Lisa_Murkowski,89,71,0.265935528542
John_Hoeven,89,72,0.307343297042
Jon_Tester,89,73,0.216955730188
Maria_Cantwell,89,74,0.262051605953
Heidi_Heitkamp,89,75,0.137219741729
Marco_Rubio,89,76,0.156224933788
Barbara_Mikulski,89,77,0.182391673308
Angus_King,89,78,0.294474168159
Mazie_Hirono,89,79,0.388026757024
John_Reed,89,80,0.320814109792
Tim_Scott,89,81,0.252057525744
Bill_Nelson,89,82,0.309948588275
Richard_Blumenthal,89,83,0.420008265332
Joe_Donnelly,89,84,0.14774371596
Elizabeth_Warren,89,85,0.329853031669
Timothy_Kaine,89,86,0.341883178374
John_Thune,89,87,0.289491401201
Sherrod_Brown,89,88,0.23660612986
Michael_Bennet,89,89,1.0
Richard_Shelby,89,90,0.039571444584
Lamar_Alexander,89,91,0.346936263286
Lindsey_Graham,89,92,0.107017081084
Jeff_Merkley,89,93,0.275177567714
Christopher_Murphy,89,94,0.309125625841
Kelly_Ayotte,89,95,0.264765132341
Joe_Manchin,89,96,0.262020218444
Patrick_Toomey,89,97,0.331704520081
Robert_MenÌ.ndez,89,98,0.232945210967
Ron_Johnson,89,99,0.0958422177563
Rand_Paul,89,100,0.15438929579
