,source,target,value
Harry_Reid,24,0,0.367445988893
Thomas_Harkin,24,1,0.250060732479
Max_Baucus,24,2,0.0579635962072
Mitch_McConnell,24,3,0.415336345672
Mark_Pryor,24,4,0.338274393075
Susan_Collins,24,5,0.272066493728
Carl_Levin,24,6,0.0843929194199
James_Inhofe,24,7,0.238510813229
Jefferson_Sessions,24,8,0.400248421702
David_Vitter,24,9,0.388518343713
John_Rockefeller,24,10,0.244225086442
Bernard_Sanders,24,11,0.15597506839
Thomas_Carper,24,12,0.284209018568
Saxby_Chambliss,24,13,0.33786434131
Richard_Burr,24,14,0.369024080453
Robert_Casey,24,15,0.361912424118
John_Boozman,24,16,0.354652829341
Patty_Murray,24,17,0.298854648114
Mary_Landrieu,24,18,0.241519332233
Jerry_Moran,24,19,0.33194774889
Claire_McCaskill,24,20,0.156757979587
Mark_Udall,24,21,0.290966034784
Kay_Hagan,24,22,0.267745266004
John_Cornyn,24,23,0.317930635787
Michael_Crapo,24,24,1.0
Bob_Corker,24,25,0.472255824409
John_Barrasso,24,26,0.470751903515
Michael_Enzi,24,27,0.436233926038
Thomas_Coburn,24,28,0.295384802802
Sheldon_Whitehouse,24,29,0.279736593409
Jeanne_Shaheen,24,30,0.235793510764
Martin_Heinrich,24,31,0.234713326256
Daniel_Coats,24,32,0.535417734316
Charles_Schumer,24,33,0.260311958127
Richard_Durbin,24,34,0.29582405525
Roy_Blunt,24,35,0.228892071773
Mark_Warner,24,36,0.302284520821
James_Risch,24,37,0.498779562488
Tim_Johnson,24,38,0.399584424299
Alan_Franken,24,39,0.270444038424
Mark_Begich,24,40,0.140245696394
Brian_Schatz,24,41,0.26456375987
Deb_Fischer,24,42,0.32624935633
Kirsten_Gillibrand,24,43,0.15415417892
Tammy_Baldwin,24,44,0.216181286617
John_Walsh,24,45,0.24675464426
Mark_Kirk,24,46,0.320764175942
Dean_Heller,24,47,0.206267323647
Jeff_Flake,24,48,0.36777815014
Thad_Cochran,24,49,0.384233623073
Mike_Johanns,24,50,0.257564825321
Robert_Portman,24,51,0.278117894314
Edward_Markey,24,52,0.12344951842
Cory_Booker,24,53,0.119480917985
Roger_Wicker,24,54,0.30817176136
Benjamin_Cardin,24,55,0.261793268088
Tom_Udall,24,56,0.175999803452
Mike_Lee,24,57,0.212691374906
Ted_Cruz,24,58,0.221883159719
Amy_Klobuchar,24,59,0.267315798916
Pat_Roberts,24,60,0.484125528639
Patrick_Leahy,24,61,0.150376356016
Orrin_Hatch,24,62,0.307596500976
Charles_Grassley,24,63,0.23938783054
Ron_Wyden,24,64,0.234051747801
Debbie_Stabenow,24,65,0.256044576941
Dianne_Feinstein,24,66,0.244736672776
John_Isakson,24,67,0.24356379238
Barbara_Boxer,24,68,0.167938379181
Chris_Coons,24,69,0.209132160885
John_McCain,24,70,0.317511657427
Lisa_Murkowski,24,71,0.350345683452
John_Hoeven,24,72,0.385553576803
Jon_Tester,24,73,0.190355798901
Maria_Cantwell,24,74,0.256461182979
Heidi_Heitkamp,24,75,0.119014595801
Marco_Rubio,24,76,0.356454818386
Barbara_Mikulski,24,77,0.183003394186
Angus_King,24,78,0.309534466757
Mazie_Hirono,24,79,0.276034444022
John_Reed,24,80,0.317171541639
Tim_Scott,24,81,0.326256576126
Bill_Nelson,24,82,0.23682952012
Richard_Blumenthal,24,83,0.217387869593
Joe_Donnelly,24,84,0.215918897262
Elizabeth_Warren,24,85,0.11760415835
Timothy_Kaine,24,86,0.256732205764
John_Thune,24,87,0.279137902068
Sherrod_Brown,24,88,0.190756046695
Michael_Bennet,24,89,0.215717455206
Richard_Shelby,24,90,0.15036674802
Lamar_Alexander,24,91,0.449527313379
Lindsey_Graham,24,92,0.303804864392
Jeff_Merkley,24,93,0.133614875023
Christopher_Murphy,24,94,0.134851669488
Kelly_Ayotte,24,95,0.180560061133
Joe_Manchin,24,96,0.372872362896
Patrick_Toomey,24,97,0.339767656011
Robert_MenÌ.ndez,24,98,0.152852934973
Ron_Johnson,24,99,0.191460015311
Rand_Paul,24,100,0.11839670929
