,source,target,value
Harry_Reid,27,0,0.425106423526
Thomas_Harkin,27,1,0.281724056324
Max_Baucus,27,2,0.0135230756368
Mitch_McConnell,27,3,0.515919537054
Mark_Pryor,27,4,0.2310866066
Susan_Collins,27,5,0.262761561809
Carl_Levin,27,6,0.0401165770701
James_Inhofe,27,7,0.368830487279
Jefferson_Sessions,27,8,0.447954339923
David_Vitter,27,9,0.324307188086
John_Rockefeller,27,10,0.173385570677
Bernard_Sanders,27,11,0.21659926425
Thomas_Carper,27,12,0.19288340018
Saxby_Chambliss,27,13,0.308390978902
Richard_Burr,27,14,0.345126856067
Robert_Casey,27,15,0.27357884493
John_Boozman,27,16,0.299586408675
Patty_Murray,27,17,0.166051602942
Mary_Landrieu,27,18,0.161353169492
Jerry_Moran,27,19,0.293241732014
Claire_McCaskill,27,20,0.083849383466
Mark_Udall,27,21,0.351227900804
Kay_Hagan,27,22,0.143445038483
John_Cornyn,27,23,0.398677122163
Michael_Crapo,27,24,0.436233926038
Bob_Corker,27,25,0.51112731483
John_Barrasso,27,26,0.459343831569
Michael_Enzi,27,27,1.0
Thomas_Coburn,27,28,0.252759892994
Sheldon_Whitehouse,27,29,0.245728682232
Jeanne_Shaheen,27,30,0.227577801139
Martin_Heinrich,27,31,0.32164360116
Daniel_Coats,27,32,0.501016660228
Charles_Schumer,27,33,0.191539479693
Richard_Durbin,27,34,0.290219341277
Roy_Blunt,27,35,0.252666540598
Mark_Warner,27,36,0.295564018507
James_Risch,27,37,0.407989901982
Tim_Johnson,27,38,0.232013755729
Alan_Franken,27,39,0.322802806441
Mark_Begich,27,40,0.193226642225
Brian_Schatz,27,41,0.270504424255
Deb_Fischer,27,42,0.311734938337
Kirsten_Gillibrand,27,43,0.187898394633
Tammy_Baldwin,27,44,0.203118453022
John_Walsh,27,45,0.284954280214
Mark_Kirk,27,46,0.325389952172
Dean_Heller,27,47,0.261598155125
Jeff_Flake,27,48,0.234594336922
Thad_Cochran,27,49,0.365091361505
Mike_Johanns,27,50,0.16974669698
Robert_Portman,27,51,0.391128747317
Edward_Markey,27,52,0.108087008446
Cory_Booker,27,53,0.151081481454
Roger_Wicker,27,54,0.365771507002
Benjamin_Cardin,27,55,0.241011436425
Tom_Udall,27,56,0.150645915974
Mike_Lee,27,57,0.365114828267
Ted_Cruz,27,58,0.162952115743
Amy_Klobuchar,27,59,0.140227735335
Pat_Roberts,27,60,0.427379025898
Patrick_Leahy,27,61,0.0867617367228
Orrin_Hatch,27,62,0.432313821542
Charles_Grassley,27,63,0.310469073147
Ron_Wyden,27,64,0.116196459758
Debbie_Stabenow,27,65,0.211501652641
Dianne_Feinstein,27,66,0.230304902142
John_Isakson,27,67,0.281064924848
Barbara_Boxer,27,68,0.186914054224
Chris_Coons,27,69,0.211710706592
John_McCain,27,70,0.261868272664
Lisa_Murkowski,27,71,0.361018664371
John_Hoeven,27,72,0.40516571274
Jon_Tester,27,73,0.267946470651
Maria_Cantwell,27,74,0.176733508278
Heidi_Heitkamp,27,75,0.232908251056
Marco_Rubio,27,76,0.273856980012
Barbara_Mikulski,27,77,0.160890596348
Angus_King,27,78,0.29553784078
Mazie_Hirono,27,79,0.299610804164
John_Reed,27,80,0.271366089935
Tim_Scott,27,81,0.480853586682
Bill_Nelson,27,82,0.302966626314
Richard_Blumenthal,27,83,0.171533463256
Joe_Donnelly,27,84,0.114557556888
Elizabeth_Warren,27,85,0.176228588347
Timothy_Kaine,27,86,0.311329213448
John_Thune,27,87,0.524481348168
Sherrod_Brown,27,88,0.148965746944
Michael_Bennet,27,89,0.345107932678
Richard_Shelby,27,90,0.240071808581
Lamar_Alexander,27,91,0.43774448489
Lindsey_Graham,27,92,0.20936509482
Jeff_Merkley,27,93,0.077367671805
Christopher_Murphy,27,94,0.200927736176
Kelly_Ayotte,27,95,0.29452726099
Joe_Manchin,27,96,0.436249421789
Patrick_Toomey,27,97,0.443062199518
Robert_MenÌ.ndez,27,98,0.162944774617
Ron_Johnson,27,99,0.164117751449
Rand_Paul,27,100,0.194423594877
