,source,target,value
Harry_Reid,50,0,0.167940741712
Thomas_Harkin,50,1,0.107390905446
Max_Baucus,50,2,0.108855590144
Mitch_McConnell,50,3,0.206439186113
Mark_Pryor,50,4,0.308355320981
Susan_Collins,50,5,0.154072131699
Carl_Levin,50,6,0.0633940197473
James_Inhofe,50,7,0.227212601356
Jefferson_Sessions,50,8,0.17371399695
David_Vitter,50,9,0.144820655654
John_Rockefeller,50,10,0.121940633147
Bernard_Sanders,50,11,0.0669719956826
Thomas_Carper,50,12,0.131600504373
Saxby_Chambliss,50,13,0.178722158487
Richard_Burr,50,14,0.201437357899
Robert_Casey,50,15,0.234671503256
John_Boozman,50,16,0.305768889457
Patty_Murray,50,17,0.161219183433
Mary_Landrieu,50,18,0.210711772522
Jerry_Moran,50,19,0.203769498608
Claire_McCaskill,50,20,0.0912428443439
Mark_Udall,50,21,0.405099897237
Kay_Hagan,50,22,0.214834602547
John_Cornyn,50,23,0.163816364644
Michael_Crapo,50,24,0.257564825321
Bob_Corker,50,25,0.172492355957
John_Barrasso,50,26,0.156392967412
Michael_Enzi,50,27,0.16974669698
Thomas_Coburn,50,28,0.0511183479588
Sheldon_Whitehouse,50,29,0.146500110735
Jeanne_Shaheen,50,30,0.205610490737
Martin_Heinrich,50,31,0.130114588125
Daniel_Coats,50,32,0.23252831843
Charles_Schumer,50,33,0.263342259853
Richard_Durbin,50,34,0.109851223429
Roy_Blunt,50,35,0.145923447496
Mark_Warner,50,36,0.277584860311
James_Risch,50,37,0.214873099546
Tim_Johnson,50,38,0.213487014978
Alan_Franken,50,39,0.306726855698
Mark_Begich,50,40,0.0906208760262
Brian_Schatz,50,41,0.196358263245
Deb_Fischer,50,42,0.212784102265
Kirsten_Gillibrand,50,43,0.0866526508215
Tammy_Baldwin,50,44,0.13534873607
John_Walsh,50,45,0.172736310639
Mark_Kirk,50,46,0.141418794408
Dean_Heller,50,47,0.32247754234
Jeff_Flake,50,48,0.307809751785
Thad_Cochran,50,49,0.14826036654
Mike_Johanns,50,50,1.0
Robert_Portman,50,51,0.138277727946
Edward_Markey,50,52,0.0866027561792
Cory_Booker,50,53,0.0773786841158
Roger_Wicker,50,54,0.181355099265
Benjamin_Cardin,50,55,0.112914471101
Tom_Udall,50,56,0.114332668899
Mike_Lee,50,57,0.03467644144
Ted_Cruz,50,58,0.151708659335
Amy_Klobuchar,50,59,0.135733765205
Pat_Roberts,50,60,0.291832938459
Patrick_Leahy,50,61,0.0847594784687
Orrin_Hatch,50,62,0.189507124706
Charles_Grassley,50,63,0.144767747437
Ron_Wyden,50,64,0.0663399882157
Debbie_Stabenow,50,65,0.127742865612
Dianne_Feinstein,50,66,0.134333799545
John_Isakson,50,67,0.155394292755
Barbara_Boxer,50,68,0.157111399873
Chris_Coons,50,69,0.180982614987
John_McCain,50,70,0.178055537758
Lisa_Murkowski,50,71,0.203450881048
John_Hoeven,50,72,0.207047817616
Jon_Tester,50,73,0.0737480510796
Maria_Cantwell,50,74,0.143165741985
Heidi_Heitkamp,50,75,0.0326744737497
Marco_Rubio,50,76,0.15204975402
Barbara_Mikulski,50,77,0.0933481011984
Angus_King,50,78,0.262754309632
Mazie_Hirono,50,79,0.147110233939
John_Reed,50,80,0.266910470362
Tim_Scott,50,81,0.169472773803
Bill_Nelson,50,82,0.234070211086
Richard_Blumenthal,50,83,0.117903657013
Joe_Donnelly,50,84,0.177936161477
Elizabeth_Warren,50,85,0.0725625985288
Timothy_Kaine,50,86,0.138318068648
John_Thune,50,87,0.190482552941
Sherrod_Brown,50,88,0.0775356636126
Michael_Bennet,50,89,0.132699275579
Richard_Shelby,50,90,0.0702272179213
Lamar_Alexander,50,91,0.194360746095
Lindsey_Graham,50,92,0.207370296375
Jeff_Merkley,50,93,0.0711960697924
Christopher_Murphy,50,94,0.054935160033
Kelly_Ayotte,50,95,0.158917130291
Joe_Manchin,50,96,0.174168710076
Patrick_Toomey,50,97,0.256475781667
Robert_MenÌ.ndez,50,98,0.155527039789
Ron_Johnson,50,99,0.0285292596287
Rand_Paul,50,100,0.00823244124666
