,source,target,value
Harry_Reid,57,0,0.189592864044
Thomas_Harkin,57,1,0.0119484844251
Max_Baucus,57,2,0.054075575394
Mitch_McConnell,57,3,0.617057015914
Mark_Pryor,57,4,0.113005207967
Susan_Collins,57,5,0.0796902420603
Carl_Levin,57,6,0.0
James_Inhofe,57,7,0.237755791821
Jefferson_Sessions,57,8,0.0848124646575
David_Vitter,57,9,0.22598601657
John_Rockefeller,57,10,0.0137021508711
Bernard_Sanders,57,11,0.0
Thomas_Carper,57,12,0.0802260687538
Saxby_Chambliss,57,13,0.0339004183327
Richard_Burr,57,14,0.122664853185
Robert_Casey,57,15,0.115195346705
John_Boozman,57,16,0.128341726447
Patty_Murray,57,17,0.0950858072832
Mary_Landrieu,57,18,0.060363248296
Jerry_Moran,57,19,0.0515956521642
Claire_McCaskill,57,20,0.0277019060176
Mark_Udall,57,21,0.261244150426
Kay_Hagan,57,22,0.0797751277037
John_Cornyn,57,23,0.0439946859502
Michael_Crapo,57,24,0.212691374906
Bob_Corker,57,25,0.238741907966
John_Barrasso,57,26,0.0372712816574
Michael_Enzi,57,27,0.365114828267
Thomas_Coburn,57,28,0.323090676511
Sheldon_Whitehouse,57,29,0.106756552525
Jeanne_Shaheen,57,30,0.162845123845
Martin_Heinrich,57,31,0.276043244861
Daniel_Coats,57,32,0.201115724409
Charles_Schumer,57,33,0.0586936579067
Richard_Durbin,57,34,0.196484488488
Roy_Blunt,57,35,0.0436614036294
Mark_Warner,57,36,0.123085161292
James_Risch,57,37,0.11489601116
Tim_Johnson,57,38,0.144122365132
Alan_Franken,57,39,0.0302936239126
Mark_Begich,57,40,0.0841702045722
Brian_Schatz,57,41,0.116212707036
Deb_Fischer,57,42,0.255675568421
Kirsten_Gillibrand,57,43,0.115324463504
Tammy_Baldwin,57,44,0.0359427158163
John_Walsh,57,45,0.230340499849
Mark_Kirk,57,46,0.212542441667
Dean_Heller,57,47,0.109157807885
Jeff_Flake,57,48,0.18027403483
Thad_Cochran,57,49,0.177106333459
Mike_Johanns,57,50,0.03467644144
Robert_Portman,57,51,0.285947890066
Edward_Markey,57,52,0.0742705428349
Cory_Booker,57,53,0.0595521768663
Roger_Wicker,57,54,0.168874884928
Benjamin_Cardin,57,55,0.00786650594038
Tom_Udall,57,56,0.131302089361
Mike_Lee,57,57,1.0
Ted_Cruz,57,58,0.21434043854
Amy_Klobuchar,57,59,0.200819359231
Pat_Roberts,57,60,0.24073155681
Patrick_Leahy,57,61,0.0208668848359
Orrin_Hatch,57,62,0.14318737925
Charles_Grassley,57,63,0.40892696354
Ron_Wyden,57,64,0.0128977402317
Debbie_Stabenow,57,65,0.121183859615
Dianne_Feinstein,57,66,0.0577211895382
John_Isakson,57,67,0.170985141953
Barbara_Boxer,57,68,0.0876384227858
Chris_Coons,57,69,0.0657088949867
John_McCain,57,70,0.255537137307
Lisa_Murkowski,57,71,0.194192351505
John_Hoeven,57,72,0.441297219989
Jon_Tester,57,73,0.0570221390618
Maria_Cantwell,57,74,0.210805848298
Heidi_Heitkamp,57,75,0.110121737086
Marco_Rubio,57,76,0.0755685878967
Barbara_Mikulski,57,77,0.0107548003715
Angus_King,57,78,0.0847230480423
Mazie_Hirono,57,79,0.151786983622
John_Reed,57,80,0.0147225481617
Tim_Scott,57,81,0.346326790599
Bill_Nelson,57,82,0.121229563397
Richard_Blumenthal,57,83,0.0168263974909
Joe_Donnelly,57,84,0.0831284903164
Elizabeth_Warren,57,85,0.0749198218471
Timothy_Kaine,57,86,0.208031270875
John_Thune,57,87,0.37282224484
Sherrod_Brown,57,88,0.0426599461326
Michael_Bennet,57,89,0.2815649349
Richard_Shelby,57,90,0.064262913004
Lamar_Alexander,57,91,0.27323408576
Lindsey_Graham,57,92,0.182097839732
Jeff_Merkley,57,93,0.103431913381
Christopher_Murphy,57,94,0.0870216723931
Kelly_Ayotte,57,95,0.115969769334
Joe_Manchin,57,96,0.0693207914254
Patrick_Toomey,57,97,0.169817558036
Robert_MenÌ.ndez,57,98,0.189101743322
Ron_Johnson,57,99,0.107482947505
Rand_Paul,57,100,0.312197932293
