,source,target,value
Harry_Reid,3,0,0.446225940664
Thomas_Harkin,3,1,0.151197401745
Max_Baucus,3,2,0.0404780812449
Mitch_McConnell,3,3,1.0
Mark_Pryor,3,4,0.291825864536
Susan_Collins,3,5,0.267303501472
Carl_Levin,3,6,0.0563940302255
James_Inhofe,3,7,0.374913412591
Jefferson_Sessions,3,8,0.322571052594
David_Vitter,3,9,0.353891723572
John_Rockefeller,3,10,0.197314046589
Bernard_Sanders,3,11,0.0129847587915
Thomas_Carper,3,12,0.245895239695
Saxby_Chambliss,3,13,0.235909612922
Richard_Burr,3,14,0.33642513659
Robert_Casey,3,15,0.229844456572
John_Boozman,3,16,0.267340512848
Patty_Murray,3,17,0.227029980482
Mary_Landrieu,3,18,0.266436502371
Jerry_Moran,3,19,0.22179687113
Claire_McCaskill,3,20,0.180050411436
Mark_Udall,3,21,0.368624632046
Kay_Hagan,3,22,0.229998258865
John_Cornyn,3,23,0.284923729954
Michael_Crapo,3,24,0.415336345672
Bob_Corker,3,25,0.45689954146
John_Barrasso,3,26,0.263358365799
Michael_Enzi,3,27,0.515919537054
Thomas_Coburn,3,28,0.334290022922
Sheldon_Whitehouse,3,29,0.281381991031
Jeanne_Shaheen,3,30,0.273144422506
Martin_Heinrich,3,31,0.182016014306
Daniel_Coats,3,32,0.4931621812
Charles_Schumer,3,33,0.173291379742
Richard_Durbin,3,34,0.323892573841
Roy_Blunt,3,35,0.24256655459
Mark_Warner,3,36,0.293932723474
James_Risch,3,37,0.375600866698
Tim_Johnson,3,38,0.344161842932
Alan_Franken,3,39,0.208901960735
Mark_Begich,3,40,0.119232338099
Brian_Schatz,3,41,0.210385556373
Deb_Fischer,3,42,0.388598885963
Kirsten_Gillibrand,3,43,0.143688610531
Tammy_Baldwin,3,44,0.162897161145
John_Walsh,3,45,0.279108802075
Mark_Kirk,3,46,0.264085738162
Dean_Heller,3,47,0.227118573401
Jeff_Flake,3,48,0.39526258941
Thad_Cochran,3,49,0.361762396686
Mike_Johanns,3,50,0.206439186113
Robert_Portman,3,51,0.338906277812
Edward_Markey,3,52,0.0620209189596
Cory_Booker,3,53,0.0631395224086
Roger_Wicker,3,54,0.283754502877
Benjamin_Cardin,3,55,0.138791819369
Tom_Udall,3,56,0.130973492558
Mike_Lee,3,57,0.617057015914
Ted_Cruz,3,58,0.237788975605
Amy_Klobuchar,3,59,0.17724576179
Pat_Roberts,3,60,0.401363092455
Patrick_Leahy,3,61,0.0490930224022
Orrin_Hatch,3,62,0.318761763809
Charles_Grassley,3,63,0.397302068362
Ron_Wyden,3,64,0.0956833197082
Debbie_Stabenow,3,65,0.230274265641
Dianne_Feinstein,3,66,0.234149672247
John_Isakson,3,67,0.186608254069
Barbara_Boxer,3,68,0.114251011467
Chris_Coons,3,69,0.165602081206
John_McCain,3,70,0.359137493401
Lisa_Murkowski,3,71,0.376622706549
John_Hoeven,3,72,0.510543491234
Jon_Tester,3,73,0.0711239032735
Maria_Cantwell,3,74,0.167274135036
Heidi_Heitkamp,3,75,0.0435331201727
Marco_Rubio,3,76,0.213119444612
Barbara_Mikulski,3,77,0.0275866733593
Angus_King,3,78,0.267758801759
Mazie_Hirono,3,79,0.280863273962
John_Reed,3,80,0.251197395568
Tim_Scott,3,81,0.493644900542
Bill_Nelson,3,82,0.244629583485
Richard_Blumenthal,3,83,0.175047817305
Joe_Donnelly,3,84,0.0867296526984
Elizabeth_Warren,3,85,0.121043460943
Timothy_Kaine,3,86,0.309404597117
John_Thune,3,87,0.474030216302
Sherrod_Brown,3,88,0.0628525335951
Michael_Bennet,3,89,0.386376849758
Richard_Shelby,3,90,0.129925960008
Lamar_Alexander,3,91,0.487495442131
Lindsey_Graham,3,92,0.233750228838
Jeff_Merkley,3,93,0.13173308805
Christopher_Murphy,3,94,0.0741052717644
Kelly_Ayotte,3,95,0.250249297925
Joe_Manchin,3,96,0.328975276185
Patrick_Toomey,3,97,0.298785327092
Robert_MenÌ.ndez,3,98,0.167718029156
Ron_Johnson,3,99,0.0751740806053
Rand_Paul,3,100,0.237580918337
