,source,target,value
Harry_Reid,62,0,0.281255231385
Thomas_Harkin,62,1,0.17445473273
Max_Baucus,62,2,0.0621849184926
Mitch_McConnell,62,3,0.318761763809
Mark_Pryor,62,4,0.185732851675
Susan_Collins,62,5,0.23473597028
Carl_Levin,62,6,0.027685003158
James_Inhofe,62,7,0.289625881785
Jefferson_Sessions,62,8,0.362226111419
David_Vitter,62,9,0.256583038106
John_Rockefeller,62,10,0.140596355888
Bernard_Sanders,62,11,0.0173644956177
Thomas_Carper,62,12,0.170939501104
Saxby_Chambliss,62,13,0.311017263093
Richard_Burr,62,14,0.238139889333
Robert_Casey,62,15,0.186288335989
John_Boozman,62,16,0.224093594409
Patty_Murray,62,17,0.138481928667
Mary_Landrieu,62,18,0.147488034167
Jerry_Moran,62,19,0.252021331534
Claire_McCaskill,62,20,0.0830080310766
Mark_Udall,62,21,0.213593166289
Kay_Hagan,62,22,0.172965701815
John_Cornyn,62,23,0.366439925924
Michael_Crapo,62,24,0.307596500976
Bob_Corker,62,25,0.35480234065
John_Barrasso,62,26,0.311107704212
Michael_Enzi,62,27,0.432313821542
Thomas_Coburn,62,28,0.0554843249166
Sheldon_Whitehouse,62,29,0.208275049761
Jeanne_Shaheen,62,30,0.215206423485
Martin_Heinrich,62,31,0.160109811395
Daniel_Coats,62,32,0.435473232477
Charles_Schumer,62,33,0.150869189969
Richard_Durbin,62,34,0.24564621414
Roy_Blunt,62,35,0.145340578926
Mark_Warner,62,36,0.313526208866
James_Risch,62,37,0.369364002748
Tim_Johnson,62,38,0.164731256636
Alan_Franken,62,39,0.196623143504
Mark_Begich,62,40,0.113125933063
Brian_Schatz,62,41,0.150801908433
Deb_Fischer,62,42,0.251308278079
Kirsten_Gillibrand,62,43,0.131672491418
Tammy_Baldwin,62,44,0.115050819207
John_Walsh,62,45,0.19006855238
Mark_Kirk,62,46,0.191339993217
Dean_Heller,62,47,0.191235745091
Jeff_Flake,62,48,0.191325483859
Thad_Cochran,62,49,0.258936070861
Mike_Johanns,62,50,0.189507124706
Robert_Portman,62,51,0.297454550893
Edward_Markey,62,52,0.0776912244512
Cory_Booker,62,53,0.0846369358672
Roger_Wicker,62,54,0.211215252908
Benjamin_Cardin,62,55,0.166831166732
Tom_Udall,62,56,0.10398291978
Mike_Lee,62,57,0.14318737925
Ted_Cruz,62,58,0.101235771252
Amy_Klobuchar,62,59,0.0706936512618
Pat_Roberts,62,60,0.292129923742
Patrick_Leahy,62,61,0.0303321435633
Orrin_Hatch,62,62,1.0
Charles_Grassley,62,63,0.234891947858
Ron_Wyden,62,64,0.0457522871168
Debbie_Stabenow,62,65,0.108736129504
Dianne_Feinstein,62,66,0.19957395306
John_Isakson,62,67,0.144787639377
Barbara_Boxer,62,68,0.149958229504
Chris_Coons,62,69,0.164687788634
John_McCain,62,70,0.256651846281
Lisa_Murkowski,62,71,0.320346187857
John_Hoeven,62,72,0.318326056868
Jon_Tester,62,73,0.216240620816
Maria_Cantwell,62,74,0.0810929085082
Heidi_Heitkamp,62,75,0.121826097635
Marco_Rubio,62,76,0.225361299725
Barbara_Mikulski,62,77,0.107615156852
Angus_King,62,78,0.223654108139
Mazie_Hirono,62,79,0.205375933996
John_Reed,62,80,0.195543378639
Tim_Scott,62,81,0.284271178892
Bill_Nelson,62,82,0.228716230878
Richard_Blumenthal,62,83,0.21438555797
Joe_Donnelly,62,84,0.0561567643671
Elizabeth_Warren,62,85,0.153232811235
Timothy_Kaine,62,86,0.206526586614
John_Thune,62,87,0.269813985827
Sherrod_Brown,62,88,0.11824230209
Michael_Bennet,62,89,0.270159402042
Richard_Shelby,62,90,0.0813443170962
Lamar_Alexander,62,91,0.311927731733
Lindsey_Graham,62,92,0.222391179288
Jeff_Merkley,62,93,0.0581599271561
Christopher_Murphy,62,94,0.142111963345
Kelly_Ayotte,62,95,0.244446027308
Joe_Manchin,62,96,0.234200210606
Patrick_Toomey,62,97,0.271654215011
Robert_MenÌ.ndez,62,98,0.0960601943389
Ron_Johnson,62,99,0.0341706573188
Rand_Paul,62,100,0.244192875433
