,source,target,value
Harry_Reid,60,0,0.336360984718
Thomas_Harkin,60,1,0.205335661687
Max_Baucus,60,2,0.0621048446967
Mitch_McConnell,60,3,0.401363092455
Mark_Pryor,60,4,0.267784327087
Susan_Collins,60,5,0.270951671265
Carl_Levin,60,6,0.0784058834781
James_Inhofe,60,7,0.343775674262
Jefferson_Sessions,60,8,0.415527731262
David_Vitter,60,9,0.270538403979
John_Rockefeller,60,10,0.18941789029
Bernard_Sanders,60,11,0.0730799663393
Thomas_Carper,60,12,0.270837065989
Saxby_Chambliss,60,13,0.335329572922
Richard_Burr,60,14,0.339382592205
Robert_Casey,60,15,0.256843561537
John_Boozman,60,16,0.274785126409
Patty_Murray,60,17,0.306345117819
Mary_Landrieu,60,18,0.219507553127
Jerry_Moran,60,19,0.344629423743
Claire_McCaskill,60,20,0.122592658926
Mark_Udall,60,21,0.322272408175
Kay_Hagan,60,22,0.24781088165
John_Cornyn,60,23,0.356021574529
Michael_Crapo,60,24,0.484125528639
Bob_Corker,60,25,0.467267432942
John_Barrasso,60,26,0.375057662919
Michael_Enzi,60,27,0.427379025898
Thomas_Coburn,60,28,0.316155924265
Sheldon_Whitehouse,60,29,0.241651225696
Jeanne_Shaheen,60,30,0.242796427974
Martin_Heinrich,60,31,0.31147621036
Daniel_Coats,60,32,0.519701717482
Charles_Schumer,60,33,0.148420261273
Richard_Durbin,60,34,0.316309604603
Roy_Blunt,60,35,0.225161195339
Mark_Warner,60,36,0.304633027128
James_Risch,60,37,0.412744767539
Tim_Johnson,60,38,0.320027774633
Alan_Franken,60,39,0.257881867723
Mark_Begich,60,40,0.146358465724
Brian_Schatz,60,41,0.249753715166
Deb_Fischer,60,42,0.367702716674
Kirsten_Gillibrand,60,43,0.160615937454
Tammy_Baldwin,60,44,0.184419880782
John_Walsh,60,45,0.306904835351
Mark_Kirk,60,46,0.340136997125
Dean_Heller,60,47,0.199877876239
Jeff_Flake,60,48,0.245374653127
Thad_Cochran,60,49,0.44122565619
Mike_Johanns,60,50,0.291832938459
Robert_Portman,60,51,0.260614190621
Edward_Markey,60,52,0.131598670884
Cory_Booker,60,53,0.139370052704
Roger_Wicker,60,54,0.340273177968
Benjamin_Cardin,60,55,0.227101491181
Tom_Udall,60,56,0.201915957297
Mike_Lee,60,57,0.24073155681
Ted_Cruz,60,58,0.298254335501
Amy_Klobuchar,60,59,0.237341519759
Pat_Roberts,60,60,1.0
Patrick_Leahy,60,61,0.0845436614161
Orrin_Hatch,60,62,0.292129923742
Charles_Grassley,60,63,0.257259589118
Ron_Wyden,60,64,0.133781099859
Debbie_Stabenow,60,65,0.266946707915
Dianne_Feinstein,60,66,0.175823480145
John_Isakson,60,67,0.294734629863
Barbara_Boxer,60,68,0.139447017516
Chris_Coons,60,69,0.193994702252
John_McCain,60,70,0.367182837387
Lisa_Murkowski,60,71,0.29327370206
John_Hoeven,60,72,0.408221294838
Jon_Tester,60,73,0.160879817965
Maria_Cantwell,60,74,0.259015579514
Heidi_Heitkamp,60,75,0.115190011982
Marco_Rubio,60,76,0.245640249353
Barbara_Mikulski,60,77,0.137054221261
Angus_King,60,78,0.276276895458
Mazie_Hirono,60,79,0.273656921125
John_Reed,60,80,0.250887092478
Tim_Scott,60,81,0.293951025851
Bill_Nelson,60,82,0.206206869767
Richard_Blumenthal,60,83,0.163696422105
Joe_Donnelly,60,84,0.0974294186456
Elizabeth_Warren,60,85,0.137465105975
Timothy_Kaine,60,86,0.25753393823
John_Thune,60,87,0.260736416403
Sherrod_Brown,60,88,0.148959586193
Michael_Bennet,60,89,0.265950990888
Richard_Shelby,60,90,0.102456913366
Lamar_Alexander,60,91,0.460209175713
Lindsey_Graham,60,92,0.297744737127
Jeff_Merkley,60,93,0.121522778012
Christopher_Murphy,60,94,0.136210767771
Kelly_Ayotte,60,95,0.290046230856
Joe_Manchin,60,96,0.31100350872
Patrick_Toomey,60,97,0.277031591321
Robert_MenÌ.ndez,60,98,0.159359013346
Ron_Johnson,60,99,0.202575011123
Rand_Paul,60,100,0.167311431965
