,source,target,value
Harry_Reid,61,0,0.162114608202
Thomas_Harkin,61,1,0.164250043915
Max_Baucus,61,2,0.0349759819558
Mitch_McConnell,61,3,0.0490930224022
Mark_Pryor,61,4,0.113970035138
Susan_Collins,61,5,0.0900818873548
Carl_Levin,61,6,0.253490942689
James_Inhofe,61,7,0.0129203743417
Jefferson_Sessions,61,8,0.00602362263789
David_Vitter,61,9,0.0655149390425
John_Rockefeller,61,10,0.285361591075
Bernard_Sanders,61,11,0.375643099043
Thomas_Carper,61,12,0.160732653235
Saxby_Chambliss,61,13,0.0532023580671
Richard_Burr,61,14,0.0451509107328
Robert_Casey,61,15,0.126771975422
John_Boozman,61,16,0.107846275927
Patty_Murray,61,17,0.143682477988
Mary_Landrieu,61,18,0.120205484178
Jerry_Moran,61,19,0.0613400440547
Claire_McCaskill,61,20,0.291019905554
Mark_Udall,61,21,0.191870320007
Kay_Hagan,61,22,0.159385945255
John_Cornyn,61,23,0.0639203929137
Michael_Crapo,61,24,0.150376356016
Bob_Corker,61,25,0.0112478796044
John_Barrasso,61,26,0.0975309883156
Michael_Enzi,61,27,0.0867617367228
Thomas_Coburn,61,28,0.136973594901
Sheldon_Whitehouse,61,29,0.213539310324
Jeanne_Shaheen,61,30,0.18922463781
Martin_Heinrich,61,31,0.184944312469
Daniel_Coats,61,32,0.0322422854039
Charles_Schumer,61,33,0.155756428354
Richard_Durbin,61,34,0.196878360394
Roy_Blunt,61,35,0.0568006537565
Mark_Warner,61,36,0.0952370787817
James_Risch,61,37,0.0414801397912
Tim_Johnson,61,38,0.318353510271
Alan_Franken,61,39,0.189420290933
Mark_Begich,61,40,0.0609380346982
Brian_Schatz,61,41,0.0826298313497
Deb_Fischer,61,42,0.0381684541441
Kirsten_Gillibrand,61,43,0.116618061902
Tammy_Baldwin,61,44,0.29846288781
John_Walsh,61,45,0.0426384532877
Mark_Kirk,61,46,0.177248137319
Dean_Heller,61,47,0.0624366362452
Jeff_Flake,61,48,0.022432505449
Thad_Cochran,61,49,0.0891752413455
Mike_Johanns,61,50,0.0847594784687
Robert_Portman,61,51,0.106981299899
Edward_Markey,61,52,0.260894570214
Cory_Booker,61,53,0.339518334237
Roger_Wicker,61,54,0.102501829069
Benjamin_Cardin,61,55,0.283055544169
Tom_Udall,61,56,0.160542287202
Mike_Lee,61,57,0.0208668848359
Ted_Cruz,61,58,0.0586884515896
Amy_Klobuchar,61,59,0.163754306105
Pat_Roberts,61,60,0.0845436614161
Patrick_Leahy,61,61,1.0
Orrin_Hatch,61,62,0.0303321435633
Charles_Grassley,61,63,0.103227757143
Ron_Wyden,61,64,0.242431502151
Debbie_Stabenow,61,65,0.213270819713
Dianne_Feinstein,61,66,0.163860603328
John_Isakson,61,67,0.0988637273725
Barbara_Boxer,61,68,0.18085727209
Chris_Coons,61,69,0.190365003246
John_McCain,61,70,0.0471685635173
Lisa_Murkowski,61,71,0.0926433223671
John_Hoeven,61,72,0.048546791974
Jon_Tester,61,73,0.0791037402143
Maria_Cantwell,61,74,0.20522607265
Heidi_Heitkamp,61,75,0.0630206646732
Marco_Rubio,61,76,0.0617972202269
Barbara_Mikulski,61,77,0.194898225278
Angus_King,61,78,0.113398658203
Mazie_Hirono,61,79,0.18490736811
John_Reed,61,80,0.253349019101
Tim_Scott,61,81,0.0529347884166
Bill_Nelson,61,82,0.0506868556888
Richard_Blumenthal,61,83,0.222745498861
Joe_Donnelly,61,84,0.142968028602
Elizabeth_Warren,61,85,0.281191916546
Timothy_Kaine,61,86,0.150464497855
John_Thune,61,87,0.0218633437609
Sherrod_Brown,61,88,0.239859651282
Michael_Bennet,61,89,0.181780898889
Richard_Shelby,61,90,0.0217149989274
Lamar_Alexander,61,91,0.0728552728604
Lindsey_Graham,61,92,0.0386818637637
Jeff_Merkley,61,93,0.329056574587
Christopher_Murphy,61,94,0.20266947221
Kelly_Ayotte,61,95,0.0517027334693
Joe_Manchin,61,96,0.0632860048733
Patrick_Toomey,61,97,0.0376540463568
Robert_MenÌ.ndez,61,98,0.295929313049
Ron_Johnson,61,99,0.0881335592051
Rand_Paul,61,100,1.08753963742e-05
