,source,target,value
Harry_Reid,97,0,0.28030805105
Thomas_Harkin,97,1,0.263819539657
Max_Baucus,97,2,0.0123201636997
Mitch_McConnell,97,3,0.298785327092
Mark_Pryor,97,4,0.205352360318
Susan_Collins,97,5,0.207618245791
Carl_Levin,97,6,0.045211053854
James_Inhofe,97,7,0.241605339075
Jefferson_Sessions,97,8,0.452947055411
David_Vitter,97,9,0.295973311162
John_Rockefeller,97,10,0.102961937174
Bernard_Sanders,97,11,0.139731162843
Thomas_Carper,97,12,0.0977897378117
Saxby_Chambliss,97,13,0.245338853719
Richard_Burr,97,14,0.284531675908
Robert_Casey,97,15,0.266604474671
John_Boozman,97,16,0.315773083137
Patty_Murray,97,17,0.134333058545
Mary_Landrieu,97,18,0.109294071052
Jerry_Moran,97,19,0.279037511737
Claire_McCaskill,97,20,0.097732534678
Mark_Udall,97,21,0.191376522326
Kay_Hagan,97,22,0.169713426632
John_Cornyn,97,23,0.312397105163
Michael_Crapo,97,24,0.339767656011
Bob_Corker,97,25,0.403450212143
John_Barrasso,97,26,0.376789287446
Michael_Enzi,97,27,0.443062199518
Thomas_Coburn,97,28,0.0720595623708
Sheldon_Whitehouse,97,29,0.185098393263
Jeanne_Shaheen,97,30,0.181678501489
Martin_Heinrich,97,31,0.29214473134
Daniel_Coats,97,32,0.436279235255
Charles_Schumer,97,33,0.250583030727
Richard_Durbin,97,34,0.241707676548
Roy_Blunt,97,35,0.259902421324
Mark_Warner,97,36,0.220902838186
James_Risch,97,37,0.349173910682
Tim_Johnson,97,38,0.184668424995
Alan_Franken,97,39,0.20967742753
Mark_Begich,97,40,0.174199055318
Brian_Schatz,97,41,0.206083758441
Deb_Fischer,97,42,0.188617083654
Kirsten_Gillibrand,97,43,0.146820691268
Tammy_Baldwin,97,44,0.179476390141
John_Walsh,97,45,0.245920161332
Mark_Kirk,97,46,0.245551951466
Dean_Heller,97,47,0.278332505996
Jeff_Flake,97,48,0.210878125177
Thad_Cochran,97,49,0.245219485798
Mike_Johanns,97,50,0.256475781667
Robert_Portman,97,51,0.390516134609
Edward_Markey,97,52,0.140614938313
Cory_Booker,97,53,0.115329717748
Roger_Wicker,97,54,0.292559890722
Benjamin_Cardin,97,55,0.19180815708
Tom_Udall,97,56,0.138254748102
Mike_Lee,97,57,0.169817558036
Ted_Cruz,97,58,0.130477185549
Amy_Klobuchar,97,59,0.106165712984
Pat_Roberts,97,60,0.277031591321
Patrick_Leahy,97,61,0.0376540463568
Orrin_Hatch,97,62,0.271654215011
Charles_Grassley,97,63,0.247376640869
Ron_Wyden,97,64,0.0680664631419
Debbie_Stabenow,97,65,0.182268111745
Dianne_Feinstein,97,66,0.171344510373
John_Isakson,97,67,0.23717819532
Barbara_Boxer,97,68,0.214559690694
Chris_Coons,97,69,0.221888821505
John_McCain,97,70,0.315343857766
Lisa_Murkowski,97,71,0.32606864349
John_Hoeven,97,72,0.371431977095
Jon_Tester,97,73,0.290127593607
Maria_Cantwell,97,74,0.0576793727139
Heidi_Heitkamp,97,75,0.192068928254
Marco_Rubio,97,76,0.264159105971
Barbara_Mikulski,97,77,0.120234773874
Angus_King,97,78,0.242031945354
Mazie_Hirono,97,79,0.225457379301
John_Reed,97,80,0.241431638285
Tim_Scott,97,81,0.363510247863
Bill_Nelson,97,82,0.341434295973
Richard_Blumenthal,97,83,0.162175272944
Joe_Donnelly,97,84,0.13285354926
Elizabeth_Warren,97,85,0.200867616116
Timothy_Kaine,97,86,0.249823765309
John_Thune,97,87,0.374475210359
Sherrod_Brown,97,88,0.184332882902
Michael_Bennet,97,89,0.331704520081
Richard_Shelby,97,90,0.105937350777
Lamar_Alexander,97,91,0.312405680339
Lindsey_Graham,97,92,0.163021963264
Jeff_Merkley,97,93,0.0477040058323
Christopher_Murphy,97,94,0.146560727335
Kelly_Ayotte,97,95,0.189277313034
Joe_Manchin,97,96,0.349689373
Patrick_Toomey,97,97,1.0
Robert_MenÌ.ndez,97,98,0.12581958781
Ron_Johnson,97,99,0.0376430637644
Rand_Paul,97,100,0.0660131621325
