,source,target,value
Harry_Reid,17,0,0.218634219368
Thomas_Harkin,17,1,0.182303250416
Max_Baucus,17,2,0.109808944909
Mitch_McConnell,17,3,0.227029980482
Mark_Pryor,17,4,0.25196611212
Susan_Collins,17,5,0.175895823097
Carl_Levin,17,6,0.215024656522
James_Inhofe,17,7,0.153735394059
Jefferson_Sessions,17,8,0.137857594228
David_Vitter,17,9,0.244869259082
John_Rockefeller,17,10,0.162538895941
Bernard_Sanders,17,11,0.245042550926
Thomas_Carper,17,12,0.234244608072
Saxby_Chambliss,17,13,0.231961522945
Richard_Burr,17,14,0.177395085652
Robert_Casey,17,15,0.236385009602
John_Boozman,17,16,0.182008715401
Patty_Murray,17,17,1.0
Mary_Landrieu,17,18,0.20469511866
Jerry_Moran,17,19,0.210295864492
Claire_McCaskill,17,20,0.106694126225
Mark_Udall,17,21,0.24605021741
Kay_Hagan,17,22,0.238554263663
John_Cornyn,17,23,0.19946677146
Michael_Crapo,17,24,0.298854648114
Bob_Corker,17,25,0.150910691311
John_Barrasso,17,26,0.184351037608
Michael_Enzi,17,27,0.166051602942
Thomas_Coburn,17,28,0.150180759545
Sheldon_Whitehouse,17,29,0.233755857194
Jeanne_Shaheen,17,30,0.167679908945
Martin_Heinrich,17,31,0.137330327753
Daniel_Coats,17,32,0.246730642451
Charles_Schumer,17,33,0.225680842465
Richard_Durbin,17,34,0.260681950558
Roy_Blunt,17,35,0.157709647063
Mark_Warner,17,36,0.272609219789
James_Risch,17,37,0.205894039573
Tim_Johnson,17,38,0.331457207885
Alan_Franken,17,39,0.168795393436
Mark_Begich,17,40,0.112795626481
Brian_Schatz,17,41,0.208247305964
Deb_Fischer,17,42,0.160909271726
Kirsten_Gillibrand,17,43,0.107797008447
Tammy_Baldwin,17,44,0.26403301486
John_Walsh,17,45,0.210117771194
Mark_Kirk,17,46,0.155248389725
Dean_Heller,17,47,0.085781948259
Jeff_Flake,17,48,0.287946593959
Thad_Cochran,17,49,0.165911743721
Mike_Johanns,17,50,0.161219183433
Robert_Portman,17,51,0.085748944613
Edward_Markey,17,52,0.213621974644
Cory_Booker,17,53,0.255288951516
Roger_Wicker,17,54,0.183577015055
Benjamin_Cardin,17,55,0.341257621842
Tom_Udall,17,56,0.300161780925
Mike_Lee,17,57,0.0950858072832
Ted_Cruz,17,58,0.110689734904
Amy_Klobuchar,17,59,0.131685789293
Pat_Roberts,17,60,0.306345117819
Patrick_Leahy,17,61,0.143682477988
Orrin_Hatch,17,62,0.138481928667
Charles_Grassley,17,63,0.0972903604108
Ron_Wyden,17,64,0.101857248892
Debbie_Stabenow,17,65,0.224363717919
Dianne_Feinstein,17,66,0.193534488257
John_Isakson,17,67,0.204241441281
Barbara_Boxer,17,68,0.106325811421
Chris_Coons,17,69,0.234196933875
John_McCain,17,70,0.285814469116
Lisa_Murkowski,17,71,0.19970614728
John_Hoeven,17,72,0.194549131403
Jon_Tester,17,73,0.145733526849
Maria_Cantwell,17,74,0.234360466802
Heidi_Heitkamp,17,75,0.0873726032429
Marco_Rubio,17,76,0.170598176145
Barbara_Mikulski,17,77,0.157024606045
Angus_King,17,78,0.183083528622
Mazie_Hirono,17,79,0.20470665442
John_Reed,17,80,0.248080936004
Tim_Scott,17,81,0.138362145738
Bill_Nelson,17,82,0.184189016261
Richard_Blumenthal,17,83,0.194772657827
Joe_Donnelly,17,84,0.111783360817
Elizabeth_Warren,17,85,0.204992949085
Timothy_Kaine,17,86,0.340648370521
John_Thune,17,87,0.186210706682
Sherrod_Brown,17,88,0.236812898728
Michael_Bennet,17,89,0.237706040376
Richard_Shelby,17,90,0.016415182993
Lamar_Alexander,17,91,0.298301386805
Lindsey_Graham,17,92,0.161814079339
Jeff_Merkley,17,93,0.18383741348
Christopher_Murphy,17,94,0.259107803099
Kelly_Ayotte,17,95,0.144960281923
Joe_Manchin,17,96,0.224202633245
Patrick_Toomey,17,97,0.134333058545
Robert_MenÌ.ndez,17,98,0.283888315965
Ron_Johnson,17,99,0.224792117849
Rand_Paul,17,100,0.0331641347156
