,source,target,value
Harry_Reid,100,0,0.0
Thomas_Harkin,100,1,0.0105684183335
Max_Baucus,100,2,0.0
Mitch_McConnell,100,3,0.237580918337
Mark_Pryor,100,4,0.13156168687
Susan_Collins,100,5,0.101141771652
Carl_Levin,100,6,0.0210335751053
James_Inhofe,100,7,0.194419650477
Jefferson_Sessions,100,8,0.0825006407127
David_Vitter,100,9,0.00514648721191
John_Rockefeller,100,10,0.0
Bernard_Sanders,100,11,0.0333902554191
Thomas_Carper,100,12,0.0988183661793
Saxby_Chambliss,100,13,0.0233183494628
Richard_Burr,100,14,0.119395342152
Robert_Casey,100,15,0.142007671854
John_Boozman,100,16,0.0480016063203
Patty_Murray,100,17,0.0331641347156
Mary_Landrieu,100,18,0.145673942619
Jerry_Moran,100,19,0.02927171916
Claire_McCaskill,100,20,0.0203802062163
Mark_Udall,100,21,0.136877344031
Kay_Hagan,100,22,0.0329849349718
John_Cornyn,100,23,0.0273064896053
Michael_Crapo,100,24,0.11839670929
Bob_Corker,100,25,0.283396486502
John_Barrasso,100,26,0.0488373939947
Michael_Enzi,100,27,0.194423594877
Thomas_Coburn,100,28,0.360470779036
Sheldon_Whitehouse,100,29,0.124570180173
Jeanne_Shaheen,100,30,0.131856780325
Martin_Heinrich,100,31,0.123568465736
Daniel_Coats,100,32,0.139938409514
Charles_Schumer,100,33,0.0181864645966
Richard_Durbin,100,34,0.142689255123
Roy_Blunt,100,35,0.00826408243334
Mark_Warner,100,36,0.00644292848527
James_Risch,100,37,0.118397368753
Tim_Johnson,100,38,0.080241316602
Alan_Franken,100,39,0.0341757549251
Mark_Begich,100,40,0.0731718375927
Brian_Schatz,100,41,0.106030928825
Deb_Fischer,100,42,0.16517997812
Kirsten_Gillibrand,100,43,0.13307730495
Tammy_Baldwin,100,44,0.0230114945198
John_Walsh,100,45,0.0895952867429
Mark_Kirk,100,46,0.120377030471
Dean_Heller,100,47,0.0233584806505
Jeff_Flake,100,48,0.0491843188429
Thad_Cochran,100,49,0.164332945468
Mike_Johanns,100,50,0.00823244124666
Robert_Portman,100,51,0.0272651332655
Edward_Markey,100,52,0.0
Cory_Booker,100,53,0.0185282494839
Roger_Wicker,100,54,0.112148422712
Benjamin_Cardin,100,55,0.0159320935954
Tom_Udall,100,56,0.0668279742287
Mike_Lee,100,57,0.312197932293
Ted_Cruz,100,58,0.192335475653
Amy_Klobuchar,100,59,0.143483300515
Pat_Roberts,100,60,0.167311431965
Patrick_Leahy,100,61,1.08753963742e-05
Orrin_Hatch,100,62,0.244192875433
Charles_Grassley,100,63,0.186945579379
Ron_Wyden,100,64,0.00307575807352
Debbie_Stabenow,100,65,0.118332203185
Dianne_Feinstein,100,66,0.00770680448405
John_Isakson,100,67,0.0591101093568
Barbara_Boxer,100,68,0.0863719749276
Chris_Coons,100,69,0.0481920204066
John_McCain,100,70,0.165277956239
Lisa_Murkowski,100,71,0.0207195108681
John_Hoeven,100,72,0.187977763285
Jon_Tester,100,73,0.0
Maria_Cantwell,100,74,0.132951917187
Heidi_Heitkamp,100,75,1.05428912532e-05
Marco_Rubio,100,76,0.0545224399929
Barbara_Mikulski,100,77,0.0266083215648
Angus_King,100,78,0.0870062813384
Mazie_Hirono,100,79,0.129206442674
John_Reed,100,80,0.0
Tim_Scott,100,81,0.0875224431409
Bill_Nelson,100,82,0.0503783312103
Richard_Blumenthal,100,83,0.0300855881509
Joe_Donnelly,100,84,5.29625494117e-05
Elizabeth_Warren,100,85,0.0792507136595
Timothy_Kaine,100,86,0.0952065315539
John_Thune,100,87,0.0692049365653
Sherrod_Brown,100,88,0.0254037830962
Michael_Bennet,100,89,0.15438929579
Richard_Shelby,100,90,7.38436092217e-05
Lamar_Alexander,100,91,0.213856052674
Lindsey_Graham,100,92,0.0340082375994
Jeff_Merkley,100,93,0.0895060335565
Christopher_Murphy,100,94,0.027775098204
Kelly_Ayotte,100,95,0.0550339849229
Joe_Manchin,100,96,0.15257135826
Patrick_Toomey,100,97,0.0660131621325
Robert_MenÌ.ndez,100,98,0.129461594559
Ron_Johnson,100,99,0.158405440116
Rand_Paul,100,100,1.0
