,source,target,value
Harry_Reid,83,0,0.136981712753
Thomas_Harkin,83,1,0.215168634937
Max_Baucus,83,2,0.03023704024
Mitch_McConnell,83,3,0.175047817305
Mark_Pryor,83,4,0.201900201898
Susan_Collins,83,5,0.262983327637
Carl_Levin,83,6,0.130686612011
James_Inhofe,83,7,0.116851559246
Jefferson_Sessions,83,8,0.225656562825
David_Vitter,83,9,0.181578433159
John_Rockefeller,83,10,0.235730703542
Bernard_Sanders,83,11,0.128925483195
Thomas_Carper,83,12,0.141082559698
Saxby_Chambliss,83,13,0.168877434041
Richard_Burr,83,14,0.191848981239
Robert_Casey,83,15,0.269494157765
John_Boozman,83,16,0.121120462317
Patty_Murray,83,17,0.194772657827
Mary_Landrieu,83,18,0.237503436889
Jerry_Moran,83,19,0.128913943364
Claire_McCaskill,83,20,0.213926281595
Mark_Udall,83,21,0.198880709654
Kay_Hagan,83,22,0.151365564681
John_Cornyn,83,23,0.205703458964
Michael_Crapo,83,24,0.217387869593
Bob_Corker,83,25,0.256761699703
John_Barrasso,83,26,0.233383898621
Michael_Enzi,83,27,0.171533463256
Thomas_Coburn,83,28,0.0547205625732
Sheldon_Whitehouse,83,29,0.332097866209
Jeanne_Shaheen,83,30,0.31383917792
Martin_Heinrich,83,31,0.213126960022
Daniel_Coats,83,32,0.27349052467
Charles_Schumer,83,33,0.213568642949
Richard_Durbin,83,34,0.226654318459
Roy_Blunt,83,35,0.160161357489
Mark_Warner,83,36,0.204148177218
James_Risch,83,37,0.246219623219
Tim_Johnson,83,38,0.215363040124
Alan_Franken,83,39,0.347037883808
Mark_Begich,83,40,0.232159160041
Brian_Schatz,83,41,0.244035583469
Deb_Fischer,83,42,0.111455244756
Kirsten_Gillibrand,83,43,0.336582766248
Tammy_Baldwin,83,44,0.219934652661
John_Walsh,83,45,0.175043367116
Mark_Kirk,83,46,0.154402182442
Dean_Heller,83,47,0.122786206673
Jeff_Flake,83,48,0.139611592888
Thad_Cochran,83,49,0.176560857481
Mike_Johanns,83,50,0.117903657013
Robert_Portman,83,51,0.132402226333
Edward_Markey,83,52,0.236672506146
Cory_Booker,83,53,0.249551387583
Roger_Wicker,83,54,0.126375942262
Benjamin_Cardin,83,55,0.283730876883
Tom_Udall,83,56,0.128139196397
Mike_Lee,83,57,0.0168263974909
Ted_Cruz,83,58,0.0774850992438
Amy_Klobuchar,83,59,0.161361192542
Pat_Roberts,83,60,0.163696422105
Patrick_Leahy,83,61,0.222745498861
Orrin_Hatch,83,62,0.21438555797
Charles_Grassley,83,63,0.095987953603
Ron_Wyden,83,64,0.210740970005
Debbie_Stabenow,83,65,0.22821003362
Dianne_Feinstein,83,66,0.229811404558
John_Isakson,83,67,0.0691871425749
Barbara_Boxer,83,68,0.353861192553
Chris_Coons,83,69,0.334019628096
John_McCain,83,70,0.137437746451
Lisa_Murkowski,83,71,0.194055667359
John_Hoeven,83,72,0.184690584835
Jon_Tester,83,73,0.168698143203
Maria_Cantwell,83,74,0.100652611488
Heidi_Heitkamp,83,75,0.104059166507
Marco_Rubio,83,76,0.197212968912
Barbara_Mikulski,83,77,0.222175211471
Angus_King,83,78,0.313238921335
Mazie_Hirono,83,79,0.304010378271
John_Reed,83,80,0.255580915731
Tim_Scott,83,81,0.162082962908
Bill_Nelson,83,82,0.195349836206
Richard_Blumenthal,83,83,1.0
Joe_Donnelly,83,84,0.0949964065064
Elizabeth_Warren,83,85,0.292456304007
Timothy_Kaine,83,86,0.187093829651
John_Thune,83,87,0.129392422454
Sherrod_Brown,83,88,0.250062220506
Michael_Bennet,83,89,0.420008265332
Richard_Shelby,83,90,0.051214063605
Lamar_Alexander,83,91,0.184564831708
Lindsey_Graham,83,92,0.0838518044405
Jeff_Merkley,83,93,0.350268277642
Christopher_Murphy,83,94,0.300473965425
Kelly_Ayotte,83,95,0.181500092439
Joe_Manchin,83,96,0.216610469723
Patrick_Toomey,83,97,0.162175272944
Robert_MenÌ.ndez,83,98,0.141797812034
Ron_Johnson,83,99,0.0437268327678
Rand_Paul,83,100,0.0300855881509
