,source,target,value
Harry_Reid,14,0,0.228039487407
Thomas_Harkin,14,1,0.22519943334
Max_Baucus,14,2,0.106267908941
Mitch_McConnell,14,3,0.33642513659
Mark_Pryor,14,4,0.184557234608
Susan_Collins,14,5,0.273887256271
Carl_Levin,14,6,0.0587602977084
James_Inhofe,14,7,0.238208145426
Jefferson_Sessions,14,8,0.326615051174
David_Vitter,14,9,0.309981921916
John_Rockefeller,14,10,0.152428222919
Bernard_Sanders,14,11,0.076124972205
Thomas_Carper,14,12,0.259542939849
Saxby_Chambliss,14,13,0.342057988151
Richard_Burr,14,14,1.0
Robert_Casey,14,15,0.24543239319
John_Boozman,14,16,0.216311202669
Patty_Murray,14,17,0.177395085652
Mary_Landrieu,14,18,0.185128808799
Jerry_Moran,14,19,0.325098550361
Claire_McCaskill,14,20,0.131697041287
Mark_Udall,14,21,0.285835360577
Kay_Hagan,14,22,0.19749130178
John_Cornyn,14,23,0.309660679139
Michael_Crapo,14,24,0.369024080453
Bob_Corker,14,25,0.419085309891
John_Barrasso,14,26,0.365692754737
Michael_Enzi,14,27,0.345126856067
Thomas_Coburn,14,28,0.241174061379
Sheldon_Whitehouse,14,29,0.300914343446
Jeanne_Shaheen,14,30,0.300230640713
Martin_Heinrich,14,31,0.200954779584
Daniel_Coats,14,32,0.409474814592
Charles_Schumer,14,33,0.208509501885
Richard_Durbin,14,34,0.262902930903
Roy_Blunt,14,35,0.317391875587
Mark_Warner,14,36,0.262567786549
James_Risch,14,37,0.406552145842
Tim_Johnson,14,38,0.21578763897
Alan_Franken,14,39,0.226873546412
Mark_Begich,14,40,0.221095048951
Brian_Schatz,14,41,0.217809241107
Deb_Fischer,14,42,0.204038394422
Kirsten_Gillibrand,14,43,0.193939320127
Tammy_Baldwin,14,44,0.135891776266
John_Walsh,14,45,0.196865948293
Mark_Kirk,14,46,0.335221254156
Dean_Heller,14,47,0.306051695809
Jeff_Flake,14,48,0.45979179229
Thad_Cochran,14,49,0.263052164422
Mike_Johanns,14,50,0.201437357899
Robert_Portman,14,51,0.299068214383
Edward_Markey,14,52,0.0990349945173
Cory_Booker,14,53,0.164375477126
Roger_Wicker,14,54,0.287556107363
Benjamin_Cardin,14,55,0.29092658294
Tom_Udall,14,56,0.164414936745
Mike_Lee,14,57,0.122664853185
Ted_Cruz,14,58,0.190095615739
Amy_Klobuchar,14,59,0.199738413072
Pat_Roberts,14,60,0.339382592205
Patrick_Leahy,14,61,0.0451509107328
Orrin_Hatch,14,62,0.238139889333
Charles_Grassley,14,63,0.277606365333
Ron_Wyden,14,64,0.0901431509271
Debbie_Stabenow,14,65,0.20438902601
Dianne_Feinstein,14,66,0.225377045129
John_Isakson,14,67,0.283922345063
Barbara_Boxer,14,68,0.163669593198
Chris_Coons,14,69,0.208553532449
John_McCain,14,70,0.304766397612
Lisa_Murkowski,14,71,0.223422326346
John_Hoeven,14,72,0.329352222858
Jon_Tester,14,73,0.146269588253
Maria_Cantwell,14,74,0.217188445969
Heidi_Heitkamp,14,75,0.177452314238
Marco_Rubio,14,76,0.31213836545
Barbara_Mikulski,14,77,0.0802754876052
Angus_King,14,78,0.349644297188
Mazie_Hirono,14,79,0.252028397527
John_Reed,14,80,0.226335454601
Tim_Scott,14,81,0.496374830303
Bill_Nelson,14,82,0.243858306176
Richard_Blumenthal,14,83,0.191848981239
Joe_Donnelly,14,84,0.164241270816
Elizabeth_Warren,14,85,0.165894013179
Timothy_Kaine,14,86,0.27392441215
John_Thune,14,87,0.327422712463
Sherrod_Brown,14,88,0.13112984572
Michael_Bennet,14,89,0.239857208108
Richard_Shelby,14,90,0.122717690767
Lamar_Alexander,14,91,0.384084820966
Lindsey_Graham,14,92,0.353836114886
Jeff_Merkley,14,93,0.162083801804
Christopher_Murphy,14,94,0.220745163864
Kelly_Ayotte,14,95,0.233289741974
Joe_Manchin,14,96,0.355579085345
Patrick_Toomey,14,97,0.284531675908
Robert_MenÌ.ndez,14,98,0.153198090979
Ron_Johnson,14,99,0.0988044683904
Rand_Paul,14,100,0.119395342152
