,source,target,value
Harry_Reid,34,0,0.247926181836
Thomas_Harkin,34,1,0.229534198508
Max_Baucus,34,2,0.00960819143088
Mitch_McConnell,34,3,0.323892573841
Mark_Pryor,34,4,0.211413843548
Susan_Collins,34,5,0.294500159442
Carl_Levin,34,6,0.178856393225
James_Inhofe,34,7,0.209018367628
Jefferson_Sessions,34,8,0.352821237154
David_Vitter,34,9,0.253977894492
John_Rockefeller,34,10,0.189124370769
Bernard_Sanders,34,11,0.135470578424
Thomas_Carper,34,12,0.262480371067
Saxby_Chambliss,34,13,0.213925974031
Richard_Burr,34,14,0.262902930903
Robert_Casey,34,15,0.271669998317
John_Boozman,34,16,0.18474975982
Patty_Murray,34,17,0.260681950558
Mary_Landrieu,34,18,0.177420639491
Jerry_Moran,34,19,0.149598389243
Claire_McCaskill,34,20,0.171743810587
Mark_Udall,34,21,0.291604526785
Kay_Hagan,34,22,0.185643861818
John_Cornyn,34,23,0.237266654065
Michael_Crapo,34,24,0.29582405525
Bob_Corker,34,25,0.429508655785
John_Barrasso,34,26,0.297138879112
Michael_Enzi,34,27,0.290219341277
Thomas_Coburn,34,28,0.219646775332
Sheldon_Whitehouse,34,29,0.243806420888
Jeanne_Shaheen,34,30,0.255777850931
Martin_Heinrich,34,31,0.234153232227
Daniel_Coats,34,32,0.373590379629
Charles_Schumer,34,33,0.207089287891
Richard_Durbin,34,34,1.0
Roy_Blunt,34,35,0.180582424712
Mark_Warner,34,36,0.296270964416
James_Risch,34,37,0.345293928953
Tim_Johnson,34,38,0.317966566968
Alan_Franken,34,39,0.239871287479
Mark_Begich,34,40,0.213767232789
Brian_Schatz,34,41,0.236931774761
Deb_Fischer,34,42,0.202334411631
Kirsten_Gillibrand,34,43,0.243349227793
Tammy_Baldwin,34,44,0.267561713322
John_Walsh,34,45,0.269347648343
Mark_Kirk,34,46,0.300020277518
Dean_Heller,34,47,0.172258444797
Jeff_Flake,34,48,0.150350645198
Thad_Cochran,34,49,0.242529899105
Mike_Johanns,34,50,0.109851223429
Robert_Portman,34,51,0.249457289251
Edward_Markey,34,52,0.182865804639
Cory_Booker,34,53,0.24260761804
Roger_Wicker,34,54,0.207921998741
Benjamin_Cardin,34,55,0.375157227345
Tom_Udall,34,56,0.197331405333
Mike_Lee,34,57,0.196484488488
Ted_Cruz,34,58,0.119779085014
Amy_Klobuchar,34,59,0.237044704318
Pat_Roberts,34,60,0.316309604603
Patrick_Leahy,34,61,0.196878360394
Orrin_Hatch,34,62,0.24564621414
Charles_Grassley,34,63,0.231039662896
Ron_Wyden,34,64,0.0952383347536
Debbie_Stabenow,34,65,0.316608371693
Dianne_Feinstein,34,66,0.214399590556
John_Isakson,34,67,0.120188091478
Barbara_Boxer,34,68,0.207301891902
Chris_Coons,34,69,0.305229083957
John_McCain,34,70,0.209366401399
Lisa_Murkowski,34,71,0.273191623101
John_Hoeven,34,72,0.313545244956
Jon_Tester,34,73,0.1487055059
Maria_Cantwell,34,74,0.177723686049
Heidi_Heitkamp,34,75,0.147648243182
Marco_Rubio,34,76,0.202003394321
Barbara_Mikulski,34,77,0.175619751475
Angus_King,34,78,0.304113519335
Mazie_Hirono,34,79,0.38365101127
John_Reed,34,80,0.373571283685
Tim_Scott,34,81,0.249160390278
Bill_Nelson,34,82,0.237671833959
Richard_Blumenthal,34,83,0.226654318459
Joe_Donnelly,34,84,0.0634693829039
Elizabeth_Warren,34,85,0.204306080614
Timothy_Kaine,34,86,0.236316015284
John_Thune,34,87,0.223628397309
Sherrod_Brown,34,88,0.195639461563
Michael_Bennet,34,89,0.335104394906
Richard_Shelby,34,90,0.0810166977106
Lamar_Alexander,34,91,0.335160844579
Lindsey_Graham,34,92,0.130266356231
Jeff_Merkley,34,93,0.167087190783
Christopher_Murphy,34,94,0.238226569498
Kelly_Ayotte,34,95,0.168844524152
Joe_Manchin,34,96,0.270358047432
Patrick_Toomey,34,97,0.241707676548
Robert_MenÌ.ndez,34,98,0.313432503202
Ron_Johnson,34,99,0.0467231382941
Rand_Paul,34,100,0.142689255123
