,source,target,value
Harry_Reid,90,0,0.0890871484703
Thomas_Harkin,90,1,0.04864914882
Max_Baucus,90,2,0.0552126226319
Mitch_McConnell,90,3,0.129925960008
Mark_Pryor,90,4,0.0738879576522
Susan_Collins,90,5,0.0812128543498
Carl_Levin,90,6,0.0445449625396
James_Inhofe,90,7,0.0241823655092
Jefferson_Sessions,90,8,0.218780336927
David_Vitter,90,9,0.112313270395
John_Rockefeller,90,10,0.0575717136474
Bernard_Sanders,90,11,0.011902302553
Thomas_Carper,90,12,0.0338406415639
Saxby_Chambliss,90,13,0.104313827175
Richard_Burr,90,14,0.122717690767
Robert_Casey,90,15,0.0687935762219
John_Boozman,90,16,0.0376448199104
Patty_Murray,90,17,0.016415182993
Mary_Landrieu,90,18,0.0488012211537
Jerry_Moran,90,19,0.0484603703711
Claire_McCaskill,90,20,0.0568919266886
Mark_Udall,90,21,0.0684047987941
Kay_Hagan,90,22,0.0505300227773
John_Cornyn,90,23,0.0780442071396
Michael_Crapo,90,24,0.15036674802
Bob_Corker,90,25,0.131342014537
John_Barrasso,90,26,0.154037600409
Michael_Enzi,90,27,0.240071808581
Thomas_Coburn,90,28,0.11174272733
Sheldon_Whitehouse,90,29,0.0349015452617
Jeanne_Shaheen,90,30,0.0523585675352
Martin_Heinrich,90,31,0.0722299392232
Daniel_Coats,90,32,0.129376709179
Charles_Schumer,90,33,0.0382589375202
Richard_Durbin,90,34,0.0810166977106
Roy_Blunt,90,35,0.0530466285882
Mark_Warner,90,36,0.0497686817075
James_Risch,90,37,0.083152705521
Tim_Johnson,90,38,0.112325317353
Alan_Franken,90,39,0.0460069798698
Mark_Begich,90,40,0.0548406671838
Brian_Schatz,90,41,0.0326702028663
Deb_Fischer,90,42,0.0182393639168
Kirsten_Gillibrand,90,43,0.0650988253056
Tammy_Baldwin,90,44,0.0670783888209
John_Walsh,90,45,0.0464861697271
Mark_Kirk,90,46,0.0478280780657
Dean_Heller,90,47,0.0792892544473
Jeff_Flake,90,48,0.108429043204
Thad_Cochran,90,49,0.114369143452
Mike_Johanns,90,50,0.0702272179213
Robert_Portman,90,51,0.0868063334063
Edward_Markey,90,52,0.027081023871
Cory_Booker,90,53,0.0201514504461
Roger_Wicker,90,54,0.0937310119621
Benjamin_Cardin,90,55,0.0545976466005
Tom_Udall,90,56,0.0541089265433
Mike_Lee,90,57,0.064262913004
Ted_Cruz,90,58,0.0867868338641
Amy_Klobuchar,90,59,0.0710725608798
Pat_Roberts,90,60,0.102456913366
Patrick_Leahy,90,61,0.0217149989274
Orrin_Hatch,90,62,0.0813443170962
Charles_Grassley,90,63,0.133454325291
Ron_Wyden,90,64,0.0978615826474
Debbie_Stabenow,90,65,0.0505214555261
Dianne_Feinstein,90,66,0.0182890586354
John_Isakson,90,67,0.0611270474839
Barbara_Boxer,90,68,0.0479428203204
Chris_Coons,90,69,0.0419027586486
John_McCain,90,70,0.0664480721877
Lisa_Murkowski,90,71,0.0863897123625
John_Hoeven,90,72,0.105622965449
Jon_Tester,90,73,0.0259622819135
Maria_Cantwell,90,74,0.0192742187363
Heidi_Heitkamp,90,75,0.025285069406
Marco_Rubio,90,76,0.0723664616037
Barbara_Mikulski,90,77,0.0165053814155
Angus_King,90,78,0.0988396561672
Mazie_Hirono,90,79,0.033394853955
John_Reed,90,80,0.096057723862
Tim_Scott,90,81,0.0503738999157
Bill_Nelson,90,82,0.0508226791958
Richard_Blumenthal,90,83,0.051214063605
Joe_Donnelly,90,84,0.0631612795401
Elizabeth_Warren,90,85,0.0555469236147
Timothy_Kaine,90,86,0.0781950288779
John_Thune,90,87,0.0859276249282
Sherrod_Brown,90,88,0.0467868075029
Michael_Bennet,90,89,0.039571444584
Richard_Shelby,90,90,1.0
Lamar_Alexander,90,91,0.102540667563
Lindsey_Graham,90,92,0.11428413599
Jeff_Merkley,90,93,0.0205004779551
Christopher_Murphy,90,94,0.046463491148
Kelly_Ayotte,90,95,0.0495055484708
Joe_Manchin,90,96,0.0613511414681
Patrick_Toomey,90,97,0.105937350777
Robert_MenÌ.ndez,90,98,0.016338485432
Ron_Johnson,90,99,0.132386473196
Rand_Paul,90,100,7.38436092217e-05
