,source,target,value
Harry_Reid,15,0,0.141065276416
Thomas_Harkin,15,1,0.304974210324
Max_Baucus,15,2,0.0389595212246
Mitch_McConnell,15,3,0.229844456572
Mark_Pryor,15,4,0.369441653469
Susan_Collins,15,5,0.194587028027
Carl_Levin,15,6,0.225231879251
James_Inhofe,15,7,0.178047844305
Jefferson_Sessions,15,8,0.293027224317
David_Vitter,15,9,0.15253499997
John_Rockefeller,15,10,0.10309263612
Bernard_Sanders,15,11,0.231216134595
Thomas_Carper,15,12,0.153409925891
Saxby_Chambliss,15,13,0.222483587806
Richard_Burr,15,14,0.24543239319
Robert_Casey,15,15,1.0
John_Boozman,15,16,0.295213766331
Patty_Murray,15,17,0.236385009602
Mary_Landrieu,15,18,0.240316308364
Jerry_Moran,15,19,0.151040256872
Claire_McCaskill,15,20,0.192330976505
Mark_Udall,15,21,0.365533536507
Kay_Hagan,15,22,0.268844312509
John_Cornyn,15,23,0.218082662617
Michael_Crapo,15,24,0.361912424118
Bob_Corker,15,25,0.397033221644
John_Barrasso,15,26,0.274761613589
Michael_Enzi,15,27,0.27357884493
Thomas_Coburn,15,28,0.175768502684
Sheldon_Whitehouse,15,29,0.266751130555
Jeanne_Shaheen,15,30,0.268128880721
Martin_Heinrich,15,31,0.291576129539
Daniel_Coats,15,32,0.363936003508
Charles_Schumer,15,33,0.426846522803
Richard_Durbin,15,34,0.271669998317
Roy_Blunt,15,35,0.138741675481
Mark_Warner,15,36,0.35765441952
James_Risch,15,37,0.335512642555
Tim_Johnson,15,38,0.253205680826
Alan_Franken,15,39,0.382655754706
Mark_Begich,15,40,0.216181928046
Brian_Schatz,15,41,0.345096503379
Deb_Fischer,15,42,0.154264152984
Kirsten_Gillibrand,15,43,0.279979454974
Tammy_Baldwin,15,44,0.244687996114
John_Walsh,15,45,0.265642082527
Mark_Kirk,15,46,0.211478682098
Dean_Heller,15,47,0.234778255026
Jeff_Flake,15,48,0.151008886023
Thad_Cochran,15,49,0.284749685466
Mike_Johanns,15,50,0.234671503256
Robert_Portman,15,51,0.179666541411
Edward_Markey,15,52,0.224405869017
Cory_Booker,15,53,0.147912350466
Roger_Wicker,15,54,0.217117289983
Benjamin_Cardin,15,55,0.364955039235
Tom_Udall,15,56,0.224176730865
Mike_Lee,15,57,0.115195346705
Ted_Cruz,15,58,0.194235669007
Amy_Klobuchar,15,59,0.224370143113
Pat_Roberts,15,60,0.256843561537
Patrick_Leahy,15,61,0.126771975422
Orrin_Hatch,15,62,0.186288335989
Charles_Grassley,15,63,0.113122910982
Ron_Wyden,15,64,0.174312971398
Debbie_Stabenow,15,65,0.283543742194
Dianne_Feinstein,15,66,0.194025446347
John_Isakson,15,67,0.12254203268
Barbara_Boxer,15,68,0.270851225402
Chris_Coons,15,69,0.318745979635
John_McCain,15,70,0.190541091173
Lisa_Murkowski,15,71,0.242996857881
John_Hoeven,15,72,0.278948069556
Jon_Tester,15,73,0.280189683792
Maria_Cantwell,15,74,0.169964003792
Heidi_Heitkamp,15,75,0.237454290982
Marco_Rubio,15,76,0.334086782293
Barbara_Mikulski,15,77,0.222623629646
Angus_King,15,78,0.278597964191
Mazie_Hirono,15,79,0.284828209117
John_Reed,15,80,0.320645891784
Tim_Scott,15,81,0.194951443498
Bill_Nelson,15,82,0.279794104062
Richard_Blumenthal,15,83,0.269494157765
Joe_Donnelly,15,84,0.315397781547
Elizabeth_Warren,15,85,0.337991537023
Timothy_Kaine,15,86,0.251633954636
John_Thune,15,87,0.16868559141
Sherrod_Brown,15,88,0.350062190003
Michael_Bennet,15,89,0.338006392793
Richard_Shelby,15,90,0.0687935762219
Lamar_Alexander,15,91,0.309551570192
Lindsey_Graham,15,92,0.117956519924
Jeff_Merkley,15,93,0.193979973094
Christopher_Murphy,15,94,0.23359375004
Kelly_Ayotte,15,95,0.133792228453
Joe_Manchin,15,96,0.336043217583
Patrick_Toomey,15,97,0.266604474671
Robert_MenÌ.ndez,15,98,0.273625802219
Ron_Johnson,15,99,0.0944198885261
Rand_Paul,15,100,0.142007671854
