,source,target,value
Harry_Reid,98,0,0.196122847929
Thomas_Harkin,98,1,0.108353646011
Max_Baucus,98,2,0.0734041315282
Mitch_McConnell,98,3,0.167718029156
Mark_Pryor,98,4,0.223021150938
Susan_Collins,98,5,0.145169432253
Carl_Levin,98,6,0.297386298842
James_Inhofe,98,7,0.103121466536
Jefferson_Sessions,98,8,0.123051921828
David_Vitter,98,9,0.176996048063
John_Rockefeller,98,10,0.138153440862
Bernard_Sanders,98,11,0.194830285066
Thomas_Carper,98,12,0.231572676091
Saxby_Chambliss,98,13,0.0846572469926
Richard_Burr,98,14,0.153198090979
Robert_Casey,98,15,0.273625802219
John_Boozman,98,16,0.151914114765
Patty_Murray,98,17,0.283888315965
Mary_Landrieu,98,18,0.280146566402
Jerry_Moran,98,19,0.0894584925272
Claire_McCaskill,98,20,0.183637625534
Mark_Udall,98,21,0.326710239682
Kay_Hagan,98,22,0.142629853911
John_Cornyn,98,23,0.117328240722
Michael_Crapo,98,24,0.152852934973
Bob_Corker,98,25,0.209318138476
John_Barrasso,98,26,0.122295181599
Michael_Enzi,98,27,0.162944774617
Thomas_Coburn,98,28,0.166351272102
Sheldon_Whitehouse,98,29,0.252442484552
Jeanne_Shaheen,98,30,0.293925393181
Martin_Heinrich,98,31,0.219671773654
Daniel_Coats,98,32,0.146644517336
Charles_Schumer,98,33,0.350045452472
Richard_Durbin,98,34,0.313432503202
Roy_Blunt,98,35,0.0987740823253
Mark_Warner,98,36,0.391929921782
James_Risch,98,37,0.154086439463
Tim_Johnson,98,38,0.142686539938
Alan_Franken,98,39,0.229505277378
Mark_Begich,98,40,0.160583724286
Brian_Schatz,98,41,0.22389926304
Deb_Fischer,98,42,0.096497706053
Kirsten_Gillibrand,98,43,0.269928600213
Tammy_Baldwin,98,44,0.199394680797
John_Walsh,98,45,0.248641176846
Mark_Kirk,98,46,0.201887430157
Dean_Heller,98,47,0.172491671532
Jeff_Flake,98,48,0.0629273980853
Thad_Cochran,98,49,0.120422868967
Mike_Johanns,98,50,0.155527039789
Robert_Portman,98,51,0.172999836337
Edward_Markey,98,52,0.294303432285
Cory_Booker,98,53,0.415257621488
Roger_Wicker,98,54,0.151030809871
Benjamin_Cardin,98,55,0.274666435189
Tom_Udall,98,56,0.180988130748
Mike_Lee,98,57,0.189101743322
Ted_Cruz,98,58,0.0835937123597
Amy_Klobuchar,98,59,0.246213722275
Pat_Roberts,98,60,0.159359013346
Patrick_Leahy,98,61,0.295929313049
Orrin_Hatch,98,62,0.0960601943389
Charles_Grassley,98,63,0.250671137694
Ron_Wyden,98,64,0.135735982423
Debbie_Stabenow,98,65,0.267768212252
Dianne_Feinstein,98,66,0.305381946277
John_Isakson,98,67,0.104103361937
Barbara_Boxer,98,68,0.30595725585
Chris_Coons,98,69,0.334108816461
John_McCain,98,70,0.157948651915
Lisa_Murkowski,98,71,0.188952478454
John_Hoeven,98,72,0.208144654553
Jon_Tester,98,73,0.23657452622
Maria_Cantwell,98,74,0.291852012045
Heidi_Heitkamp,98,75,0.179994160099
Marco_Rubio,98,76,0.103547482325
Barbara_Mikulski,98,77,0.119542765272
Angus_King,98,78,0.165303397762
Mazie_Hirono,98,79,0.308849766315
John_Reed,98,80,0.26449014646
Tim_Scott,98,81,0.12190147562
Bill_Nelson,98,82,0.285007882617
Richard_Blumenthal,98,83,0.141797812034
Joe_Donnelly,98,84,0.251702746242
Elizabeth_Warren,98,85,0.262543345768
Timothy_Kaine,98,86,0.313659684967
John_Thune,98,87,0.179159772874
Sherrod_Brown,98,88,0.344758422093
Michael_Bennet,98,89,0.232945210967
Richard_Shelby,98,90,0.016338485432
Lamar_Alexander,98,91,0.160866852899
Lindsey_Graham,98,92,0.103447251821
Jeff_Merkley,98,93,0.152523808841
Christopher_Murphy,98,94,0.366356388761
Kelly_Ayotte,98,95,0.121954219433
Joe_Manchin,98,96,0.175961464841
Patrick_Toomey,98,97,0.12581958781
Robert_MenÌ.ndez,98,98,1.0
Ron_Johnson,98,99,0.0284324845235
Rand_Paul,98,100,0.129461594559
