,source,target,value
Harry_Reid,51,0,0.304688255605
Thomas_Harkin,51,1,0.148640698401
Max_Baucus,51,2,0.0444958205834
Mitch_McConnell,51,3,0.338906277812
Mark_Pryor,51,4,0.220718394651
Susan_Collins,51,5,0.155107420387
Carl_Levin,51,6,0.0299828841422
James_Inhofe,51,7,0.275573889274
Jefferson_Sessions,51,8,0.327451751222
David_Vitter,51,9,0.309479229761
John_Rockefeller,51,10,0.078964317282
Bernard_Sanders,51,11,0.075568101985
Thomas_Carper,51,12,0.148655352292
Saxby_Chambliss,51,13,0.164348859403
Richard_Burr,51,14,0.299068214383
Robert_Casey,51,15,0.179666541411
John_Boozman,51,16,0.201570758995
Patty_Murray,51,17,0.085748944613
Mary_Landrieu,51,18,0.159081197763
Jerry_Moran,51,19,0.201962678819
Claire_McCaskill,51,20,0.221150723203
Mark_Udall,51,21,0.226065217188
Kay_Hagan,51,22,0.11549406747
John_Cornyn,51,23,0.2818646675
Michael_Crapo,51,24,0.278117894314
Bob_Corker,51,25,0.251154066269
John_Barrasso,51,26,0.323671004803
Michael_Enzi,51,27,0.391128747317
Thomas_Coburn,51,28,0.17163776596
Sheldon_Whitehouse,51,29,0.16577487765
Jeanne_Shaheen,51,30,0.24614239327
Martin_Heinrich,51,31,0.258851129011
Daniel_Coats,51,32,0.295565143075
Charles_Schumer,51,33,0.154916389085
Richard_Durbin,51,34,0.249457289251
Roy_Blunt,51,35,0.167037654332
Mark_Warner,51,36,0.344647999855
James_Risch,51,37,0.26531696861
Tim_Johnson,51,38,0.142171969609
Alan_Franken,51,39,0.172538097483
Mark_Begich,51,40,0.225866273677
Brian_Schatz,51,41,0.165118747763
Deb_Fischer,51,42,0.232248991117
Kirsten_Gillibrand,51,43,0.127186500081
Tammy_Baldwin,51,44,0.0950815030787
John_Walsh,51,45,0.215539783304
Mark_Kirk,51,46,0.382916591459
Dean_Heller,51,47,0.242034639545
Jeff_Flake,51,48,0.166004456655
Thad_Cochran,51,49,0.269515015856
Mike_Johanns,51,50,0.138277727946
Robert_Portman,51,51,1.0
Edward_Markey,51,52,0.128682524853
Cory_Booker,51,53,0.172265331189
Roger_Wicker,51,54,0.217629575324
Benjamin_Cardin,51,55,0.170927177473
Tom_Udall,51,56,0.190248854717
Mike_Lee,51,57,0.285947890066
Ted_Cruz,51,58,0.221713917206
Amy_Klobuchar,51,59,0.10314150087
Pat_Roberts,51,60,0.260614190621
Patrick_Leahy,51,61,0.106981299899
Orrin_Hatch,51,62,0.297454550893
Charles_Grassley,51,63,0.442434924649
Ron_Wyden,51,64,0.0943529891383
Debbie_Stabenow,51,65,0.0809925038372
Dianne_Feinstein,51,66,0.225854641023
John_Isakson,51,67,0.385533452867
Barbara_Boxer,51,68,0.197147305459
Chris_Coons,51,69,0.157087315009
John_McCain,51,70,0.137572230452
Lisa_Murkowski,51,71,0.38594409906
John_Hoeven,51,72,0.435387732151
Jon_Tester,51,73,0.202477624261
Maria_Cantwell,51,74,0.132701234075
Heidi_Heitkamp,51,75,0.176372298828
Marco_Rubio,51,76,0.340363281901
Barbara_Mikulski,51,77,0.138937161009
Angus_King,51,78,0.214591605189
Mazie_Hirono,51,79,0.231364276959
John_Reed,51,80,0.137034687238
Tim_Scott,51,81,0.425595166047
Bill_Nelson,51,82,0.234146031591
Richard_Blumenthal,51,83,0.132402226333
Joe_Donnelly,51,84,0.152460579689
Elizabeth_Warren,51,85,0.179211418243
Timothy_Kaine,51,86,0.287289982154
John_Thune,51,87,0.389024448566
Sherrod_Brown,51,88,0.245282034187
Michael_Bennet,51,89,0.324556068167
Richard_Shelby,51,90,0.0868063334063
Lamar_Alexander,51,91,0.319258819834
Lindsey_Graham,51,92,0.137142569829
Jeff_Merkley,51,93,0.147546297957
Christopher_Murphy,51,94,0.204186795707
Kelly_Ayotte,51,95,0.229651286831
Joe_Manchin,51,96,0.165405410281
Patrick_Toomey,51,97,0.390516134609
Robert_MenÌ.ndez,51,98,0.172999836337
Ron_Johnson,51,99,0.101923193314
Rand_Paul,51,100,0.0272651332655
