,source,target,value
Harry_Reid,54,0,0.400152171394
Thomas_Harkin,54,1,0.21922546703
Max_Baucus,54,2,0.090572348211
Mitch_McConnell,54,3,0.283754502877
Mark_Pryor,54,4,0.244378457349
Susan_Collins,54,5,0.302464011102
Carl_Levin,54,6,0.0939914640906
James_Inhofe,54,7,0.28426597813
Jefferson_Sessions,54,8,0.247405151067
David_Vitter,54,9,0.26157505855
John_Rockefeller,54,10,0.155057149588
Bernard_Sanders,54,11,0.162610169672
Thomas_Carper,54,12,0.16907934034
Saxby_Chambliss,54,13,0.242537511089
Richard_Burr,54,14,0.287556107363
Robert_Casey,54,15,0.217117289983
John_Boozman,54,16,0.349315237775
Patty_Murray,54,17,0.183577015055
Mary_Landrieu,54,18,0.137802944081
Jerry_Moran,54,19,0.272098663566
Claire_McCaskill,54,20,0.127897558421
Mark_Udall,54,21,0.193469706326
Kay_Hagan,54,22,0.159104217297
John_Cornyn,54,23,0.317471308626
Michael_Crapo,54,24,0.30817176136
Bob_Corker,54,25,0.284359513804
John_Barrasso,54,26,0.257648252506
Michael_Enzi,54,27,0.365771507002
Thomas_Coburn,54,28,0.282734686429
Sheldon_Whitehouse,54,29,0.199300646081
Jeanne_Shaheen,54,30,0.197671739107
Martin_Heinrich,54,31,0.236479671069
Daniel_Coats,54,32,0.384037855116
Charles_Schumer,54,33,0.163379896016
Richard_Durbin,54,34,0.207921998741
Roy_Blunt,54,35,0.234875196921
Mark_Warner,54,36,0.173300363708
James_Risch,54,37,0.323039704194
Tim_Johnson,54,38,0.319659725608
Alan_Franken,54,39,0.205204361287
Mark_Begich,54,40,0.138535422356
Brian_Schatz,54,41,0.217907779362
Deb_Fischer,54,42,0.269434982146
Kirsten_Gillibrand,54,43,0.203218066115
Tammy_Baldwin,54,44,0.29087439004
John_Walsh,54,45,0.245902042433
Mark_Kirk,54,46,0.227489777727
Dean_Heller,54,47,0.146345661544
Jeff_Flake,54,48,0.189656097841
Thad_Cochran,54,49,0.410615565171
Mike_Johanns,54,50,0.181355099265
Robert_Portman,54,51,0.217629575324
Edward_Markey,54,52,0.0965341951991
Cory_Booker,54,53,0.0937523760491
Roger_Wicker,54,54,1.0
Benjamin_Cardin,54,55,0.156504720988
Tom_Udall,54,56,0.236633278766
Mike_Lee,54,57,0.168874884928
Ted_Cruz,54,58,0.219950915246
Amy_Klobuchar,54,59,0.157631466682
Pat_Roberts,54,60,0.340273177968
Patrick_Leahy,54,61,0.102501829069
Orrin_Hatch,54,62,0.211215252908
Charles_Grassley,54,63,0.285990397783
Ron_Wyden,54,64,0.107411004333
Debbie_Stabenow,54,65,0.202829185191
Dianne_Feinstein,54,66,0.244306691844
John_Isakson,54,67,0.176799631714
Barbara_Boxer,54,68,0.131064245423
Chris_Coons,54,69,0.17894398548
John_McCain,54,70,0.263877320319
Lisa_Murkowski,54,71,0.220673780091
John_Hoeven,54,72,0.302725539987
Jon_Tester,54,73,0.165977751251
Maria_Cantwell,54,74,0.19255236704
Heidi_Heitkamp,54,75,0.207446712046
Marco_Rubio,54,76,0.192629792399
Barbara_Mikulski,54,77,0.125935844696
Angus_King,54,78,0.218881843022
Mazie_Hirono,54,79,0.240350403291
John_Reed,54,80,0.228904076477
Tim_Scott,54,81,0.233431477031
Bill_Nelson,54,82,0.185624998798
Richard_Blumenthal,54,83,0.126375942262
Joe_Donnelly,54,84,0.173698652067
Elizabeth_Warren,54,85,0.158970609352
Timothy_Kaine,54,86,0.310311848294
John_Thune,54,87,0.30592638884
Sherrod_Brown,54,88,0.122218677583
Michael_Bennet,54,89,0.209801524903
Richard_Shelby,54,90,0.0937310119621
Lamar_Alexander,54,91,0.297219729862
Lindsey_Graham,54,92,0.251353122138
Jeff_Merkley,54,93,0.108337625721
Christopher_Murphy,54,94,0.190091811482
Kelly_Ayotte,54,95,0.346413584972
Joe_Manchin,54,96,0.396472561576
Patrick_Toomey,54,97,0.292559890722
Robert_MenÌ.ndez,54,98,0.151030809871
Ron_Johnson,54,99,0.138328429505
Rand_Paul,54,100,0.112148422712
