,source,target,value
Harry_Reid,99,0,0.149302596322
Thomas_Harkin,99,1,0.0829353132173
Max_Baucus,99,2,0.0
Mitch_McConnell,99,3,0.0751740806053
Mark_Pryor,99,4,0.100387881114
Susan_Collins,99,5,0.0642664710961
Carl_Levin,99,6,0.0433508144507
James_Inhofe,99,7,0.0466312457632
Jefferson_Sessions,99,8,0.0953623233558
David_Vitter,99,9,0.0277016797859
John_Rockefeller,99,10,0.0900722833911
Bernard_Sanders,99,11,0.142920033564
Thomas_Carper,99,12,0.161338674728
Saxby_Chambliss,99,13,0.0767128536183
Richard_Burr,99,14,0.0988044683904
Robert_Casey,99,15,0.0944198885261
John_Boozman,99,16,0.235543783274
Patty_Murray,99,17,0.224792117849
Mary_Landrieu,99,18,0.0614832155926
Jerry_Moran,99,19,0.105009944419
Claire_McCaskill,99,20,0.0843412613942
Mark_Udall,99,21,0.109948256495
Kay_Hagan,99,22,0.0944566857488
John_Cornyn,99,23,0.0620459865888
Michael_Crapo,99,24,0.191460015311
Bob_Corker,99,25,0.162608313282
John_Barrasso,99,26,0.191003885998
Michael_Enzi,99,27,0.164117751449
Thomas_Coburn,99,28,0.324953697701
Sheldon_Whitehouse,99,29,0.126249067728
Jeanne_Shaheen,99,30,0.129428124133
Martin_Heinrich,99,31,0.119432551566
Daniel_Coats,99,32,0.0814918144472
Charles_Schumer,99,33,0.00360506566979
Richard_Durbin,99,34,0.0467231382941
Roy_Blunt,99,35,0.0726251778344
Mark_Warner,99,36,0.0812595850549
James_Risch,99,37,0.0555100095931
Tim_Johnson,99,38,0.120186524975
Alan_Franken,99,39,0.0802932025721
Mark_Begich,99,40,0.0715294192242
Brian_Schatz,99,41,0.0787702927981
Deb_Fischer,99,42,0.0781069296515
Kirsten_Gillibrand,99,43,0.0635790221901
Tammy_Baldwin,99,44,0.117316910717
John_Walsh,99,45,0.0280571435064
Mark_Kirk,99,46,0.110871388053
Dean_Heller,99,47,0.0538722648984
Jeff_Flake,99,48,0.12183347889
Thad_Cochran,99,49,0.151292726614
Mike_Johanns,99,50,0.0285292596287
Robert_Portman,99,51,0.101923193314
Edward_Markey,99,52,0.0303056705514
Cory_Booker,99,53,0.0638419124215
Roger_Wicker,99,54,0.138328429505
Benjamin_Cardin,99,55,0.104578826377
Tom_Udall,99,56,0.171161904373
Mike_Lee,99,57,0.107482947505
Ted_Cruz,99,58,0.143433215383
Amy_Klobuchar,99,59,0.0921892982043
Pat_Roberts,99,60,0.202575011123
Patrick_Leahy,99,61,0.0881335592051
Orrin_Hatch,99,62,0.0341706573188
Charles_Grassley,99,63,0.159339615314
Ron_Wyden,99,64,0.120815608413
Debbie_Stabenow,99,65,0.0758962777765
Dianne_Feinstein,99,66,0.0678439352803
John_Isakson,99,67,0.187513932587
Barbara_Boxer,99,68,0.081146283078
Chris_Coons,99,69,0.0808508278126
John_McCain,99,70,0.146562643314
Lisa_Murkowski,99,71,0.0607549224237
John_Hoeven,99,72,0.0931564572666
Jon_Tester,99,73,0.0141335945185
Maria_Cantwell,99,74,0.0986203414741
Heidi_Heitkamp,99,75,0.0075317982948
Marco_Rubio,99,76,0.0223785441414
Barbara_Mikulski,99,77,0.118588810465
Angus_King,99,78,0.132671679143
Mazie_Hirono,99,79,0.123637751966
John_Reed,99,80,0.0849226063441
Tim_Scott,99,81,0.0659675515229
Bill_Nelson,99,82,0.0304609336257
Richard_Blumenthal,99,83,0.0437268327678
Joe_Donnelly,99,84,0.0901414649183
Elizabeth_Warren,99,85,0.0756399486593
Timothy_Kaine,99,86,0.135500893149
John_Thune,99,87,0.0355572340709
Sherrod_Brown,99,88,0.114205124176
Michael_Bennet,99,89,0.0958422177563
Richard_Shelby,99,90,0.132386473196
Lamar_Alexander,99,91,0.145128902098
Lindsey_Graham,99,92,0.17293130868
Jeff_Merkley,99,93,0.0857207836613
Christopher_Murphy,99,94,0.0520396302234
Kelly_Ayotte,99,95,0.0867365641204
Joe_Manchin,99,96,0.0666071545809
Patrick_Toomey,99,97,0.0376430637644
Robert_MenÌ.ndez,99,98,0.0284324845235
Ron_Johnson,99,99,1.0
Rand_Paul,99,100,0.158405440116
