,source,target,value
Harry_Reid,64,0,0.19997056003
Thomas_Harkin,64,1,0.112378104534
Max_Baucus,64,2,0.00368770501181
Mitch_McConnell,64,3,0.0956833197082
Mark_Pryor,64,4,0.134198486311
Susan_Collins,64,5,0.152254275916
Carl_Levin,64,6,0.0648402215768
James_Inhofe,64,7,0.0120954459059
Jefferson_Sessions,64,8,0.0792946993965
David_Vitter,64,9,0.0894400356043
John_Rockefeller,64,10,0.12962830819
Bernard_Sanders,64,11,0.255945471261
Thomas_Carper,64,12,0.143104846304
Saxby_Chambliss,64,13,0.0877242292305
Richard_Burr,64,14,0.0901431509271
Robert_Casey,64,15,0.174312971398
John_Boozman,64,16,0.112640530476
Patty_Murray,64,17,0.101857248892
Mary_Landrieu,64,18,0.202282938951
Jerry_Moran,64,19,0.0613565363638
Claire_McCaskill,64,20,0.324708556505
Mark_Udall,64,21,0.122246669285
Kay_Hagan,64,22,0.123783128854
John_Cornyn,64,23,0.0810941955798
Michael_Crapo,64,24,0.234051747801
Bob_Corker,64,25,0.0911156430141
John_Barrasso,64,26,0.154455429962
Michael_Enzi,64,27,0.116196459758
Thomas_Coburn,64,28,0.189438357258
Sheldon_Whitehouse,64,29,0.228601805038
Jeanne_Shaheen,64,30,0.14430459518
Martin_Heinrich,64,31,0.171955042078
Daniel_Coats,64,32,0.0783853732266
Charles_Schumer,64,33,0.0963420577057
Richard_Durbin,64,34,0.0952383347536
Roy_Blunt,64,35,0.0882243857421
Mark_Warner,64,36,0.14799249002
James_Risch,64,37,0.0898556880858
Tim_Johnson,64,38,0.214307079514
Alan_Franken,64,39,0.149507776791
Mark_Begich,64,40,0.0932133205139
Brian_Schatz,64,41,0.255347979991
Deb_Fischer,64,42,0.164234893334
Kirsten_Gillibrand,64,43,0.293601111077
Tammy_Baldwin,64,44,0.189918882587
John_Walsh,64,45,0.0648978174567
Mark_Kirk,64,46,0.12819842955
Dean_Heller,64,47,0.0576900650787
Jeff_Flake,64,48,0.0637117824188
Thad_Cochran,64,49,0.140461457902
Mike_Johanns,64,50,0.0663399882157
Robert_Portman,64,51,0.0943529891383
Edward_Markey,64,52,0.283320367975
Cory_Booker,64,53,0.195127050737
Roger_Wicker,64,54,0.107411004333
Benjamin_Cardin,64,55,0.329607843172
Tom_Udall,64,56,0.211182119105
Mike_Lee,64,57,0.0128977402317
Ted_Cruz,64,58,0.0924681796944
Amy_Klobuchar,64,59,0.224652329443
Pat_Roberts,64,60,0.133781099859
Patrick_Leahy,64,61,0.242431502151
Orrin_Hatch,64,62,0.0457522871168
Charles_Grassley,64,63,0.164454556076
Ron_Wyden,64,64,1.0
Debbie_Stabenow,64,65,0.126744015405
Dianne_Feinstein,64,66,0.167536600249
John_Isakson,64,67,0.113266819175
Barbara_Boxer,64,68,0.115832933545
Chris_Coons,64,69,0.176505655784
John_McCain,64,70,0.0477593888142
Lisa_Murkowski,64,71,0.13336659604
John_Hoeven,64,72,0.0280046104077
Jon_Tester,64,73,0.0639162508803
Maria_Cantwell,64,74,0.241512998567
Heidi_Heitkamp,64,75,0.223482979359
Marco_Rubio,64,76,0.092679510451
Barbara_Mikulski,64,77,0.243144031244
Angus_King,64,78,0.185635973449
Mazie_Hirono,64,79,0.265570302933
John_Reed,64,80,0.253959529796
Tim_Scott,64,81,0.0393679396879
Bill_Nelson,64,82,0.0766879399288
Richard_Blumenthal,64,83,0.210740970005
Joe_Donnelly,64,84,0.14803880146
Elizabeth_Warren,64,85,0.174451451674
Timothy_Kaine,64,86,0.29556989112
John_Thune,64,87,0.0565965241558
Sherrod_Brown,64,88,0.184348901898
Michael_Bennet,64,89,0.23241844878
Richard_Shelby,64,90,0.0978615826474
Lamar_Alexander,64,91,0.129808834211
Lindsey_Graham,64,92,0.05672225614
Jeff_Merkley,64,93,0.261359449508
Christopher_Murphy,64,94,0.169461482702
Kelly_Ayotte,64,95,0.061050687582
Joe_Manchin,64,96,0.168444347986
Patrick_Toomey,64,97,0.0680664631419
Robert_MenÌ.ndez,64,98,0.135735982423
Ron_Johnson,64,99,0.120815608413
Rand_Paul,64,100,0.00307575807352
