,source,target,value
Harry_Reid,35,0,0.227189594781
Thomas_Harkin,35,1,0.281442532385
Max_Baucus,35,2,0.10331071816
Mitch_McConnell,35,3,0.24256655459
Mark_Pryor,35,4,0.193836908411
Susan_Collins,35,5,0.196669389577
Carl_Levin,35,6,0.0614107378562
James_Inhofe,35,7,0.205409074476
Jefferson_Sessions,35,8,0.239748254667
David_Vitter,35,9,0.299808840917
John_Rockefeller,35,10,0.14032044292
Bernard_Sanders,35,11,0.0514915133704
Thomas_Carper,35,12,0.125347132285
Saxby_Chambliss,35,13,0.268268045619
Richard_Burr,35,14,0.317391875587
Robert_Casey,35,15,0.138741675481
John_Boozman,35,16,0.260031011004
Patty_Murray,35,17,0.157709647063
Mary_Landrieu,35,18,0.227115656825
Jerry_Moran,35,19,0.270033171447
Claire_McCaskill,35,20,0.209657332293
Mark_Udall,35,21,0.185477013456
Kay_Hagan,35,22,0.111776026703
John_Cornyn,35,23,0.247568661817
Michael_Crapo,35,24,0.228892071773
Bob_Corker,35,25,0.25404289149
John_Barrasso,35,26,0.302156330231
Michael_Enzi,35,27,0.252666540598
Thomas_Coburn,35,28,0.102618211154
Sheldon_Whitehouse,35,29,0.13751261776
Jeanne_Shaheen,35,30,0.187688092349
Martin_Heinrich,35,31,0.128280363722
Daniel_Coats,35,32,0.27035808856
Charles_Schumer,35,33,0.141408711344
Richard_Durbin,35,34,0.180582424712
Roy_Blunt,35,35,1.0
Mark_Warner,35,36,0.217498143142
James_Risch,35,37,0.265618310779
Tim_Johnson,35,38,0.236463485771
Alan_Franken,35,39,0.209001562505
Mark_Begich,35,40,0.296254695985
Brian_Schatz,35,41,0.150360734101
Deb_Fischer,35,42,0.0926630030426
Kirsten_Gillibrand,35,43,0.117886251161
Tammy_Baldwin,35,44,0.107131632325
John_Walsh,35,45,0.139070236779
Mark_Kirk,35,46,0.167581009735
Dean_Heller,35,47,0.21961681257
Jeff_Flake,35,48,0.240831060188
Thad_Cochran,35,49,0.277789565526
Mike_Johanns,35,50,0.145923447496
Robert_Portman,35,51,0.167037654332
Edward_Markey,35,52,0.0879548948165
Cory_Booker,35,53,0.116149037996
Roger_Wicker,35,54,0.234875196921
Benjamin_Cardin,35,55,0.316845133161
Tom_Udall,35,56,0.114306849816
Mike_Lee,35,57,0.0436614036294
Ted_Cruz,35,58,0.0537946263785
Amy_Klobuchar,35,59,0.108675961741
Pat_Roberts,35,60,0.225161195339
Patrick_Leahy,35,61,0.0568006537565
Orrin_Hatch,35,62,0.145340578926
Charles_Grassley,35,63,0.108771116647
Ron_Wyden,35,64,0.0882243857421
Debbie_Stabenow,35,65,0.149672344974
Dianne_Feinstein,35,66,0.152429716396
John_Isakson,35,67,0.240739422858
Barbara_Boxer,35,68,0.148257770215
Chris_Coons,35,69,0.185773790565
John_McCain,35,70,0.1967162872
Lisa_Murkowski,35,71,0.382622871509
John_Hoeven,35,72,0.241386144708
Jon_Tester,35,73,0.154147146556
Maria_Cantwell,35,74,0.135280448404
Heidi_Heitkamp,35,75,0.0918927379168
Marco_Rubio,35,76,0.1527527059
Barbara_Mikulski,35,77,0.123645947917
Angus_King,35,78,0.277288092771
Mazie_Hirono,35,79,0.175722472141
John_Reed,35,80,0.171948276992
Tim_Scott,35,81,0.269852672642
Bill_Nelson,35,82,0.15693978342
Richard_Blumenthal,35,83,0.160161357489
Joe_Donnelly,35,84,0.073289641943
Elizabeth_Warren,35,85,0.128450075767
Timothy_Kaine,35,86,0.119538252197
John_Thune,35,87,0.199690917895
Sherrod_Brown,35,88,0.155344599843
Michael_Bennet,35,89,0.166435063423
Richard_Shelby,35,90,0.0530466285882
Lamar_Alexander,35,91,0.258022807791
Lindsey_Graham,35,92,0.215731213353
Jeff_Merkley,35,93,0.160757612316
Christopher_Murphy,35,94,0.17927439045
Kelly_Ayotte,35,95,0.179149394978
Joe_Manchin,35,96,0.195402160333
Patrick_Toomey,35,97,0.259902421324
Robert_MenÌ.ndez,35,98,0.0987740823253
Ron_Johnson,35,99,0.0726251778344
Rand_Paul,35,100,0.00826408243334
