,source,target,value
Harry_Reid,13,0,0.2649326996
Thomas_Harkin,13,1,0.202150723686
Max_Baucus,13,2,0.174766742877
Mitch_McConnell,13,3,0.235909612922
Mark_Pryor,13,4,0.185923807225
Susan_Collins,13,5,0.235657536748
Carl_Levin,13,6,0.0880499825774
James_Inhofe,13,7,0.238915763328
Jefferson_Sessions,13,8,0.341183278767
David_Vitter,13,9,0.246987514296
John_Rockefeller,13,10,0.181835005517
Bernard_Sanders,13,11,0.04115337383
Thomas_Carper,13,12,0.146960160245
Saxby_Chambliss,13,13,1.0
Richard_Burr,13,14,0.342057988151
Robert_Casey,13,15,0.222483587806
John_Boozman,13,16,0.248628409189
Patty_Murray,13,17,0.231961522945
Mary_Landrieu,13,18,0.317405896289
Jerry_Moran,13,19,0.241869646636
Claire_McCaskill,13,20,0.0843501179351
Mark_Udall,13,21,0.176601456955
Kay_Hagan,13,22,0.192953453665
John_Cornyn,13,23,0.285776798756
Michael_Crapo,13,24,0.33786434131
Bob_Corker,13,25,0.402349264316
John_Barrasso,13,26,0.347236202086
Michael_Enzi,13,27,0.308390978902
Thomas_Coburn,13,28,0.138531655673
Sheldon_Whitehouse,13,29,0.184253140163
Jeanne_Shaheen,13,30,0.211563320978
Martin_Heinrich,13,31,0.247777885448
Daniel_Coats,13,32,0.386014317584
Charles_Schumer,13,33,0.168037945405
Richard_Durbin,13,34,0.213925974031
Roy_Blunt,13,35,0.268268045619
Mark_Warner,13,36,0.365850957785
James_Risch,13,37,0.438822759436
Tim_Johnson,13,38,0.234035664341
Alan_Franken,13,39,0.210552925324
Mark_Begich,13,40,0.242258101688
Brian_Schatz,13,41,0.155964832919
Deb_Fischer,13,42,0.183562727916
Kirsten_Gillibrand,13,43,0.13110811286
Tammy_Baldwin,13,44,0.162917373442
John_Walsh,13,45,0.269311274845
Mark_Kirk,13,46,0.242284606013
Dean_Heller,13,47,0.244460642004
Jeff_Flake,13,48,0.256843694473
Thad_Cochran,13,49,0.3018426615
Mike_Johanns,13,50,0.178722158487
Robert_Portman,13,51,0.164348859403
Edward_Markey,13,52,0.163343913242
Cory_Booker,13,53,0.139666345167
Roger_Wicker,13,54,0.242537511089
Benjamin_Cardin,13,55,0.281633963066
Tom_Udall,13,56,0.168622059011
Mike_Lee,13,57,0.0339004183327
Ted_Cruz,13,58,0.127517167945
Amy_Klobuchar,13,59,0.130613626098
Pat_Roberts,13,60,0.335329572922
Patrick_Leahy,13,61,0.0532023580671
Orrin_Hatch,13,62,0.311017263093
Charles_Grassley,13,63,0.158937131448
Ron_Wyden,13,64,0.0877242292305
Debbie_Stabenow,13,65,0.184889659685
Dianne_Feinstein,13,66,0.171617089474
John_Isakson,13,67,0.23928076912
Barbara_Boxer,13,68,0.110581990025
Chris_Coons,13,69,0.167813551195
John_McCain,13,70,0.229471883646
Lisa_Murkowski,13,71,0.269498993213
John_Hoeven,13,72,0.24776913728
Jon_Tester,13,73,0.25650029441
Maria_Cantwell,13,74,0.0866663313759
Heidi_Heitkamp,13,75,0.139162494859
Marco_Rubio,13,76,0.281843631481
Barbara_Mikulski,13,77,0.260173131567
Angus_King,13,78,0.255190278177
Mazie_Hirono,13,79,0.201580870581
John_Reed,13,80,0.229870742695
Tim_Scott,13,81,0.277352051339
Bill_Nelson,13,82,0.208339644845
Richard_Blumenthal,13,83,0.168877434041
Joe_Donnelly,13,84,0.134260798127
Elizabeth_Warren,13,85,0.194440977861
Timothy_Kaine,13,86,0.156741967759
John_Thune,13,87,0.238068861191
Sherrod_Brown,13,88,0.176683046248
Michael_Bennet,13,89,0.149360214737
Richard_Shelby,13,90,0.104313827175
Lamar_Alexander,13,91,0.354438369212
Lindsey_Graham,13,92,0.212822495014
Jeff_Merkley,13,93,0.0844111000455
Christopher_Murphy,13,94,0.251998875185
Kelly_Ayotte,13,95,0.235359824748
Joe_Manchin,13,96,0.327614476595
Patrick_Toomey,13,97,0.245338853719
Robert_MenÌ.ndez,13,98,0.0846572469926
Ron_Johnson,13,99,0.0767128536183
Rand_Paul,13,100,0.0233183494628
