,source,target,value
Harry_Reid,29,0,0.221067897327
Thomas_Harkin,29,1,0.229894952862
Max_Baucus,29,2,0.0600569678588
Mitch_McConnell,29,3,0.281381991031
Mark_Pryor,29,4,0.241549339214
Susan_Collins,29,5,0.277798514606
Carl_Levin,29,6,0.125509335812
James_Inhofe,29,7,0.142533727043
Jefferson_Sessions,29,8,0.213634519392
David_Vitter,29,9,0.156234319677
John_Rockefeller,29,10,0.21504730183
Bernard_Sanders,29,11,0.211160360316
Thomas_Carper,29,12,0.423085013045
Saxby_Chambliss,29,13,0.184253140163
Richard_Burr,29,14,0.300914343446
Robert_Casey,29,15,0.266751130555
John_Boozman,29,16,0.15176639971
Patty_Murray,29,17,0.233755857194
Mary_Landrieu,29,18,0.229770295092
Jerry_Moran,29,19,0.153236537066
Claire_McCaskill,29,20,0.330111155687
Mark_Udall,29,21,0.276783301526
Kay_Hagan,29,22,0.295952290363
John_Cornyn,29,23,0.187652960783
Michael_Crapo,29,24,0.279736593409
Bob_Corker,29,25,0.297068954767
John_Barrasso,29,26,0.244946221955
Michael_Enzi,29,27,0.245728682232
Thomas_Coburn,29,28,0.267305089722
Sheldon_Whitehouse,29,29,1.0
Jeanne_Shaheen,29,30,0.332922746836
Martin_Heinrich,29,31,0.340723528915
Daniel_Coats,29,32,0.263708324107
Charles_Schumer,29,33,0.262464055366
Richard_Durbin,29,34,0.243806420888
Roy_Blunt,29,35,0.13751261776
Mark_Warner,29,36,0.304245475095
James_Risch,29,37,0.270713087687
Tim_Johnson,29,38,0.253319523765
Alan_Franken,29,39,0.274391611225
Mark_Begich,29,40,0.160476570977
Brian_Schatz,29,41,0.274637574679
Deb_Fischer,29,42,0.177252202701
Kirsten_Gillibrand,29,43,0.323613858909
Tammy_Baldwin,29,44,0.215385157056
John_Walsh,29,45,0.189241987151
Mark_Kirk,29,46,0.256355587113
Dean_Heller,29,47,0.114252101682
Jeff_Flake,29,48,0.156537016415
Thad_Cochran,29,49,0.222625633986
Mike_Johanns,29,50,0.146500110735
Robert_Portman,29,51,0.16577487765
Edward_Markey,29,52,0.249098372066
Cory_Booker,29,53,0.251903186397
Roger_Wicker,29,54,0.199300646081
Benjamin_Cardin,29,55,0.285533092121
Tom_Udall,29,56,0.235127999076
Mike_Lee,29,57,0.106756552525
Ted_Cruz,29,58,0.118049302853
Amy_Klobuchar,29,59,0.237702271856
Pat_Roberts,29,60,0.241651225696
Patrick_Leahy,29,61,0.213539310324
Orrin_Hatch,29,62,0.208275049761
Charles_Grassley,29,63,0.274426347689
Ron_Wyden,29,64,0.228601805038
Debbie_Stabenow,29,65,0.322021676956
Dianne_Feinstein,29,66,0.365693231351
John_Isakson,29,67,0.11603399073
Barbara_Boxer,29,68,0.302615369556
Chris_Coons,29,69,0.337490111516
John_McCain,29,70,0.203024758409
Lisa_Murkowski,29,71,0.160769951267
John_Hoeven,29,72,0.224226318821
Jon_Tester,29,73,0.12896908417
Maria_Cantwell,29,74,0.198848485403
Heidi_Heitkamp,29,75,0.154884534206
Marco_Rubio,29,76,0.189048274743
Barbara_Mikulski,29,77,0.224121401134
Angus_King,29,78,0.241719370202
Mazie_Hirono,29,79,0.326581269637
John_Reed,29,80,0.361845403418
Tim_Scott,29,81,0.170635478481
Bill_Nelson,29,82,0.312847298141
Richard_Blumenthal,29,83,0.332097866209
Joe_Donnelly,29,84,0.248457418049
Elizabeth_Warren,29,85,0.350927427358
Timothy_Kaine,29,86,0.216906086367
John_Thune,29,87,0.131956721972
Sherrod_Brown,29,88,0.265724841207
Michael_Bennet,29,89,0.381541471951
Richard_Shelby,29,90,0.0349015452617
Lamar_Alexander,29,91,0.26353222791
Lindsey_Graham,29,92,0.182039198307
Jeff_Merkley,29,93,0.252708104353
Christopher_Murphy,29,94,0.290754374658
Kelly_Ayotte,29,95,0.253348986624
Joe_Manchin,29,96,0.284746378342
Patrick_Toomey,29,97,0.185098393263
Robert_MenÌ.ndez,29,98,0.252442484552
Ron_Johnson,29,99,0.126249067728
Rand_Paul,29,100,0.124570180173
