,source,target,value
Harry_Reid,88,0,0.0978514651919
Thomas_Harkin,88,1,0.270621756877
Max_Baucus,88,2,0.0440379866694
Mitch_McConnell,88,3,0.0628525335951
Mark_Pryor,88,4,0.22138634728
Susan_Collins,88,5,0.120315013531
Carl_Levin,88,6,0.301349199259
James_Inhofe,88,7,0.079618396873
Jefferson_Sessions,88,8,0.226131580462
David_Vitter,88,9,0.104053325392
John_Rockefeller,88,10,0.16122701342
Bernard_Sanders,88,11,0.185232143024
Thomas_Carper,88,12,0.245426159803
Saxby_Chambliss,88,13,0.176683046248
Richard_Burr,88,14,0.13112984572
Robert_Casey,88,15,0.350062190003
John_Boozman,88,16,0.153230788191
Patty_Murray,88,17,0.236812898728
Mary_Landrieu,88,18,0.187235469355
Jerry_Moran,88,19,0.10352885846
Claire_McCaskill,88,20,0.177756073654
Mark_Udall,88,21,0.19775637416
Kay_Hagan,88,22,0.215426948899
John_Cornyn,88,23,0.151710503119
Michael_Crapo,88,24,0.190756046695
Bob_Corker,88,25,0.174193918166
John_Barrasso,88,26,0.209707226082
Michael_Enzi,88,27,0.148965746944
Thomas_Coburn,88,28,0.0898205709948
Sheldon_Whitehouse,88,29,0.265724841207
Jeanne_Shaheen,88,30,0.230764628588
Martin_Heinrich,88,31,0.220309941831
Daniel_Coats,88,32,0.200055938839
Charles_Schumer,88,33,0.363724253028
Richard_Durbin,88,34,0.195639461563
Roy_Blunt,88,35,0.155344599843
Mark_Warner,88,36,0.24042988785
James_Risch,88,37,0.171680872355
Tim_Johnson,88,38,0.168807516561
Alan_Franken,88,39,0.277819950215
Mark_Begich,88,40,0.293776158455
Brian_Schatz,88,41,0.213685844028
Deb_Fischer,88,42,0.0378277660231
Kirsten_Gillibrand,88,43,0.305632367991
Tammy_Baldwin,88,44,0.300259368947
John_Walsh,88,45,0.228583936948
Mark_Kirk,88,46,0.197111684255
Dean_Heller,88,47,0.112054070798
Jeff_Flake,88,48,0.057677735939
Thad_Cochran,88,49,0.17547275387
Mike_Johanns,88,50,0.0775356636126
Robert_Portman,88,51,0.245282034187
Edward_Markey,88,52,0.284667494544
Cory_Booker,88,53,0.299415858915
Roger_Wicker,88,54,0.122218677583
Benjamin_Cardin,88,55,0.260816028948
Tom_Udall,88,56,0.282209858408
Mike_Lee,88,57,0.0426599461326
Ted_Cruz,88,58,0.0800270043868
Amy_Klobuchar,88,59,0.183524438392
Pat_Roberts,88,60,0.148959586193
Patrick_Leahy,88,61,0.239859651282
Orrin_Hatch,88,62,0.11824230209
Charles_Grassley,88,63,0.143843917538
Ron_Wyden,88,64,0.184348901898
Debbie_Stabenow,88,65,0.227829290856
Dianne_Feinstein,88,66,0.227645840444
John_Isakson,88,67,0.212883831955
Barbara_Boxer,88,68,0.339641093151
Chris_Coons,88,69,0.301401149476
John_McCain,88,70,0.0899735935506
Lisa_Murkowski,88,71,0.187416240104
John_Hoeven,88,72,0.159057120398
Jon_Tester,88,73,0.2924910397
Maria_Cantwell,88,74,0.121540547765
Heidi_Heitkamp,88,75,0.19264052743
Marco_Rubio,88,76,0.177827739711
Barbara_Mikulski,88,77,0.243155437048
Angus_King,88,78,0.241787305282
Mazie_Hirono,88,79,0.232508696909
John_Reed,88,80,0.254206164588
Tim_Scott,88,81,0.0811342721738
Bill_Nelson,88,82,0.258542051063
Richard_Blumenthal,88,83,0.250062220506
Joe_Donnelly,88,84,0.244299046581
Elizabeth_Warren,88,85,0.36182175574
Timothy_Kaine,88,86,0.209062139825
John_Thune,88,87,0.119352227055
Sherrod_Brown,88,88,1.0
Michael_Bennet,88,89,0.23660612986
Richard_Shelby,88,90,0.0467868075029
Lamar_Alexander,88,91,0.151703937169
Lindsey_Graham,88,92,0.157344063929
Jeff_Merkley,88,93,0.225497738827
Christopher_Murphy,88,94,0.325446597324
Kelly_Ayotte,88,95,0.119782538194
Joe_Manchin,88,96,0.135572709329
Patrick_Toomey,88,97,0.184332882902
Robert_MenÌ.ndez,88,98,0.344758422093
Ron_Johnson,88,99,0.114205124176
Rand_Paul,88,100,0.0254037830962
