,source,target,value
Harry_Reid,5,0,0.291366544604
Thomas_Harkin,5,1,0.143923505479
Max_Baucus,5,2,0.0278716870383
Mitch_McConnell,5,3,0.267303501472
Mark_Pryor,5,4,0.237675392622
Susan_Collins,5,5,1.0
Carl_Levin,5,6,0.0762006611704
James_Inhofe,5,7,0.294514184556
Jefferson_Sessions,5,8,0.417335886594
David_Vitter,5,9,0.239310915763
John_Rockefeller,5,10,0.155608764367
Bernard_Sanders,5,11,0.060420332969
Thomas_Carper,5,12,0.191698692561
Saxby_Chambliss,5,13,0.235657536748
Richard_Burr,5,14,0.273887256271
Robert_Casey,5,15,0.194587028027
John_Boozman,5,16,0.207186545107
Patty_Murray,5,17,0.175895823097
Mary_Landrieu,5,18,0.291625813073
Jerry_Moran,5,19,0.23256752725
Claire_McCaskill,5,20,0.217400667557
Mark_Udall,5,21,0.179333305041
Kay_Hagan,5,22,0.166403548111
John_Cornyn,5,23,0.193497423667
Michael_Crapo,5,24,0.272066493728
Bob_Corker,5,25,0.323499201785
John_Barrasso,5,26,0.237614714732
Michael_Enzi,5,27,0.262761561809
Thomas_Coburn,5,28,0.145253512709
Sheldon_Whitehouse,5,29,0.277798514606
Jeanne_Shaheen,5,30,0.275433732079
Martin_Heinrich,5,31,0.137913962878
Daniel_Coats,5,32,0.322916785538
Charles_Schumer,5,33,0.172483076219
Richard_Durbin,5,34,0.294500159442
Roy_Blunt,5,35,0.196669389577
Mark_Warner,5,36,0.202340984864
James_Risch,5,37,0.296622551819
Tim_Johnson,5,38,0.235916416751
Alan_Franken,5,39,0.188277200863
Mark_Begich,5,40,0.199779943811
Brian_Schatz,5,41,0.181820721386
Deb_Fischer,5,42,0.227263596666
Kirsten_Gillibrand,5,43,0.212836978279
Tammy_Baldwin,5,44,0.223224660849
John_Walsh,5,45,0.210637810767
Mark_Kirk,5,46,0.263155537594
Dean_Heller,5,47,0.160503686855
Jeff_Flake,5,48,0.211259156535
Thad_Cochran,5,49,0.230482732958
Mike_Johanns,5,50,0.154072131699
Robert_Portman,5,51,0.155107420387
Edward_Markey,5,52,0.105904178894
Cory_Booker,5,53,0.110495709116
Roger_Wicker,5,54,0.302464011102
Benjamin_Cardin,5,55,0.315304429788
Tom_Udall,5,56,0.191123551404
Mike_Lee,5,57,0.0796902420603
Ted_Cruz,5,58,0.0970915796409
Amy_Klobuchar,5,59,0.138453391115
Pat_Roberts,5,60,0.270951671265
Patrick_Leahy,5,61,0.0900818873548
Orrin_Hatch,5,62,0.23473597028
Charles_Grassley,5,63,0.117250575821
Ron_Wyden,5,64,0.152254275916
Debbie_Stabenow,5,65,0.182390898252
Dianne_Feinstein,5,66,0.278470359232
John_Isakson,5,67,0.094053614875
Barbara_Boxer,5,68,0.144690694463
Chris_Coons,5,69,0.299128672804
John_McCain,5,70,0.176310935563
Lisa_Murkowski,5,71,0.24843076338
John_Hoeven,5,72,0.25951687218
Jon_Tester,5,73,0.0902976475133
Maria_Cantwell,5,74,0.169225647443
Heidi_Heitkamp,5,75,0.20131082041
Marco_Rubio,5,76,0.222569604602
Barbara_Mikulski,5,77,0.141555348215
Angus_King,5,78,0.240403891921
Mazie_Hirono,5,79,0.305422087881
John_Reed,5,80,0.262191595519
Tim_Scott,5,81,0.195512792803
Bill_Nelson,5,82,0.174257583552
Richard_Blumenthal,5,83,0.262983327637
Joe_Donnelly,5,84,0.0794731541844
Elizabeth_Warren,5,85,0.230403355442
Timothy_Kaine,5,86,0.264646029932
John_Thune,5,87,0.301883997971
Sherrod_Brown,5,88,0.120315013531
Michael_Bennet,5,89,0.341495964402
Richard_Shelby,5,90,0.0812128543498
Lamar_Alexander,5,91,0.295912195078
Lindsey_Graham,5,92,0.173730776769
Jeff_Merkley,5,93,0.19523577404
Christopher_Murphy,5,94,0.236937249787
Kelly_Ayotte,5,95,0.284335277248
Joe_Manchin,5,96,0.321884427463
Patrick_Toomey,5,97,0.207618245791
Robert_MenÌ.ndez,5,98,0.145169432253
Ron_Johnson,5,99,0.0642664710961
Rand_Paul,5,100,0.101141771652
