,source,target,value
Harry_Reid,44,0,0.320676915242
Thomas_Harkin,44,1,0.329466767619
Max_Baucus,44,2,0.0396787113382
Mitch_McConnell,44,3,0.162897161145
Mark_Pryor,44,4,0.144896220576
Susan_Collins,44,5,0.223224660849
Carl_Levin,44,6,0.321665493433
James_Inhofe,44,7,0.0828588217833
Jefferson_Sessions,44,8,0.131829759345
David_Vitter,44,9,0.121211297283
John_Rockefeller,44,10,0.404266444853
Bernard_Sanders,44,11,0.364709923981
Thomas_Carper,44,12,0.172975535914
Saxby_Chambliss,44,13,0.162917373442
Richard_Burr,44,14,0.135891776266
Robert_Casey,44,15,0.244687996114
John_Boozman,44,16,0.172489572519
Patty_Murray,44,17,0.26403301486
Mary_Landrieu,44,18,0.130264900769
Jerry_Moran,44,19,0.140364087843
Claire_McCaskill,44,20,0.135033173203
Mark_Udall,44,21,0.212333976763
Kay_Hagan,44,22,0.219758296986
John_Cornyn,44,23,0.102003453344
Michael_Crapo,44,24,0.216181286617
Bob_Corker,44,25,0.117432271097
John_Barrasso,44,26,0.203836395207
Michael_Enzi,44,27,0.203118453022
Thomas_Coburn,44,28,0.0902173195513
Sheldon_Whitehouse,44,29,0.215385157056
Jeanne_Shaheen,44,30,0.188953471589
Martin_Heinrich,44,31,0.191149389575
Daniel_Coats,44,32,0.178539556829
Charles_Schumer,44,33,0.252619857152
Richard_Durbin,44,34,0.267561713322
Roy_Blunt,44,35,0.107131632325
Mark_Warner,44,36,0.18507990119
James_Risch,44,37,0.182244720873
Tim_Johnson,44,38,0.303906926209
Alan_Franken,44,39,0.280122349441
Mark_Begich,44,40,0.141311272754
Brian_Schatz,44,41,0.268282630421
Deb_Fischer,44,42,0.155985371948
Kirsten_Gillibrand,44,43,0.249420996363
Tammy_Baldwin,44,44,1.0
John_Walsh,44,45,0.208631914036
Mark_Kirk,44,46,0.148112843526
Dean_Heller,44,47,0.0667723167651
Jeff_Flake,44,48,0.147681751426
Thad_Cochran,44,49,0.183687831423
Mike_Johanns,44,50,0.13534873607
Robert_Portman,44,51,0.0950815030787
Edward_Markey,44,52,0.213956982534
Cory_Booker,44,53,0.278231713874
Roger_Wicker,44,54,0.29087439004
Benjamin_Cardin,44,55,0.277946197029
Tom_Udall,44,56,0.210606014144
Mike_Lee,44,57,0.0359427158163
Ted_Cruz,44,58,0.0902142136636
Amy_Klobuchar,44,59,0.152674321443
Pat_Roberts,44,60,0.184419880782
Patrick_Leahy,44,61,0.29846288781
Orrin_Hatch,44,62,0.115050819207
Charles_Grassley,44,63,0.08565839568
Ron_Wyden,44,64,0.189918882587
Debbie_Stabenow,44,65,0.267317086011
Dianne_Feinstein,44,66,0.188044032552
John_Isakson,44,67,0.126883389838
Barbara_Boxer,44,68,0.149512369808
Chris_Coons,44,69,0.325851310083
John_McCain,44,70,0.112032228992
Lisa_Murkowski,44,71,0.159713202879
John_Hoeven,44,72,0.160411752862
Jon_Tester,44,73,0.15209580767
Maria_Cantwell,44,74,0.226595466137
Heidi_Heitkamp,44,75,0.271323277303
Marco_Rubio,44,76,0.112945863086
Barbara_Mikulski,44,77,0.237213365412
Angus_King,44,78,0.264816922291
Mazie_Hirono,44,79,0.287266604449
John_Reed,44,80,0.303217981761
Tim_Scott,44,81,0.148587738799
Bill_Nelson,44,82,0.168253111454
Richard_Blumenthal,44,83,0.219934652661
Joe_Donnelly,44,84,0.218707704008
Elizabeth_Warren,44,85,0.287198056419
Timothy_Kaine,44,86,0.382927522519
John_Thune,44,87,0.188971974603
Sherrod_Brown,44,88,0.300259368947
Michael_Bennet,44,89,0.250970487012
Richard_Shelby,44,90,0.0670783888209
Lamar_Alexander,44,91,0.164007469297
Lindsey_Graham,44,92,0.12077321149
Jeff_Merkley,44,93,0.153103782535
Christopher_Murphy,44,94,0.206662514041
Kelly_Ayotte,44,95,0.214131667923
Joe_Manchin,44,96,0.342026489761
Patrick_Toomey,44,97,0.179476390141
Robert_MenÌ.ndez,44,98,0.199394680797
Ron_Johnson,44,99,0.117316910717
Rand_Paul,44,100,0.0230114945198
