,source,target,value
Harry_Reid,58,0,0.0928077015014
Thomas_Harkin,58,1,0.0429425920306
Max_Baucus,58,2,0.0693423681194
Mitch_McConnell,58,3,0.237788975605
Mark_Pryor,58,4,0.116199730376
Susan_Collins,58,5,0.0970915796409
Carl_Levin,58,6,0.0634563102276
James_Inhofe,58,7,0.0746082144603
Jefferson_Sessions,58,8,0.142382331545
David_Vitter,58,9,0.162744893695
John_Rockefeller,58,10,0.0501318331586
Bernard_Sanders,58,11,0.0656136200849
Thomas_Carper,58,12,0.10414558005
Saxby_Chambliss,58,13,0.127517167945
Richard_Burr,58,14,0.190095615739
Robert_Casey,58,15,0.194235669007
John_Boozman,58,16,0.122017444897
Patty_Murray,58,17,0.110689734904
Mary_Landrieu,58,18,0.0643694731028
Jerry_Moran,58,19,0.191265386937
Claire_McCaskill,58,20,0.167806376892
Mark_Udall,58,21,0.135173934121
Kay_Hagan,58,22,0.0419986481392
John_Cornyn,58,23,0.134908071902
Michael_Crapo,58,24,0.221883159719
Bob_Corker,58,25,0.201652201648
John_Barrasso,58,26,0.0843688293832
Michael_Enzi,58,27,0.162952115743
Thomas_Coburn,58,28,0.262155017606
Sheldon_Whitehouse,58,29,0.118049302853
Jeanne_Shaheen,58,30,0.0899092094534
Martin_Heinrich,58,31,0.120753631242
Daniel_Coats,58,32,0.260246837737
Charles_Schumer,58,33,0.0471899450192
Richard_Durbin,58,34,0.119779085014
Roy_Blunt,58,35,0.0537946263785
Mark_Warner,58,36,0.0281961411307
James_Risch,58,37,0.133710575538
Tim_Johnson,58,38,0.165189650282
Alan_Franken,58,39,0.164304207984
Mark_Begich,58,40,0.0543755028308
Brian_Schatz,58,41,0.0778042887396
Deb_Fischer,58,42,0.171540694202
Kirsten_Gillibrand,58,43,0.101899045368
Tammy_Baldwin,58,44,0.0902142136636
John_Walsh,58,45,0.0974951538641
Mark_Kirk,58,46,0.170881975099
Dean_Heller,58,47,0.0545195495767
Jeff_Flake,58,48,0.204123493204
Thad_Cochran,58,49,0.219578518694
Mike_Johanns,58,50,0.151708659335
Robert_Portman,58,51,0.221713917206
Edward_Markey,58,52,0.0418241988606
Cory_Booker,58,53,0.0254312410594
Roger_Wicker,58,54,0.219950915246
Benjamin_Cardin,58,55,0.141252100295
Tom_Udall,58,56,0.120453309444
Mike_Lee,58,57,0.21434043854
Ted_Cruz,58,58,1.0
Amy_Klobuchar,58,59,0.144041410651
Pat_Roberts,58,60,0.298254335501
Patrick_Leahy,58,61,0.0586884515896
Orrin_Hatch,58,62,0.101235771252
Charles_Grassley,58,63,0.261762551367
Ron_Wyden,58,64,0.0924681796944
Debbie_Stabenow,58,65,0.107812382514
Dianne_Feinstein,58,66,0.0365478620663
John_Isakson,58,67,0.111124835935
Barbara_Boxer,58,68,0.0697461205547
Chris_Coons,58,69,0.0762750601298
John_McCain,58,70,0.26208851707
Lisa_Murkowski,58,71,0.114627332241
John_Hoeven,58,72,0.178164683226
Jon_Tester,58,73,0.035255746271
Maria_Cantwell,58,74,0.112321562043
Heidi_Heitkamp,58,75,0.0169288455814
Marco_Rubio,58,76,0.273599851146
Barbara_Mikulski,58,77,0.0634995735156
Angus_King,58,78,0.0905351641496
Mazie_Hirono,58,79,0.118164106917
John_Reed,58,80,0.0746170695964
Tim_Scott,58,81,0.129410138864
Bill_Nelson,58,82,0.053656523951
Richard_Blumenthal,58,83,0.0774850992438
Joe_Donnelly,58,84,0.0386352446978
Elizabeth_Warren,58,85,0.146033274011
Timothy_Kaine,58,86,0.182857016778
John_Thune,58,87,0.114727025904
Sherrod_Brown,58,88,0.0800270043868
Michael_Bennet,58,89,0.113421804522
Richard_Shelby,58,90,0.0867868338641
Lamar_Alexander,58,91,0.182089218062
Lindsey_Graham,58,92,0.146415574873
Jeff_Merkley,58,93,0.0973310229624
Christopher_Murphy,58,94,0.0639000224117
Kelly_Ayotte,58,95,0.100676275659
Joe_Manchin,58,96,0.101731137537
Patrick_Toomey,58,97,0.130477185549
Robert_MenÌ.ndez,58,98,0.0835937123597
Ron_Johnson,58,99,0.143433215383
Rand_Paul,58,100,0.192335475653
