,source,target,value
Harry_Reid,49,0,0.277458530318
Thomas_Harkin,49,1,0.238983069301
Max_Baucus,49,2,0.0416177500139
Mitch_McConnell,49,3,0.361762396686
Mark_Pryor,49,4,0.22220906615
Susan_Collins,49,5,0.230482732958
Carl_Levin,49,6,0.0938367968346
James_Inhofe,49,7,0.238513478127
Jefferson_Sessions,49,8,0.372195865564
David_Vitter,49,9,0.324780035739
John_Rockefeller,49,10,0.163405498291
Bernard_Sanders,49,11,0.0801187067579
Thomas_Carper,49,12,0.212935446065
Saxby_Chambliss,49,13,0.3018426615
Richard_Burr,49,14,0.263052164422
Robert_Casey,49,15,0.284749685466
John_Boozman,49,16,0.363832596916
Patty_Murray,49,17,0.165911743721
Mary_Landrieu,49,18,0.172425161362
Jerry_Moran,49,19,0.329850783776
Claire_McCaskill,49,20,0.108879216387
Mark_Udall,49,21,0.267983563585
Kay_Hagan,49,22,0.161266292049
John_Cornyn,49,23,0.31412968119
Michael_Crapo,49,24,0.384233623073
Bob_Corker,49,25,0.444769079258
John_Barrasso,49,26,0.396602058664
Michael_Enzi,49,27,0.365091361505
Thomas_Coburn,49,28,0.302597685641
Sheldon_Whitehouse,49,29,0.222625633986
Jeanne_Shaheen,49,30,0.226245385238
Martin_Heinrich,49,31,0.260518102688
Daniel_Coats,49,32,0.445844416753
Charles_Schumer,49,33,0.174921912949
Richard_Durbin,49,34,0.242529899105
Roy_Blunt,49,35,0.277789565526
Mark_Warner,49,36,0.19190210863
James_Risch,49,37,0.381271373865
Tim_Johnson,49,38,0.349871902664
Alan_Franken,49,39,0.226862554835
Mark_Begich,49,40,0.154783630101
Brian_Schatz,49,41,0.182619806451
Deb_Fischer,49,42,0.300681294384
Kirsten_Gillibrand,49,43,0.173182266799
Tammy_Baldwin,49,44,0.183687831423
John_Walsh,49,45,0.258137311925
Mark_Kirk,49,46,0.342867451715
Dean_Heller,49,47,0.166655127475
Jeff_Flake,49,48,0.20404356201
Thad_Cochran,49,49,1.0
Mike_Johanns,49,50,0.14826036654
Robert_Portman,49,51,0.269515015856
Edward_Markey,49,52,0.0852207911366
Cory_Booker,49,53,0.0679963196115
Roger_Wicker,49,54,0.410615565171
Benjamin_Cardin,49,55,0.213753579753
Tom_Udall,49,56,0.154653123265
Mike_Lee,49,57,0.177106333459
Ted_Cruz,49,58,0.219578518694
Amy_Klobuchar,49,59,0.191329455735
Pat_Roberts,49,60,0.44122565619
Patrick_Leahy,49,61,0.0891752413455
Orrin_Hatch,49,62,0.258936070861
Charles_Grassley,49,63,0.280504322449
Ron_Wyden,49,64,0.140461457902
Debbie_Stabenow,49,65,0.210043239345
Dianne_Feinstein,49,66,0.156228080201
John_Isakson,49,67,0.340927569898
Barbara_Boxer,49,68,0.140447856907
Chris_Coons,49,69,0.170335826977
John_McCain,49,70,0.301618859419
Lisa_Murkowski,49,71,0.34389165334
John_Hoeven,49,72,0.323128272233
Jon_Tester,49,73,0.158497069896
Maria_Cantwell,49,74,0.135635075901
Heidi_Heitkamp,49,75,0.125983268377
Marco_Rubio,49,76,0.239301624382
Barbara_Mikulski,49,77,0.143270551314
Angus_King,49,78,0.305532251237
Mazie_Hirono,49,79,0.224359081078
John_Reed,49,80,0.238843970691
Tim_Scott,49,81,0.334553213678
Bill_Nelson,49,82,0.202790731888
Richard_Blumenthal,49,83,0.176560857481
Joe_Donnelly,49,84,0.13988981913
Elizabeth_Warren,49,85,0.176278717411
Timothy_Kaine,49,86,0.203975207286
John_Thune,49,87,0.21906464072
Sherrod_Brown,49,88,0.17547275387
Michael_Bennet,49,89,0.249879899623
Richard_Shelby,49,90,0.114369143452
Lamar_Alexander,49,91,0.434188165502
Lindsey_Graham,49,92,0.327090012142
Jeff_Merkley,49,93,0.113439790424
Christopher_Murphy,49,94,0.138296085428
Kelly_Ayotte,49,95,0.232180549989
Joe_Manchin,49,96,0.294386196551
Patrick_Toomey,49,97,0.245219485798
Robert_MenÌ.ndez,49,98,0.120422868967
Ron_Johnson,49,99,0.151292726614
Rand_Paul,49,100,0.164332945468
