,source,target,value
Harry_Reid,12,0,0.269496033847
Thomas_Harkin,12,1,0.167085414114
Max_Baucus,12,2,0.0785316149441
Mitch_McConnell,12,3,0.245895239695
Mark_Pryor,12,4,0.274195627103
Susan_Collins,12,5,0.191698692561
Carl_Levin,12,6,0.0501838172988
James_Inhofe,12,7,0.130775146663
Jefferson_Sessions,12,8,0.227191081263
David_Vitter,12,9,0.12940685742
John_Rockefeller,12,10,0.295730680823
Bernard_Sanders,12,11,0.123683976624
Thomas_Carper,12,12,1.0
Saxby_Chambliss,12,13,0.146960160245
Richard_Burr,12,14,0.259542939849
Robert_Casey,12,15,0.153409925891
John_Boozman,12,16,0.167214890896
Patty_Murray,12,17,0.234244608072
Mary_Landrieu,12,18,0.131075063104
Jerry_Moran,12,19,0.143329702734
Claire_McCaskill,12,20,0.190639726861
Mark_Udall,12,21,0.278127322674
Kay_Hagan,12,22,0.239447791207
John_Cornyn,12,23,0.176706950655
Michael_Crapo,12,24,0.284209018568
Bob_Corker,12,25,0.212514746898
John_Barrasso,12,26,0.233005498942
Michael_Enzi,12,27,0.19288340018
Thomas_Coburn,12,28,0.340357299954
Sheldon_Whitehouse,12,29,0.423085013045
Jeanne_Shaheen,12,30,0.225041289676
Martin_Heinrich,12,31,0.17809215527
Daniel_Coats,12,32,0.1998847149
Charles_Schumer,12,33,0.183712736085
Richard_Durbin,12,34,0.262480371067
Roy_Blunt,12,35,0.125347132285
Mark_Warner,12,36,0.397243028729
James_Risch,12,37,0.213366382971
Tim_Johnson,12,38,0.345868558523
Alan_Franken,12,39,0.193885513406
Mark_Begich,12,40,0.0773960288211
Brian_Schatz,12,41,0.178794880988
Deb_Fischer,12,42,0.179929018244
Kirsten_Gillibrand,12,43,0.162473074738
Tammy_Baldwin,12,44,0.172975535914
John_Walsh,12,45,0.207170939855
Mark_Kirk,12,46,0.258277664459
Dean_Heller,12,47,0.0826780152573
Jeff_Flake,12,48,0.138709602238
Thad_Cochran,12,49,0.212935446065
Mike_Johanns,12,50,0.131600504373
Robert_Portman,12,51,0.148655352292
Edward_Markey,12,52,0.248554366119
Cory_Booker,12,53,0.268016170429
Roger_Wicker,12,54,0.16907934034
Benjamin_Cardin,12,55,0.163992450268
Tom_Udall,12,56,0.214735905946
Mike_Lee,12,57,0.0802260687538
Ted_Cruz,12,58,0.10414558005
Amy_Klobuchar,12,59,0.157181715634
Pat_Roberts,12,60,0.270837065989
Patrick_Leahy,12,61,0.160732653235
Orrin_Hatch,12,62,0.170939501104
Charles_Grassley,12,63,0.36629018863
Ron_Wyden,12,64,0.143104846304
Debbie_Stabenow,12,65,0.306222921514
Dianne_Feinstein,12,66,0.369051982787
John_Isakson,12,67,0.128193506591
Barbara_Boxer,12,68,0.119579732518
Chris_Coons,12,69,0.310192944045
John_McCain,12,70,0.197213057613
Lisa_Murkowski,12,71,0.161424514086
John_Hoeven,12,72,0.183258978557
Jon_Tester,12,73,0.0496121352798
Maria_Cantwell,12,74,0.172601136197
Heidi_Heitkamp,12,75,0.0407033041947
Marco_Rubio,12,76,0.151379245881
Barbara_Mikulski,12,77,0.114146414492
Angus_King,12,78,0.20493315063
Mazie_Hirono,12,79,0.225987430713
John_Reed,12,80,0.243265619712
Tim_Scott,12,81,0.157641462599
Bill_Nelson,12,82,0.350629721863
Richard_Blumenthal,12,83,0.141082559698
Joe_Donnelly,12,84,0.263207397607
Elizabeth_Warren,12,85,0.097255531304
Timothy_Kaine,12,86,0.219385924719
John_Thune,12,87,0.0935345201531
Sherrod_Brown,12,88,0.245426159803
Michael_Bennet,12,89,0.197804505011
Richard_Shelby,12,90,0.0338406415639
Lamar_Alexander,12,91,0.259734557104
Lindsey_Graham,12,92,0.236856151976
Jeff_Merkley,12,93,0.143849423433
Christopher_Murphy,12,94,0.233103454348
Kelly_Ayotte,12,95,0.155875957135
Joe_Manchin,12,96,0.220965962369
Patrick_Toomey,12,97,0.0977897378117
Robert_MenÌ.ndez,12,98,0.231572676091
Ron_Johnson,12,99,0.161338674728
Rand_Paul,12,100,0.0988183661793
