,source,target,value
Harry_Reid,28,0,0.162631000853
Thomas_Harkin,28,1,0.110522706656
Max_Baucus,28,2,0.019335279514
Mitch_McConnell,28,3,0.334290022922
Mark_Pryor,28,4,0.184472998763
Susan_Collins,28,5,0.145253512709
Carl_Levin,28,6,0.0422142880215
James_Inhofe,28,7,0.17420005307
Jefferson_Sessions,28,8,0.129460256265
David_Vitter,28,9,0.0988577916796
John_Rockefeller,28,10,0.133967775703
Bernard_Sanders,28,11,0.113026449899
Thomas_Carper,28,12,0.340357299954
Saxby_Chambliss,28,13,0.138531655673
Richard_Burr,28,14,0.241174061379
Robert_Casey,28,15,0.175768502684
John_Boozman,28,16,0.135615408679
Patty_Murray,28,17,0.150180759545
Mary_Landrieu,28,18,0.125744147719
Jerry_Moran,28,19,0.0819617439738
Claire_McCaskill,28,20,0.169990863778
Mark_Udall,28,21,0.245953478695
Kay_Hagan,28,22,0.0763830148433
John_Cornyn,28,23,0.175726023084
Michael_Crapo,28,24,0.295384802802
Bob_Corker,28,25,0.334081185397
John_Barrasso,28,26,0.232109641624
Michael_Enzi,28,27,0.252759892994
Thomas_Coburn,28,28,1.0
Sheldon_Whitehouse,28,29,0.267305089722
Jeanne_Shaheen,28,30,0.208881999305
Martin_Heinrich,28,31,0.256756404535
Daniel_Coats,28,32,0.190321080794
Charles_Schumer,28,33,0.00815512007585
Richard_Durbin,28,34,0.219646775332
Roy_Blunt,28,35,0.102618211154
Mark_Warner,28,36,0.108905304945
James_Risch,28,37,0.210305294564
Tim_Johnson,28,38,0.247221323366
Alan_Franken,28,39,0.11396014213
Mark_Begich,28,40,0.092864775991
Brian_Schatz,28,41,0.147838073194
Deb_Fischer,28,42,0.24817785772
Kirsten_Gillibrand,28,43,0.163634857483
Tammy_Baldwin,28,44,0.0902173195513
John_Walsh,28,45,0.13738182658
Mark_Kirk,28,46,0.163070468796
Dean_Heller,28,47,0.0953319194141
Jeff_Flake,28,48,0.0547178163094
Thad_Cochran,28,49,0.302597685641
Mike_Johanns,28,50,0.0511183479588
Robert_Portman,28,51,0.17163776596
Edward_Markey,28,52,0.0499180320457
Cory_Booker,28,53,0.0556601505635
Roger_Wicker,28,54,0.282734686429
Benjamin_Cardin,28,55,0.0898797039394
Tom_Udall,28,56,0.24720936166
Mike_Lee,28,57,0.323090676511
Ted_Cruz,28,58,0.262155017606
Amy_Klobuchar,28,59,0.269735620451
Pat_Roberts,28,60,0.316155924265
Patrick_Leahy,28,61,0.136973594901
Orrin_Hatch,28,62,0.0554843249166
Charles_Grassley,28,63,0.417078654476
Ron_Wyden,28,64,0.189438357258
Debbie_Stabenow,28,65,0.224814585332
Dianne_Feinstein,28,66,0.0987291190701
John_Isakson,28,67,0.164688896876
Barbara_Boxer,28,68,0.184615263569
Chris_Coons,28,69,0.078918269736
John_McCain,28,70,0.296817700028
Lisa_Murkowski,28,71,0.125957353731
John_Hoeven,28,72,0.269093116033
Jon_Tester,28,73,0.0518039903221
Maria_Cantwell,28,74,0.260051522797
Heidi_Heitkamp,28,75,0.0669292134833
Marco_Rubio,28,76,0.088575945688
Barbara_Mikulski,28,77,0.106964276334
Angus_King,28,78,0.170306783344
Mazie_Hirono,28,79,0.193569585713
John_Reed,28,80,0.143086326407
Tim_Scott,28,81,0.197661125066
Bill_Nelson,28,82,0.102360266523
Richard_Blumenthal,28,83,0.0547205625732
Joe_Donnelly,28,84,0.171199340188
Elizabeth_Warren,28,85,0.1050868625
Timothy_Kaine,28,86,0.193022236777
John_Thune,28,87,0.079303084643
Sherrod_Brown,28,88,0.0898205709948
Michael_Bennet,28,89,0.150711351028
Richard_Shelby,28,90,0.11174272733
Lamar_Alexander,28,91,0.30731724592
Lindsey_Graham,28,92,0.0436768571201
Jeff_Merkley,28,93,0.190824444419
Christopher_Murphy,28,94,0.0900582390507
Kelly_Ayotte,28,95,0.158091692751
Joe_Manchin,28,96,0.200851578688
Patrick_Toomey,28,97,0.0720595623708
Robert_MenÌ.ndez,28,98,0.166351272102
Ron_Johnson,28,99,0.324953697701
Rand_Paul,28,100,0.360470779036
