,source,target,value
Harry_Reid,1,0,0.193118586418
Thomas_Harkin,1,1,1.0
Max_Baucus,1,2,0.0199842065759
Mitch_McConnell,1,3,0.151197401745
Mark_Pryor,1,4,0.222722702266
Susan_Collins,1,5,0.143923505479
Carl_Levin,1,6,0.130291781535
James_Inhofe,1,7,0.12131964436
Jefferson_Sessions,1,8,0.249413478667
David_Vitter,1,9,0.157791412584
John_Rockefeller,1,10,0.197994286594
Bernard_Sanders,1,11,0.187891227557
Thomas_Carper,1,12,0.167085414114
Saxby_Chambliss,1,13,0.202150723686
Richard_Burr,1,14,0.22519943334
Robert_Casey,1,15,0.304974210324
John_Boozman,1,16,0.159067262147
Patty_Murray,1,17,0.182303250416
Mary_Landrieu,1,18,0.114944352023
Jerry_Moran,1,19,0.169393538481
Claire_McCaskill,1,20,0.104113885675
Mark_Udall,1,21,0.178079558942
Kay_Hagan,1,22,0.178006854532
John_Cornyn,1,23,0.234089790687
Michael_Crapo,1,24,0.250060732479
Bob_Corker,1,25,0.290445503926
John_Barrasso,1,26,0.312857378131
Michael_Enzi,1,27,0.281724056324
Thomas_Coburn,1,28,0.110522706656
Sheldon_Whitehouse,1,29,0.229894952862
Jeanne_Shaheen,1,30,0.202313214634
Martin_Heinrich,1,31,0.215193003365
Daniel_Coats,1,32,0.292403086588
Charles_Schumer,1,33,0.222652088555
Richard_Durbin,1,34,0.229534198508
Roy_Blunt,1,35,0.281442532385
Mark_Warner,1,36,0.193804296821
James_Risch,1,37,0.263503430671
Tim_Johnson,1,38,0.264472477145
Alan_Franken,1,39,0.340306286086
Mark_Begich,1,40,0.216768323679
Brian_Schatz,1,41,0.192901612891
Deb_Fischer,1,42,0.094126001257
Kirsten_Gillibrand,1,43,0.199998239989
Tammy_Baldwin,1,44,0.329466767619
John_Walsh,1,45,0.167976929079
Mark_Kirk,1,46,0.158427912091
Dean_Heller,1,47,0.134476138164
Jeff_Flake,1,48,0.114798468327
Thad_Cochran,1,49,0.238983069301
Mike_Johanns,1,50,0.107390905446
Robert_Portman,1,51,0.148640698401
Edward_Markey,1,52,0.189745166794
Cory_Booker,1,53,0.166408155333
Roger_Wicker,1,54,0.21922546703
Benjamin_Cardin,1,55,0.25423847544
Tom_Udall,1,56,0.120291945281
Mike_Lee,1,57,0.0119484844251
Ted_Cruz,1,58,0.0429425920306
Amy_Klobuchar,1,59,0.172947188765
Pat_Roberts,1,60,0.205335661687
Patrick_Leahy,1,61,0.164250043915
Orrin_Hatch,1,62,0.17445473273
Charles_Grassley,1,63,0.0832255433242
Ron_Wyden,1,64,0.112378104534
Debbie_Stabenow,1,65,0.231474105652
Dianne_Feinstein,1,66,0.148099280034
John_Isakson,1,67,0.116322563616
Barbara_Boxer,1,68,0.201735342196
Chris_Coons,1,69,0.244423928025
John_McCain,1,70,0.144793155185
Lisa_Murkowski,1,71,0.192697337309
John_Hoeven,1,72,0.182117064816
Jon_Tester,1,73,0.265403813831
Maria_Cantwell,1,74,0.129742539142
Heidi_Heitkamp,1,75,0.167276231467
Marco_Rubio,1,76,0.19143762639
Barbara_Mikulski,1,77,0.241048952437
Angus_King,1,78,0.262853462827
Mazie_Hirono,1,79,0.191768343136
John_Reed,1,80,0.289979847661
Tim_Scott,1,81,0.16900135556
Bill_Nelson,1,82,0.251452188193
Richard_Blumenthal,1,83,0.215168634937
Joe_Donnelly,1,84,0.122131116101
Elizabeth_Warren,1,85,0.269511392525
Timothy_Kaine,1,86,0.199017683185
John_Thune,1,87,0.140446184551
Sherrod_Brown,1,88,0.270621756877
Michael_Bennet,1,89,0.25004236454
Richard_Shelby,1,90,0.04864914882
Lamar_Alexander,1,91,0.253171462063
Lindsey_Graham,1,92,0.163283110812
Jeff_Merkley,1,93,0.115028211332
Christopher_Murphy,1,94,0.203523048835
Kelly_Ayotte,1,95,0.117449030118
Joe_Manchin,1,96,0.285796338118
Patrick_Toomey,1,97,0.263819539657
Robert_MenÌ.ndez,1,98,0.108353646011
Ron_Johnson,1,99,0.0829353132173
Rand_Paul,1,100,0.0105684183335
