,source,target,value
Harry_Reid,38,0,0.351441967157
Thomas_Harkin,38,1,0.264472477145
Max_Baucus,38,2,0.10762033874
Mitch_McConnell,38,3,0.344161842932
Mark_Pryor,38,4,0.306915624894
Susan_Collins,38,5,0.235916416751
Carl_Levin,38,6,0.0874769720969
James_Inhofe,38,7,0.168147338346
Jefferson_Sessions,38,8,0.224213453758
David_Vitter,38,9,0.312636118423
John_Rockefeller,38,10,0.335620607359
Bernard_Sanders,38,11,0.275487843387
Thomas_Carper,38,12,0.345868558523
Saxby_Chambliss,38,13,0.234035664341
Richard_Burr,38,14,0.21578763897
Robert_Casey,38,15,0.253205680826
John_Boozman,38,16,0.282399127814
Patty_Murray,38,17,0.331457207885
Mary_Landrieu,38,18,0.178861286063
Jerry_Moran,38,19,0.222472055025
Claire_McCaskill,38,20,0.168175989289
Mark_Udall,38,21,0.359749461448
Kay_Hagan,38,22,0.219357261622
John_Cornyn,38,23,0.178735543581
Michael_Crapo,38,24,0.399584424299
Bob_Corker,38,25,0.281405781786
John_Barrasso,38,26,0.286042397561
Michael_Enzi,38,27,0.232013755729
Thomas_Coburn,38,28,0.247221323366
Sheldon_Whitehouse,38,29,0.253319523765
Jeanne_Shaheen,38,30,0.204653262057
Martin_Heinrich,38,31,0.204162093095
Daniel_Coats,38,32,0.333108574573
Charles_Schumer,38,33,0.167894793658
Richard_Durbin,38,34,0.317966566968
Roy_Blunt,38,35,0.236463485771
Mark_Warner,38,36,0.212383054417
James_Risch,38,37,0.294786731642
Tim_Johnson,38,38,1.0
Alan_Franken,38,39,0.322113109536
Mark_Begich,38,40,0.116432556346
Brian_Schatz,38,41,0.22001068225
Deb_Fischer,38,42,0.220541557128
Kirsten_Gillibrand,38,43,0.163470755528
Tammy_Baldwin,38,44,0.303906926209
John_Walsh,38,45,0.257206386788
Mark_Kirk,38,46,0.252062682692
Dean_Heller,38,47,0.121612781785
Jeff_Flake,38,48,0.247143835043
Thad_Cochran,38,49,0.349871902664
Mike_Johanns,38,50,0.213487014978
Robert_Portman,38,51,0.142171969609
Edward_Markey,38,52,0.237496630796
Cory_Booker,38,53,0.199361033888
Roger_Wicker,38,54,0.319659725608
Benjamin_Cardin,38,55,0.29602762635
Tom_Udall,38,56,0.227976309807
Mike_Lee,38,57,0.144122365132
Ted_Cruz,38,58,0.165189650282
Amy_Klobuchar,38,59,0.239290617881
Pat_Roberts,38,60,0.320027774633
Patrick_Leahy,38,61,0.318353510271
Orrin_Hatch,38,62,0.164731256636
Charles_Grassley,38,63,0.209232565039
Ron_Wyden,38,64,0.214307079514
Debbie_Stabenow,38,65,0.392180081347
Dianne_Feinstein,38,66,0.210990843636
John_Isakson,38,67,0.175254562984
Barbara_Boxer,38,68,0.196919911865
Chris_Coons,38,69,0.272224588251
John_McCain,38,70,0.243519252326
Lisa_Murkowski,38,71,0.257876809354
John_Hoeven,38,72,0.269562004088
Jon_Tester,38,73,0.117631213359
Maria_Cantwell,38,74,0.191088532902
Heidi_Heitkamp,38,75,0.0984066141438
Marco_Rubio,38,76,0.193138277552
Barbara_Mikulski,38,77,0.173769231488
Angus_King,38,78,0.329765420894
Mazie_Hirono,38,79,0.254821169352
John_Reed,38,80,0.302673406934
Tim_Scott,38,81,0.177639300088
Bill_Nelson,38,82,0.25774557441
Richard_Blumenthal,38,83,0.215363040124
Joe_Donnelly,38,84,0.142913232955
Elizabeth_Warren,38,85,0.192498119472
Timothy_Kaine,38,86,0.247134511667
John_Thune,38,87,0.192798632199
Sherrod_Brown,38,88,0.168807516561
Michael_Bennet,38,89,0.239855194419
Richard_Shelby,38,90,0.112325317353
Lamar_Alexander,38,91,0.315310135597
Lindsey_Graham,38,92,0.18329857901
Jeff_Merkley,38,93,0.297356617073
Christopher_Murphy,38,94,0.150396704587
Kelly_Ayotte,38,95,0.179658993131
Joe_Manchin,38,96,0.285604534826
Patrick_Toomey,38,97,0.184668424995
Robert_MenÌ.ndez,38,98,0.142686539938
Ron_Johnson,38,99,0.120186524975
Rand_Paul,38,100,0.080241316602
