,source,target,value
Harry_Reid,81,0,0.292981996022
Thomas_Harkin,81,1,0.16900135556
Max_Baucus,81,2,0.0128641468875
Mitch_McConnell,81,3,0.493644900542
Mark_Pryor,81,4,0.225162185952
Susan_Collins,81,5,0.195512792803
Carl_Levin,81,6,0.0151105924953
James_Inhofe,81,7,0.327262415243
Jefferson_Sessions,81,8,0.305435826413
David_Vitter,81,9,0.331203816592
John_Rockefeller,81,10,0.187235410334
Bernard_Sanders,81,11,0.0593928338328
Thomas_Carper,81,12,0.157641462599
Saxby_Chambliss,81,13,0.277352051339
Richard_Burr,81,14,0.496374830303
Robert_Casey,81,15,0.194951443498
John_Boozman,81,16,0.293873093888
Patty_Murray,81,17,0.138362145738
Mary_Landrieu,81,18,0.166117580886
Jerry_Moran,81,19,0.287983008065
Claire_McCaskill,81,20,0.0482109512494
Mark_Udall,81,21,0.277550909066
Kay_Hagan,81,22,0.181658340214
John_Cornyn,81,23,0.33147441311
Michael_Crapo,81,24,0.326256576126
Bob_Corker,81,25,0.371281707189
John_Barrasso,81,26,0.404870273243
Michael_Enzi,81,27,0.480853586682
Thomas_Coburn,81,28,0.197661125066
Sheldon_Whitehouse,81,29,0.170635478481
Jeanne_Shaheen,81,30,0.257378412699
Martin_Heinrich,81,31,0.195810081255
Daniel_Coats,81,32,0.372894815431
Charles_Schumer,81,33,0.155728872451
Richard_Durbin,81,34,0.249160390278
Roy_Blunt,81,35,0.269852672642
Mark_Warner,81,36,0.234605699473
James_Risch,81,37,0.375683522211
Tim_Johnson,81,38,0.177639300088
Alan_Franken,81,39,0.18421666769
Mark_Begich,81,40,0.207298830811
Brian_Schatz,81,41,0.18811153878
Deb_Fischer,81,42,0.295211791202
Kirsten_Gillibrand,81,43,0.101693740167
Tammy_Baldwin,81,44,0.148587738799
John_Walsh,81,45,0.223973165849
Mark_Kirk,81,46,0.34856115572
Dean_Heller,81,47,0.363296885848
Jeff_Flake,81,48,0.400508867168
Thad_Cochran,81,49,0.334553213678
Mike_Johanns,81,50,0.169472773803
Robert_Portman,81,51,0.425595166047
Edward_Markey,81,52,0.0821316056014
Cory_Booker,81,53,0.137363077625
Roger_Wicker,81,54,0.233431477031
Benjamin_Cardin,81,55,0.225523148315
Tom_Udall,81,56,0.138213435617
Mike_Lee,81,57,0.346326790599
Ted_Cruz,81,58,0.129410138864
Amy_Klobuchar,81,59,0.155514498244
Pat_Roberts,81,60,0.293951025851
Patrick_Leahy,81,61,0.0529347884166
Orrin_Hatch,81,62,0.284271178892
Charles_Grassley,81,63,0.293840153293
Ron_Wyden,81,64,0.0393679396879
Debbie_Stabenow,81,65,0.119445042195
Dianne_Feinstein,81,66,0.176886916994
John_Isakson,81,67,0.309227322831
Barbara_Boxer,81,68,0.0994588887922
Chris_Coons,81,69,0.134635751165
John_McCain,81,70,0.366312324244
Lisa_Murkowski,81,71,0.321934059472
John_Hoeven,81,72,0.411070349838
Jon_Tester,81,73,0.1372276059
Maria_Cantwell,81,74,0.16736860376
Heidi_Heitkamp,81,75,0.163864133975
Marco_Rubio,81,76,0.340210083998
Barbara_Mikulski,81,77,0.0758399083851
Angus_King,81,78,0.295369368856
Mazie_Hirono,81,79,0.255663897742
John_Reed,81,80,0.200493571783
Tim_Scott,81,81,1.0
Bill_Nelson,81,82,0.22501950331
Richard_Blumenthal,81,83,0.162082962908
Joe_Donnelly,81,84,0.121154347313
Elizabeth_Warren,81,85,0.110085163878
Timothy_Kaine,81,86,0.266371135948
John_Thune,81,87,0.492585724296
Sherrod_Brown,81,88,0.0811342721738
Michael_Bennet,81,89,0.252057525744
Richard_Shelby,81,90,0.0503738999157
Lamar_Alexander,81,91,0.354564930277
Lindsey_Graham,81,92,0.326695782001
Jeff_Merkley,81,93,0.109888481939
Christopher_Murphy,81,94,0.153747847295
Kelly_Ayotte,81,95,0.208652774541
Joe_Manchin,81,96,0.335427705655
Patrick_Toomey,81,97,0.363510247863
Robert_MenÌ.ndez,81,98,0.12190147562
Ron_Johnson,81,99,0.0659675515229
Rand_Paul,81,100,0.0875224431409
