,source,target,value
Harry_Reid,86,0,0.489060475853
Thomas_Harkin,86,1,0.199017683185
Max_Baucus,86,2,0.166285922611
Mitch_McConnell,86,3,0.309404597117
Mark_Pryor,86,4,0.329300216725
Susan_Collins,86,5,0.264646029932
Carl_Levin,86,6,0.219126206145
James_Inhofe,86,7,0.184530517452
Jefferson_Sessions,86,8,0.247375448217
David_Vitter,86,9,0.280021780852
John_Rockefeller,86,10,0.277392895866
Bernard_Sanders,86,11,0.272539627335
Thomas_Carper,86,12,0.219385924719
Saxby_Chambliss,86,13,0.156741967759
Richard_Burr,86,14,0.27392441215
Robert_Casey,86,15,0.251633954636
John_Boozman,86,16,0.189504740704
Patty_Murray,86,17,0.340648370521
Mary_Landrieu,86,18,0.184010633049
Jerry_Moran,86,19,0.147032996062
Claire_McCaskill,86,20,0.144938461375
Mark_Udall,86,21,0.331197688141
Kay_Hagan,86,22,0.268285869383
John_Cornyn,86,23,0.152102651358
Michael_Crapo,86,24,0.256732205764
Bob_Corker,86,25,0.224821363916
John_Barrasso,86,26,0.204646949795
Michael_Enzi,86,27,0.311329213448
Thomas_Coburn,86,28,0.193022236777
Sheldon_Whitehouse,86,29,0.216906086367
Jeanne_Shaheen,86,30,0.205094692608
Martin_Heinrich,86,31,0.194559409996
Daniel_Coats,86,32,0.240403597054
Charles_Schumer,86,33,0.231547013759
Richard_Durbin,86,34,0.236316015284
Roy_Blunt,86,35,0.119538252197
Mark_Warner,86,36,0.307895044494
James_Risch,86,37,0.230945241265
Tim_Johnson,86,38,0.247134511667
Alan_Franken,86,39,0.141645979819
Mark_Begich,86,40,0.166788240791
Brian_Schatz,86,41,0.372054440959
Deb_Fischer,86,42,0.273099925197
Kirsten_Gillibrand,86,43,0.225639429346
Tammy_Baldwin,86,44,0.382927522519
John_Walsh,86,45,0.284439795789
Mark_Kirk,86,46,0.204978104416
Dean_Heller,86,47,0.113512905288
Jeff_Flake,86,48,0.329671936558
Thad_Cochran,86,49,0.203975207286
Mike_Johanns,86,50,0.138318068648
Robert_Portman,86,51,0.287289982154
Edward_Markey,86,52,0.179247375421
Cory_Booker,86,53,0.275862602953
Roger_Wicker,86,54,0.310311848294
Benjamin_Cardin,86,55,0.30525438714
Tom_Udall,86,56,0.277656457823
Mike_Lee,86,57,0.208031270875
Ted_Cruz,86,58,0.182857016778
Amy_Klobuchar,86,59,0.143049138374
Pat_Roberts,86,60,0.25753393823
Patrick_Leahy,86,61,0.150464497855
Orrin_Hatch,86,62,0.206526586614
Charles_Grassley,86,63,0.261793911334
Ron_Wyden,86,64,0.29556989112
Debbie_Stabenow,86,65,0.253971409101
Dianne_Feinstein,86,66,0.236860382096
John_Isakson,86,67,0.188016909318
Barbara_Boxer,86,68,0.114019206035
Chris_Coons,86,69,0.232495355973
John_McCain,86,70,0.240982813442
Lisa_Murkowski,86,71,0.169545244633
John_Hoeven,86,72,0.220243943032
Jon_Tester,86,73,0.132605156886
Maria_Cantwell,86,74,0.271975515546
Heidi_Heitkamp,86,75,0.260386677093
Marco_Rubio,86,76,0.252804009651
Barbara_Mikulski,86,77,0.103950787394
Angus_King,86,78,0.223258783702
Mazie_Hirono,86,79,0.414012194717
John_Reed,86,80,0.296665198256
Tim_Scott,86,81,0.266371135948
Bill_Nelson,86,82,0.270296366702
Richard_Blumenthal,86,83,0.187093829651
Joe_Donnelly,86,84,0.160430948427
Elizabeth_Warren,86,85,0.213092264601
Timothy_Kaine,86,86,1.0
John_Thune,86,87,0.390792111519
Sherrod_Brown,86,88,0.209062139825
Michael_Bennet,86,89,0.341883178374
Richard_Shelby,86,90,0.0781950288779
Lamar_Alexander,86,91,0.283986125909
Lindsey_Graham,86,92,0.133347151992
Jeff_Merkley,86,93,0.102041301784
Christopher_Murphy,86,94,0.260154631204
Kelly_Ayotte,86,95,0.23305568961
Joe_Manchin,86,96,0.3913059389
Patrick_Toomey,86,97,0.249823765309
Robert_MenÌ.ndez,86,98,0.313659684967
Ron_Johnson,86,99,0.135500893149
Rand_Paul,86,100,0.0952065315539
