,source,target,value
Harry_Reid,56,0,0.177429775214
Thomas_Harkin,56,1,0.120291945281
Max_Baucus,56,2,0.13054868848
Mitch_McConnell,56,3,0.130973492558
Mark_Pryor,56,4,0.270720247913
Susan_Collins,56,5,0.191123551404
Carl_Levin,56,6,0.223835096344
James_Inhofe,56,7,0.120806632776
Jefferson_Sessions,56,8,0.110536884236
David_Vitter,56,9,0.196975367649
John_Rockefeller,56,10,0.140804063898
Bernard_Sanders,56,11,0.186291734045
Thomas_Carper,56,12,0.214735905946
Saxby_Chambliss,56,13,0.168622059011
Richard_Burr,56,14,0.164414936745
Robert_Casey,56,15,0.224176730865
John_Boozman,56,16,0.153320797876
Patty_Murray,56,17,0.300161780925
Mary_Landrieu,56,18,0.223517739829
Jerry_Moran,56,19,0.0529454954385
Claire_McCaskill,56,20,0.224470665981
Mark_Udall,56,21,0.261441953914
Kay_Hagan,56,22,0.169855381791
John_Cornyn,56,23,0.129809777536
Michael_Crapo,56,24,0.175999803452
Bob_Corker,56,25,0.0741036716862
John_Barrasso,56,26,0.218107533839
Michael_Enzi,56,27,0.150645915974
Thomas_Coburn,56,28,0.24720936166
Sheldon_Whitehouse,56,29,0.235127999076
Jeanne_Shaheen,56,30,0.22861794199
Martin_Heinrich,56,31,0.29919452366
Daniel_Coats,56,32,0.0708533176763
Charles_Schumer,56,33,0.17904278248
Richard_Durbin,56,34,0.197331405333
Roy_Blunt,56,35,0.114306849816
Mark_Warner,56,36,0.220639904326
James_Risch,56,37,0.140309129755
Tim_Johnson,56,38,0.227976309807
Alan_Franken,56,39,0.176279266808
Mark_Begich,56,40,0.290288240577
Brian_Schatz,56,41,0.19866707385
Deb_Fischer,56,42,0.139813518984
Kirsten_Gillibrand,56,43,0.254769611656
Tammy_Baldwin,56,44,0.210606014144
John_Walsh,56,45,0.183995925381
Mark_Kirk,56,46,0.188787259876
Dean_Heller,56,47,0.0887906396379
Jeff_Flake,56,48,0.146928704925
Thad_Cochran,56,49,0.154653123265
Mike_Johanns,56,50,0.114332668899
Robert_Portman,56,51,0.190248854717
Edward_Markey,56,52,0.211629761676
Cory_Booker,56,53,0.19749909238
Roger_Wicker,56,54,0.236633278766
Benjamin_Cardin,56,55,0.180397325917
Tom_Udall,56,56,1.0
Mike_Lee,56,57,0.131302089361
Ted_Cruz,56,58,0.120453309444
Amy_Klobuchar,56,59,0.213871671473
Pat_Roberts,56,60,0.201915957297
Patrick_Leahy,56,61,0.160542287202
Orrin_Hatch,56,62,0.10398291978
Charles_Grassley,56,63,0.288276196413
Ron_Wyden,56,64,0.211182119105
Debbie_Stabenow,56,65,0.196497359902
Dianne_Feinstein,56,66,0.13782798434
John_Isakson,56,67,0.282282914435
Barbara_Boxer,56,68,0.157975721553
Chris_Coons,56,69,0.176677581072
John_McCain,56,70,0.154173575668
Lisa_Murkowski,56,71,0.217234849442
John_Hoeven,56,72,0.140777401879
Jon_Tester,56,73,0.152158452702
Maria_Cantwell,56,74,0.213401022744
Heidi_Heitkamp,56,75,0.244252151173
Marco_Rubio,56,76,0.0928099846387
Barbara_Mikulski,56,77,0.238032462826
Angus_King,56,78,0.273244311708
Mazie_Hirono,56,79,0.244829543191
John_Reed,56,80,0.230487381852
Tim_Scott,56,81,0.138213435617
Bill_Nelson,56,82,0.124341866758
Richard_Blumenthal,56,83,0.128139196397
Joe_Donnelly,56,84,0.249956597102
Elizabeth_Warren,56,85,0.269090672926
Timothy_Kaine,56,86,0.277656457823
John_Thune,56,87,0.162421767582
Sherrod_Brown,56,88,0.282209858408
Michael_Bennet,56,89,0.22895323972
Richard_Shelby,56,90,0.0541089265433
Lamar_Alexander,56,91,0.174517043625
Lindsey_Graham,56,92,0.0965159658197
Jeff_Merkley,56,93,0.208886682708
Christopher_Murphy,56,94,0.248124417132
Kelly_Ayotte,56,95,0.186099322773
Joe_Manchin,56,96,0.184878158005
Patrick_Toomey,56,97,0.138254748102
Robert_MenÌ.ndez,56,98,0.180988130748
Ron_Johnson,56,99,0.171161904373
Rand_Paul,56,100,0.0668279742287
