,Harry_Reid,Thomas_Harkin,Max_Baucus,Mitch_McConnell,Mark_Pryor,Susan_Collins,Carl_Levin,James_Inhofe,Jefferson_Sessions,David_Vitter,John_Rockefeller,Bernard_Sanders,Thomas_Carper,Saxby_Chambliss,Richard_Burr,Robert_Casey,John_Boozman,Patty_Murray,Mary_Landrieu,Jerry_Moran,Claire_McCaskill,Mark_Udall,Kay_Hagan,John_Cornyn,Michael_Crapo,Bob_Corker,John_Barrasso,Michael_Enzi,Thomas_Coburn,Sheldon_Whitehouse,Jeanne_Shaheen,Martin_Heinrich,Daniel_Coats,Charles_Schumer,Richard_Durbin,Roy_Blunt,Mark_Warner,James_Risch,Tim_Johnson,Alan_Franken,Mark_Begich,Brian_Schatz,Deb_Fischer,Kirsten_Gillibrand,Tammy_Baldwin,John_Walsh,Mark_Kirk,Dean_Heller,Jeff_Flake,Thad_Cochran,Mike_Johanns,Robert_Portman,Edward_Markey,Cory_Booker,Roger_Wicker,Benjamin_Cardin,Tom_Udall,Mike_Lee,Ted_Cruz,Amy_Klobuchar,Pat_Roberts,Patrick_Leahy,Orrin_Hatch,Charles_Grassley,Ron_Wyden,Debbie_Stabenow,Dianne_Feinstein,John_Isakson,Barbara_Boxer,Chris_Coons,John_McCain,Lisa_Murkowski,John_Hoeven,Jon_Tester,Maria_Cantwell,Heidi_Heitkamp,Marco_Rubio,Barbara_Mikulski,Angus_King,Mazie_Hirono,John_Reed,Tim_Scott,Bill_Nelson,Richard_Blumenthal,Joe_Donnelly,Elizabeth_Warren,Timothy_Kaine,John_Thune,Sherrod_Brown,Michael_Bennet,Richard_Shelby,Lamar_Alexander,Lindsey_Graham,Jeff_Merkley,Christopher_Murphy,Kelly_Ayotte,Joe_Manchin,Patrick_Toomey,Robert_MenÌ.ndez,Ron_Johnson,Rand_Paul
Harry_Reid,1.0,0.19311858641760737,0.19073361804697431,0.44622594066420018,0.32116342653735264,0.29136654460393463,0.12756496877186785,0.24861546576650695,0.25846870716805859,0.33607006258366912,0.37829052796045182,0.11695739851847164,0.26949603384722842,0.26493269959981225,0.22803948740725377,0.14106527641629873,0.27822439482725247,0.21863421936814253,0.15614528694352381,0.19900828683221239,0.1457307276205011,0.36678681844917249,0.18736923681585771,0.20877856947844697,0.36744598889349744,0.27352154054178945,0.32603486256603931,0.42510642352648031,0.1626310008526668,0.22106789732728482,0.2487083913136523,0.17767392876181909,0.33124164428327529,0.15110142603652732,0.24792618183560156,0.22718959478103007,0.28272451187786496,0.34353858561800599,0.3514419671565171,0.20847857439596151,0.12625074102200395,0.23762842175371113,0.23778436846024753,0.046498155519411277,0.32067691524194375,0.32394624917146353,0.19272763774801716,0.18412457839632101,0.26710979145992653,0.27745853031803691,0.16794074171173934,0.30468825560525081,0.074251411324558703,0.19268529723500183,0.40015217139373771,0.20127440432361898,0.17742977521380365,0.18959286404421394,0.09280770150139861,0.10776496220860921,0.33636098471757581,0.16211460820161971,0.28125523138517172,0.39344931059366683,0.19997056002987168,0.18571655000828291,0.37372975948467069,0.25150081257646639,0.079993078861309019,0.12853945859706317,0.16457067804710468,0.28636355216472897,0.26443913048858836,0.050999071621864678,0.24749300955737696,0.15442199805072232,0.16448281516637164,0.093533279442955752,0.330422466621351,0.35779482125023843,0.29640907694037599,0.29298199602224861,0.2130227001690792,0.13698171275257476,0.20016456788078796,0.080591549108103955,0.48906047585330581,0.49972948602230494,0.097851465191947429,0.33058814985352458,0.089087148470261224,0.43953893793509635,0.17319378520498374,0.095925806870277075,0.1583935935771128,0.32652145994000437,0.42100181112673996,0.28030805105026335,0.1961228479294741,0.14930259632249043,0.0
Thomas_Harkin,0.19311858641760737,1.0,0.019984206575893171,0.15119740174466734,0.22272270226644042,0.14392350547885424,0.13029178153524335,0.121319644359696,0.24941347866692887,0.15779141258356566,0.19799428659371088,0.18789122755745635,0.16708541411401301,0.20215072368557041,0.22519943334045467,0.30497421032384664,0.15906726214687672,0.18230325041582351,0.11494435202290432,0.16939353848103478,0.10411388567460678,0.17807955894237681,0.17800685453248311,0.23408979068722691,0.25006073247895277,0.29044550392627477,0.3128573781314411,0.28172405632381969,0.11052270665641006,0.22989495286215622,0.2023132146335318,0.21519300336543934,0.29240308658771874,0.22265208855456042,0.22953419850816426,0.28144253238517924,0.19380429682127986,0.26350343067071713,0.26447247714466893,0.34030628608606628,0.21676832367864451,0.19290161289092667,0.094126001257024305,0.19999823998932764,0.32946676761913074,0.16797692907854811,0.15842791209051077,0.1344761381643772,0.11479846832659935,0.23898306930061619,0.10739090544607977,0.14864069840132088,0.18974516679410414,0.16640815533321307,0.21922546702978474,0.25423847543990108,0.12029194528081,0.011948484425073902,0.042942592030578597,0.17294718876521531,0.20533566168688699,0.16425004391492548,0.17445473272997036,0.083225543324162432,0.11237810453426633,0.23147410565241111,0.14809928003424222,0.11632256361551074,0.20173534219550804,0.24442392802508905,0.14479315518516256,0.19269733730857674,0.18211706481562673,0.26540381383094347,0.12974253914162936,0.16727623146730053,0.19143762639023776,0.24104895243700297,0.26285346282691346,0.19176834313639257,0.28997984766088791,0.16900135555961349,0.25145218819342718,0.21516863493740912,0.1221311161014087,0.26951139252456169,0.19901768318508817,0.14044618455070323,0.2706217568767475,0.25004236454048978,0.048649148820014587,0.2531714620625134,0.1632831108119317,0.11502821133164098,0.20352304883478511,0.11744903011764907,0.28579633811750127,0.26381953965652882,0.10835364601115693,0.082935313217296525,0.01056841833354405
Max_Baucus,0.19073361804697431,0.019984206575893171,0.99999999999999989,0.04047808124493979,0.097237522787372521,0.027871687038279358,0.041410960798939245,0.055082366521593706,0.030016138548646598,0.17638299568251137,0.17534210828405761,0.0316373931245163,0.078531614944114314,0.17476674287715099,0.10626790894060545,0.038959521224628202,0.021255403927595395,0.10980894490925075,0.079936832998981355,0.03790726331808747,0.065203976573820599,0.1182097560761417,0.082083213108784636,0.021117439471801447,0.057963596207159185,0.0,0.027694482731511649,0.01352307563675903,0.019335279513955528,0.060056967858774235,0.080658389182937107,0.030795040472706314,0.078988094842066703,0.02760693876604936,0.0096081914308828731,0.10331071815973092,0.097296212639360502,0.12946626372813208,0.10762033873992771,0.020827533217250949,0.054091781589455934,0.041805133369163583,0.027450998356447043,0.030800906299844888,0.039678711338196226,0.15751484168404883,0.016242953475192667,0.01303712054146855,0.1604679953336926,0.041617750013900001,0.1088555901444721,0.044495820583374091,0.075093622253926573,0.026831826541562909,0.090572348211034548,0.012182031467415588,0.13054868847993395,0.054075575394039843,0.069342368119438058,0.049384499068383603,0.062104844696671324,0.034975981955804869,0.062184918492559249,0.075064727298572276,0.0036877050118119259,0.026215288102335754,0.072327032927406942,0.10580730439980346,0.064301164293219304,0.03136396649571116,0.11046972354042939,0.057988430425791826,0.043212827287714584,0.062183579035739234,0.084648646678222805,0.0392947217111147,0.063648670867651802,0.08632766870659081,0.028178989019051803,0.03581949197030998,0.04074242768021874,0.012864146887505146,0.088508672542210398,0.030237040240045365,0.047820573928370691,0.037207076113756732,0.16628592261069008,0.092346743776631435,0.044037986669379303,0.05982302687870189,0.055212622631861663,0.029584351533649245,0.10575185994292491,0.054140146660006883,0.11411629999952377,0.041204432895432852,0.0084319787663081902,0.012320163699691467,0.073404131528224115,0.0,0.0
Mitch_McConnell,0.44622594066420018,0.15119740174466734,0.04047808124493979,1.0,0.29182586453616266,0.2673035014723314,0.05639403022549927,0.37491341259137045,0.32257105259416152,0.35389172357211252,0.19731404658892326,0.012984758791470541,0.24589523969479932,0.23590961292163393,0.33642513659019413,0.2298444565720662,0.26734051284777904,0.22702998048204792,0.26643650237054994,0.2217968711298649,0.18005041143625755,0.36862463204581741,0.22999825886500558,0.28492372995397086,0.41533634567247446,0.45689954146018641,0.26335836579858607,0.51591953705443094,0.33429002292159904,0.28138199103076511,0.27314442250605131,0.18201601430636116,0.49316218119975175,0.17329137974183451,0.3238925738405567,0.24256655458992782,0.29393272347444965,0.37560086669807369,0.34416184293236896,0.20890196073510636,0.11923233809853284,0.2103855563730449,0.38859888596299719,0.14368861053085258,0.1628971611447525,0.27910880207484878,0.26408573816230441,0.22711857340109121,0.39526258941011605,0.36176239668631005,0.20643918611269285,0.33890627781154736,0.062020918959596383,0.063139522408611426,0.28375450287694437,0.1387918193693426,0.13097349255818014,0.61705701591365847,0.23778897560532652,0.17724576179019946,0.40136309245542079,0.049093022402156294,0.31876176380901922,0.39730206836226323,0.095683319708170345,0.23027426564114173,0.23414967224666094,0.18660825406907366,0.1142510114674693,0.16560208120593622,0.35913749340064416,0.37662270654925611,0.51054349123356491,0.071123903273504929,0.16727413503634814,0.043533120172688622,0.21311944461158383,0.027586673359266345,0.26775880175912814,0.28086327396165611,0.25119739556771181,0.4936449005417517,0.24462958348527575,0.17504781730454178,0.086729652698426918,0.12104346094302065,0.30940459711714507,0.47403021630208575,0.062852533595093907,0.38637684975798736,0.12992596000753864,0.48749544213108742,0.23375022883824359,0.13173308805034756,0.074105271764445146,0.25024929792457451,0.32897527618479572,0.29878532709155692,0.16771802915565293,0.075174080605286187,0.23758091833721462
Mark_Pryor,0.32116342653735264,0.22272270226644042,0.097237522787372521,0.29182586453616266,1.0000000000000002,0.23767539262212323,0.12881017943332274,0.18549285425932927,0.25620740296181399,0.22179734268512896,0.23481032230663346,0.11120719139252944,0.27419562710303125,0.18592380722540203,0.18455723460824358,0.36944165346940583,0.32723329118461497,0.25196611211996522,0.2893752047527931,0.15286171386644576,0.25461959181319282,0.35153686620887004,0.2878470334531823,0.1771860001377501,0.33827439307482399,0.22507550887599326,0.22069075945432104,0.23108660660011926,0.18447299876311596,0.2415493392137108,0.3275020671793647,0.16491579481049989,0.25827665268714706,0.29206423147682958,0.21141384354797255,0.19383690841114432,0.36514466663495859,0.27892023318894643,0.30691562489352631,0.3603734629454638,0.25921016069152336,0.30732030610795225,0.23068934352667436,0.18446405015387501,0.1448962205757145,0.30468513750840343,0.17232414805168061,0.23103865943071811,0.18251653028459802,0.22220906615045966,0.30835532098115292,0.22071839465050913,0.18346169120853262,0.23354695543458348,0.24437845734890074,0.24072625893385302,0.27072024791283578,0.1130052079665731,0.11619973037647702,0.14720577389609457,0.267784327086799,0.1139700351384878,0.18573285167451303,0.22191007952784814,0.13419848631103692,0.2238818778272792,0.17369140161000329,0.228669521378982,0.16631858384910103,0.29263832675617973,0.17094539964248123,0.26169424627037685,0.19993785082776494,0.26039548484556352,0.23431684388087204,0.10472269123404154,0.2080483335603438,0.077075718986084563,0.31054040769783642,0.21662695937014853,0.30882726599157873,0.22516218595177118,0.3692089245762491,0.20190020189808189,0.31557792559357489,0.15881118340166989,0.32930021672487775,0.19278460269313125,0.22138634727995488,0.24820520327910023,0.073887957652198355,0.27439126804536951,0.2247379733056154,0.21099372796102633,0.14536293429221214,0.14428644601781038,0.28245034778986766,0.20535236031816828,0.22302115093752639,0.10038788111402119,0.13156168686980252
Susan_Collins,0.29136654460393463,0.14392350547885424,0.027871687038279358,0.2673035014723314,0.23767539262212323,1.0000000000000002,0.076200661170437112,0.2945141845555076,0.41733588659412602,0.23931091576256314,0.15560876436724413,0.060420332969025825,0.19169869256099892,0.23565753674812162,0.27388725627146771,0.1945870280272568,0.20718654510658141,0.17589582309667695,0.29162581307255087,0.2325675272500225,0.21740066755732768,0.17933330504130329,0.16640354811141156,0.19349742366715694,0.27206649372802938,0.32349920178453839,0.23761471473240769,0.26276156180929178,0.14525351270860531,0.27779851460587746,0.2754337320789455,0.13791396287810098,0.32291678553803771,0.17248307621932013,0.29450015944205377,0.19666938957692071,0.20234098486358854,0.29662255181927688,0.23591641675087383,0.18827720086304045,0.19977994381075026,0.18182072138582317,0.22726359666596818,0.21283697827874815,0.22322466084856096,0.2106378107668192,0.2631555375938408,0.16050368685505134,0.21125915653471372,0.23048273295845023,0.15407213169948641,0.15510742038728853,0.10590417889384507,0.11049570911591788,0.30246401110208587,0.31530442978835826,0.19112355140381587,0.079690242060323269,0.097091579640890324,0.13845339111465815,0.27095167126511632,0.090081887354814594,0.23473597027959037,0.11725057582087395,0.15225427591605234,0.18239089825176302,0.27847035923165275,0.094053614874994085,0.14469069446344074,0.29912867280441269,0.17631093556272504,0.24843076338000081,0.25951687218049591,0.090297647513291057,0.1692256474426358,0.20131082041002235,0.22256960460192465,0.1415553482152323,0.24040389192132794,0.30542208788118719,0.26219159551886739,0.19551279280318734,0.17425758355216991,0.26298332763724019,0.079473154184423134,0.23040335544182078,0.2646460299322182,0.30188399797075971,0.12031501353083718,0.34149596440164265,0.08121285434979264,0.2959121950777529,0.17373077676913651,0.19523577403989567,0.23693724978674668,0.28433527724807672,0.32188442746267087,0.20761824579090238,0.1451694322526097,0.064266471096062983,0.10114177165210214
Carl_Levin,0.12756496877186785,0.13029178153524335,0.041410960798939245,0.05639403022549927,0.12881017943332274,0.076200661170437112,0.99999999999999989,0.026032430144248719,0.044268186334779025,0.053655845999649898,0.25727736552954439,0.15431546639576732,0.050183817298789957,0.088049982577392827,0.058760297708370213,0.22523187925091626,0.051260586860363166,0.21502465652158431,0.081235591474122404,0.028373855741952392,0.079771014269154672,0.078570366914679002,0.08861697975991667,0.028756675608617277,0.08439291941991689,0.056535183330480687,0.030744271127983391,0.040116577070109627,0.042214288021528157,0.12550933581213841,0.086746463551507058,0.10692825690627827,0.051257159697280397,0.24054834598607178,0.17885639322518165,0.061410737856171571,0.11210723264193456,0.067657893692856685,0.087476972096937611,0.074616889457267188,0.15318103888045198,0.12798784035992516,0.019174824976599614,0.19611181825881552,0.3216654934330565,0.17855623935811615,0.082014525387570925,0.036504313983902859,0.058417741717904148,0.093836796834580127,0.063394019747319952,0.029982884142246591,0.12400364587205959,0.28001919310864354,0.093991464090571908,0.1665008086913361,0.22383509634365795,0.0,0.063456310227612001,0.07712654338394942,0.078405883478139704,0.25349094268942152,0.027685003158046784,0.057000937665400819,0.064840221576768942,0.1362857680808589,0.12529736600136632,0.075193378754246809,0.043952384636222197,0.13313192615068381,0.018227400192973975,0.052711091153055389,0.016525376331717134,0.21716785191453858,0.064602514506165165,0.078613586771396626,0.031624658373739845,0.1364515023865025,0.18574511685230077,0.24565767336091104,0.21236879282531196,0.015110592495310549,0.062109857255051359,0.13068661201074749,0.093799095218692452,0.27000977248385294,0.21912620614460254,0.048723349241317715,0.30134919925855175,0.11141572339998884,0.044544962539649346,0.066743745694012979,0.064172646285681645,0.082832049547448494,0.13903896800954008,0.05527064766468226,0.064154196455229795,0.045211053854040562,0.2973862988420013,0.043350814450728303,0.02103357510530679
James_Inhofe,0.24861546576650695,0.121319644359696,0.055082366521593706,0.37491341259137045,0.18549285425932927,0.2945141845555076,0.026032430144248719,1.0,0.2429273013224218,0.23051171589774477,0.10529301824304405,0.030075048042738084,0.13077514666280787,0.23891576332765596,0.23820814542567814,0.17804784430490894,0.22050418102135605,0.15373539405888514,0.13354192489882866,0.29450415948738518,0.025061418375713185,0.20676415456081698,0.15784010543958693,0.22266666036721949,0.23851081322867396,0.32780232611472615,0.25434897453413474,0.36883048727914236,0.17420005306997544,0.14253372704335743,0.17985946726315272,0.15397964862049363,0.32192319918900836,0.11195125416989382,0.2090183676276276,0.20540907447620005,0.1806242358198793,0.32200557288351783,0.16814733834601903,0.14910594882265127,0.15183285012350856,0.16541309887143607,0.33853569208149636,0.10794075646133749,0.082858821783340919,0.26026096200106452,0.25275417830195379,0.2020509622559965,0.31939544993044344,0.23851347812674817,0.22721260135601828,0.27557388927389281,0.076250487993588356,0.057153873714148817,0.28426597812988252,0.13333535005798691,0.12080663277595471,0.23775579182064777,0.074608214460314182,0.096394429646766588,0.3437756742623479,0.012920374341729324,0.28962588178503212,0.23709897145469527,0.012095445905917268,0.13924696951327775,0.1320193348408768,0.22023513011889451,0.088065971647098618,0.14946967376788889,0.18669568243693224,0.30770424035629629,0.38276437012135245,0.11029046574307788,0.10027048440742337,0.087591626563979008,0.23779243158362962,0.068285863340368125,0.16500786449508087,0.19390213732932815,0.14223220573664441,0.3272624152427599,0.20744142814063615,0.11685155924622026,0.092436684664510604,0.11487586641616332,0.18453051745245963,0.3402038505828926,0.079618396872951358,0.24234724860688783,0.024182365509206272,0.35927557760465745,0.15344388594167457,0.047145312358834457,0.11259321536265265,0.22005383631032061,0.22649981776234951,0.24160533907534165,0.10312146653555665,0.046631245763218643,0.19441965047710608
Jefferson_Sessions,0.25846870716805859,0.24941347866692887,0.030016138548646598,0.32257105259416152,0.25620740296181399,0.41733588659412602,0.044268186334779025,0.2429273013224218,1.0,0.2943234741017503,0.14947908053229764,0.021519476719699671,0.22719108126327114,0.34118327876743093,0.3266150511744581,0.29302722431747696,0.20420352979598166,0.13785759422814015,0.17099382269784713,0.25126910750504061,0.076144486338749595,0.19977915906626509,0.17607623899963254,0.38892158271443056,0.40024842170240149,0.64279738778001738,0.51752247820994035,0.44795433992334999,0.12946025626477375,0.21363451939184008,0.24658133250480163,0.20700159406078456,0.59401803803533348,0.1901102731110943,0.35282123715425406,0.23974825466700944,0.30454881541615486,0.53797300319997687,0.22421345375843726,0.27143849847269008,0.18418554100307971,0.20175221134921462,0.17195270141415309,0.18787923290392172,0.13182975934491348,0.23754585166851649,0.31699937288365421,0.25372479124672465,0.25401005000647925,0.37219586556383943,0.17371399694989509,0.3274517512220998,0.065677551748442475,0.0916296893757651,0.24740515106723893,0.27723094966928807,0.11053688423591834,0.084812464657521125,0.14238233154545732,0.089150052298917815,0.41552773126225917,0.006023622637886028,0.36222611141930172,0.13358898403199115,0.079294699396511237,0.14517004993368587,0.17122118185325497,0.17618630016542358,0.16914575770719487,0.25370212649621604,0.29858412057456918,0.33193720793455528,0.37253751311554684,0.19951263201058678,0.035201661947077745,0.18643739145099747,0.33997727111463982,0.1237728621236458,0.27478547871863568,0.26580153432725795,0.27179263109601082,0.30543582641315437,0.26799814596655003,0.22565656282503266,0.023481908485939007,0.21290777213619194,0.24737544821717106,0.29772484761242757,0.22613158046200954,0.25056111451683727,0.2187803369273551,0.41958571455090166,0.19560423359989754,0.024093623634547701,0.16316156954010941,0.15678780541589388,0.41233760996591284,0.45294705541080416,0.1230519218283681,0.095362323355770884,0.082500640712666051
David_Vitter,0.33607006258366912,0.15779141258356566,0.17638299568251137,0.35389172357211252,0.22179734268512896,0.23931091576256314,0.053655845999649898,0.23051171589774477,0.2943234741017503,0.99999999999999989,0.15061176145979949,0.037552349052042633,0.12940685741950775,0.24698751429600896,0.30998192191569984,0.15253499997004449,0.29072415331313883,0.2448692590824243,0.27392190125764837,0.22736453517047095,0.16460331588484622,0.27384686023627391,0.20991499820558934,0.19939019457193718,0.38851834371301841,0.28984526207944727,0.29234385381424643,0.32430718808585002,0.098857791679646922,0.15623431967733858,0.1595121564002111,0.16122376628898349,0.36007220130110151,0.14923767661567355,0.25397789449210717,0.29980884091739157,0.21693318915930093,0.31723600752427739,0.31263611842259231,0.18787177790697029,0.15848300397237747,0.13946174259554378,0.24119577669599823,0.099582613893130056,0.12121129728322533,0.19636814800852698,0.25665105430869817,0.19021613131041537,0.3271318859023542,0.32478003573880021,0.14482065565367586,0.3094792297614688,0.14532678705221025,0.078102625856618424,0.26157505854989527,0.22705783097365817,0.1969753676488526,0.22598601657044992,0.16274489369513845,0.084682707968276372,0.2705384039794021,0.065514939042457421,0.25658303810603689,0.27305074206300528,0.089440035604284596,0.13301574121394211,0.1571730155769987,0.2205653066805302,0.086337584341103724,0.19563795473685519,0.34048742311330149,0.32581642971691083,0.3271526130675102,0.12627228818783087,0.12992719142266507,0.12216154645645272,0.24832337196262255,0.077588808189876568,0.22644415638645232,0.23252475210701828,0.20185305179654933,0.33120381659205522,0.21823958596053306,0.18157843315885025,0.11075258132636279,0.085937891191196991,0.28002178085196205,0.35505053944357767,0.10405332539181777,0.30733983353453931,0.11231327039472261,0.32399939794526977,0.22534028375202397,0.1418638931314834,0.25030944359013518,0.17332362585940841,0.25269486776707772,0.2959733111619165,0.17699604806304403,0.027701679785947064,0.0051464872119115768
